name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
El Centro		relation	112201	place	city	-115.5608090	32.7856115	16	0.465342101560183		El Centro	Imperial County	California	United States of America	us	El Centro, Imperial County, California, United States of America	-115.5950011	32.7527569	-115.5181190	32.8183300	Q495369	en:El Centro, California	
Desert Gardens		way	469580579	natural	water	-115.5542050	32.7797758	16	0.35			Imperial County	California	United States of America	us	Desert Gardens, Imperial County, California, United States of America	-115.5542491	32.7797140	-115.5541643	32.7798163			
Brawley		relation	112209	place	city	-115.5316835	32.9769340	16	0.35		Brawley	Imperial County	California	United States of America	us	Brawley, Imperial County, California, United States of America	-115.5709620	32.9509779	-115.5005530	33.0215470			
Imperial		relation	2307074	place	city	-115.5700348	32.8436960	16	0.347828369550996		Imperial	Imperial County	California	United States of America	us	Imperial, Imperial County, California, United States of America	-115.5948410	32.8181499	-115.5356951	32.8692240	Q930766	en:Imperial, California	
Seeley		way	33178777	boundary	administrative	-115.6813841	32.7875880	30	0.334064355740602			Imperial County	California	United States of America	us	Seeley, Imperial County, California, United States of America	-115.6989480	32.7804119	-115.6722591	32.7965750	Q2695873	en:Seeley, California	
New River		way	181017554	waterway	river	-115.6091582	32.9009417	17	0.325			Imperial County	California	United States of America	us	New River, Imperial County, California, United States of America	-115.7125826	32.6735157	-115.5164122	33.1112593			
Wilsie		node	150947859	place	hamlet	-115.6030527	32.8000557	19	0.320799723947972			Imperial County	California	United States of America	us	Wilsie, Imperial County, California, United States of America	-115.6030527	32.8000557	-115.6030527	32.8000557	Q8022902	en:Wilsie, California	
Imperial		node	150959807	place	town	-115.5694392	32.8475529	18	0.3		Imperial	Imperial County	California	United States of America	us	Imperial, Imperial, Imperial County, California, United States of America	-115.5694392	32.8475529	-115.5694392	32.8475529			
Brawley		node	150969855	place	town	-115.5302670	32.9786566	18	0.3		Brawley	Imperial County	California	United States of America	us	Brawley, Brawley, Imperial County, California, United States of America	-115.5302670	32.9786566	-115.5302670	32.9786566	Q902878		
Edgar		node	150932759	place	hamlet	-115.7333356	32.7889469	19	0.275			Imperial County	California	United States of America	us	Edgar, Imperial County, California, United States of America	-115.7333356	32.7889469	-115.7333356	32.7889469			
Citrus View		node	150947780	place	hamlet	-115.5658247	32.9647693	19	0.275			Imperial County	California	United States of America	us	Citrus View, Imperial County, California, United States of America	-115.5658247	32.9647693	-115.5658247	32.9647693			
Seeley		node	150962018	place	hamlet	-115.6911118	32.7931128	19	0.275			Imperial County	California	United States of America	us	Seeley, Imperial County, California, United States of America	-115.6911118	32.7931128	-115.6911118	32.7931128			
Wheel Estates Mobile Park		way	44389033	highway	residential	-115.5560571	32.8024425	22	0.2		El Centro	Imperial County	California	United States of America	us	Wheel Estates Mobile Park, El Centro, Imperial County, California, United States of America	-115.5570093	32.8020091	-115.5549340	32.8036769			
Desert Trails RV Park		way	44388939	highway	residential	-115.5486967	32.7690885	22	0.2		El Centro	Imperial County	California	United States of America	us	Desert Trails RV Park, El Centro, Imperial County, California, United States of America	-115.5496036	32.7674670	-115.5475115	32.7710440			
Malan Mobile Home Park		way	44389041	highway	residential	-115.5120640	32.9720482	22	0.2		Brawley	Imperial County	California	United States of America	us	Malan Mobile Home Park, Brawley, Imperial County, California, United States of America	-115.5125796	32.9709254	-115.5115470	32.9731643			
Smyth Mobile Home Park		way	44389210	highway	residential	-115.5128026	32.9736502	22	0.2		Brawley	Imperial County	California	United States of America	us	Smyth Mobile Home Park, Brawley, Imperial County, California, United States of America	-115.5136191	32.9732056	-115.5119180	32.9749151			
Tres Palmas Mobile Home Park		way	44389596	highway	residential	-115.5130939	32.9720560	22	0.2		Brawley	Imperial County	California	United States of America	us	Tres Palmas Mobile Home Park, Brawley, Imperial County, California, United States of America	-115.5136176	32.9709389	-115.5125743	32.9731665			
North 1st Street		way	10355472	highway	residential	-115.5441031	32.7938552	22	0.2	North 1st Street	El Centro	Imperial County	California	United States of America	us	North 1st Street, El Centro, Imperial County, California, United States of America	-115.5441455	32.7928259	-115.5440830	32.7948912			
Bertussi Road		way	10356586	highway	residential	-115.5904153	32.7959008	22	0.2	Bertussi Road		Imperial County	California	United States of America	us	Bertussi Road, Imperial County, California, United States of America	-115.5905643	32.7952521	-115.5903917	32.7965674			
Corner Lane		way	10357715	highway	residential	-115.6125202	32.7934210	22	0.2	Corner Lane		Imperial County	California	United States of America	us	Corner Lane, Imperial County, California, United States of America	-115.6129989	32.7934138	-115.6120414	32.7934282			
Holt Avenue		way	10356987	highway	residential	-115.6860582	32.7946534	22	0.2	Holt Avenue		Imperial County	California	United States of America	us	Holt Avenue, Imperial County, California, United States of America	-115.6860650	32.7927949	-115.6859698	32.7965177			
Monterey Avenue		way	10357836	highway	residential	-115.6782551	32.8162966	22	0.2	Monterey Avenue		Imperial County	California	United States of America	us	Monterey Avenue, Imperial County, California, United States of America	-115.6787937	32.8161183	-115.6778044	32.8166241			
Sand Drive		way	10354376	highway	residential	-115.6766127	32.8178385	22	0.2	Sand Drive		Imperial County	California	United States of America	us	Sand Drive, Imperial County, California, United States of America	-115.6767233	32.8174793	-115.6765386	32.8181824			
Havens Road		way	10355515	highway	residential	-115.6813343	32.8109734	22	0.2	Havens Road		Imperial County	California	United States of America	us	Havens Road, Imperial County, California, United States of America	-115.6904138	32.8108421	-115.6722585	32.8110643			
Palm Drive		way	10355903	highway	residential	-115.6743792	32.8141912	22	0.2	Palm Drive		Imperial County	California	United States of America	us	Palm Drive, Imperial County, California, United States of America	-115.6751937	32.8134494	-115.6737993	32.8145900			
Desert Drive		way	10356555	highway	residential	-115.6758086	32.8142154	22	0.2	Desert Drive		Imperial County	California	United States of America	us	Desert Drive, Imperial County, California, United States of America	-115.6765514	32.8142145	-115.6750968	32.8148932			
Circle Street		way	10356694	highway	residential	-115.6772342	32.8165632	22	0.2	Circle Street		Imperial County	California	United States of America	us	Circle Street, Imperial County, California, United States of America	-115.6782854	32.8165529	-115.6765269	32.8174793			
Valley Forge Avenue		way	10356682	highway	residential	-115.6785888	32.8139891	22	0.2	Valley Forge Avenue		Imperial County	California	United States of America	us	Valley Forge Avenue, Imperial County, California, United States of America	-115.6798943	32.8136942	-115.6775383	32.8149010			
J Street		way	10357245	highway	residential	-115.6668853	32.8128515	22	0.2	J Street		Imperial County	California	United States of America	us	J Street, Imperial County, California, United States of America	-115.6669061	32.8122096	-115.6665682	32.8136838			
G Street		way	10357932	highway	residential	-115.6635292	32.8129421	22	0.2	G Street		Imperial County	California	United States of America	us	G Street, Imperial County, California, United States of America	-115.6635373	32.8122140	-115.6635212	32.8136702			
8th Street		way	10358077	highway	residential	-115.6657068	32.8136790	22	0.2	8th Street		Imperial County	California	United States of America	us	8th Street, Imperial County, California, United States of America	-115.6720285	32.8136702	-115.6593851	32.8136929			
Sage Drive		way	10358229	highway	residential	-115.6790662	32.8171584	22	0.2	Sage Drive		Imperial County	California	United States of America	us	Sage Drive, Imperial County, California, United States of America	-115.6792211	32.8168621	-115.6788633	32.8174746			
Mountain View Drive		way	10358515	highway	residential	-115.6780345	32.8180263	22	0.2	Mountain View Drive		Imperial County	California	United States of America	us	Mountain View Drive, Imperial County, California, United States of America	-115.6792211	32.8174746	-115.6767233	32.8181949			
Patrol Road		way	10358379	highway	residential	-115.6726634	32.8391751	22	0.2	Patrol Road		Imperial County	California	United States of America	us	Patrol Road, Imperial County, California, United States of America	-115.6920390	32.8148515	-115.6555312	32.8391765			
Riverside Drive		way	310440072	highway	residential	-115.6923054	32.7685174	22	0.2	Riverside Drive		Imperial County	California	United States of America	us	Riverside Drive, Imperial County, California, United States of America	-115.6926764	32.7681045	-115.6919921	32.7689213			
Willow Lane		way	310440074	highway	residential	-115.6919758	32.7685307	22	0.2	Willow Lane		Imperial County	California	United States of America	us	Willow Lane, Imperial County, California, United States of America	-115.6919921	32.7679381	-115.6919156	32.7691345			
Hillside Way		way	310440070	highway	residential	-115.6912265	32.7691062	22	0.2	Hillside Way		Imperial County	California	United States of America	us	Hillside Way, Imperial County, California, United States of America	-115.6920993	32.7690708	-115.6903538	32.7691407			
Panno Street		way	244268180	highway	residential	-115.5569441	32.9634434	22	0.2	Panno Street	Brawley	Imperial County	California	United States of America	us	Panno Street, Brawley, Imperial County, California, United States of America	-115.5612491	32.9599225	-115.5500615	32.9637594			
Julia Drive		way	10354188	highway	residential	-115.5498859	32.9663163	22	0.2	Julia Drive	Brawley	Imperial County	California	United States of America	us	Julia Drive, Brawley, Imperial County, California, United States of America	-115.5528912	32.9662977	-115.5468805	32.9663349			
Calle del Cielo		way	10356467	highway	residential	-115.5591930	32.9570125	22	0.2	Calle del Cielo	Brawley	Imperial County	California	United States of America	us	Calle del Cielo, Brawley, Imperial County, California, United States of America	-115.5612394	32.9570004	-115.5571465	32.9570225			
Calle Luna		way	10357380	highway	residential	-115.5591916	32.9577268	22	0.2	Calle Luna	Brawley	Imperial County	California	United States of America	us	Calle Luna, Brawley, Imperial County, California, United States of America	-115.5612410	32.9577126	-115.5571423	32.9577346			
Ronald Street		way	10354228	highway	residential	-115.5581152	32.9613701	22	0.2	Ronald Street	Brawley	Imperial County	California	United States of America	us	Ronald Street, Brawley, Imperial County, California, United States of America	-115.5612407	32.9613490	-115.5549894	32.9613749			
Jennifer Street		way	10354438	highway	residential	-115.5581080	32.9627620	22	0.2	Jennifer Street	Brawley	Imperial County	California	United States of America	us	Jennifer Street, Brawley, Imperial County, California, United States of America	-115.5604347	32.9613718	-115.5549915	32.9627657			
Steven Street		way	10354588	highway	residential	-115.5581128	32.9606676	22	0.2	Steven Street	Brawley	Imperial County	California	United States of America	us	Steven Street, Brawley, Imperial County, California, United States of America	-115.5612420	32.9606647	-115.5549837	32.9606707			
Evelyn Avenue		way	10355802	highway	residential	-115.5549882	32.9616922	22	0.2	Evelyn Avenue	Brawley	Imperial County	California	United States of America	us	Evelyn Avenue, Brawley, Imperial County, California, United States of America	-115.5549915	32.9599250	-115.5549837	32.9634594			
David Street		way	10358441	highway	residential	-115.5574965	32.9620672	22	0.2	David Street	Brawley	Imperial County	California	United States of America	us	David Street, Brawley, Imperial County, California, United States of America	-115.5596056	32.9613749	-115.5549867	32.9620692			
Ventana Avenue		way	10358647	highway	residential	-115.5612517	32.9581162	22	0.2	Ventana Avenue	Brawley	Imperial County	California	United States of America	us	Ventana Avenue, Brawley, Imperial County, California, United States of America	-115.5612600	32.9563097	-115.5612355	32.9599225			
North C Street		way	10357319	highway	residential	-115.5773299	32.8531556	22	0.2	North C Street	Imperial	Imperial County	California	United States of America	us	North C Street, Imperial, Imperial County, California, United States of America	-115.5773430	32.8515941	-115.5773168	32.8547172			
Sage Court		way	10354241	highway	residential	-115.5653302	32.8555683	22	0.2	Sage Court	Imperial	Imperial County	California	United States of America	us	Sage Court, Imperial, Imperial County, California, United States of America	-115.5653361	32.8551824	-115.5653243	32.8559542			
West 11th Street		way	10354301	highway	residential	-115.5730639	32.8505607	22	0.2	West 11th Street	Imperial	Imperial County	California	United States of America	us	West 11th Street, Imperial, Imperial County, California, United States of America	-115.5761600	32.8505548	-115.5699677	32.8505664			
East 13th Street		way	10356387	highway	residential	-115.5696646	32.8526361	22	0.2	East 13th Street	Imperial	Imperial County	California	United States of America	us	East 13th Street, Imperial, Imperial County, California, United States of America	-115.5699792	32.8526348	-115.5693499	32.8526375			
Los Coyotes Court		way	453567757	highway	residential	-115.5673992	32.8626199	22	0.2	Los Coyotes Court	Imperial	Imperial County	California	United States of America	us	Los Coyotes Court, Imperial, Imperial County, California, United States of America	-115.5674011	32.8621822	-115.5673972	32.8630576			
Saboba Court		way	453567758	highway	residential	-115.5661501	32.8626150	22	0.2	Saboba Court	Imperial	Imperial County	California	United States of America	us	Saboba Court, Imperial, Imperial County, California, United States of America	-115.5661501	32.8621652	-115.5661500	32.8630649			
Ramona Court		way	453567759	highway	residential	-115.5653059	32.8626194	22	0.2	Ramona Court	Imperial	Imperial County	California	United States of America	us	Ramona Court, Imperial, Imperial County, California, United States of America	-115.5653105	32.8621687	-115.5653012	32.8630702			
North H Street		way	10354184	highway	residential	-115.5711720	32.8511017	22	0.2	North H Street	Imperial	Imperial County	California	United States of America	us	North H Street, Imperial, Imperial County, California, United States of America	-115.5711961	32.8474677	-115.5711686	32.8547356			
Silver Spur Court		way	10355178	highway	residential	-115.5663220	32.8676472	22	0.2	Silver Spur Court	Imperial	Imperial County	California	United States of America	us	Silver Spur Court, Imperial, Imperial County, California, United States of America	-115.5663229	32.8674068	-115.5663211	32.8678877			
North O Street		way	10355180	highway	residential	-115.5626228	32.8499895	22	0.2	North O Street	Imperial	Imperial County	California	United States of America	us	North O Street, Imperial, Imperial County, California, United States of America	-115.5626373	32.8474443	-115.5626083	32.8525347			
Silverado Trail		way	10355254	highway	residential	-115.5668726	32.8606292	22	0.2	Silverado Trail	Imperial	Imperial County	California	United States of America	us	Silverado Trail, Imperial, Imperial County, California, United States of America	-115.5683958	32.8606286	-115.5653493	32.8606340			
East 15th Street		way	10355369	highway	residential	-115.5674812	32.8546154	22	0.2	East 15th Street	Imperial	Imperial County	California	United States of America	us	East 15th Street, Imperial, Imperial County, California, United States of America	-115.5699516	32.8546022	-115.5650043	32.8547322			
North D Street		way	10355637	highway	residential	-115.5761333	32.8525410	22	0.2	North D Street	Imperial	Imperial County	California	United States of America	us	North D Street, Imperial, Imperial County, California, United States of America	-115.5761600	32.8505664	-115.5761072	32.8545157			
North M Street		way	10355834	highway	residential	-115.5650394	32.8510422	22	0.2	North M Street	Imperial	Imperial County	California	United States of America	us	North M Street, Imperial, Imperial County, California, United States of America	-115.5650740	32.8474644	-115.5650043	32.8546199			
Horseshoe Court		way	10356404	highway	residential	-115.5683378	32.8676381	22	0.2	Horseshoe Court	Imperial	Imperial County	California	United States of America	us	Horseshoe Court, Imperial, Imperial County, California, United States of America	-115.5683391	32.8673899	-115.5683364	32.8678863			
Sycamore Street		way	10356490	highway	residential	-115.5653741	32.8587087	22	0.2	Sycamore Street	Imperial	Imperial County	California	United States of America	us	Sycamore Street, Imperial, Imperial County, California, United States of America	-115.5653771	32.8583152	-115.5653711	32.8591022			
North E Street		way	10356697	highway	residential	-115.5748619	32.8515912	22	0.2	North E Street	Imperial	Imperial County	California	United States of America	us	North E Street, Imperial, Imperial County, California, United States of America	-115.5748779	32.8494874	-115.5748505	32.8536950			
Canon Drive		way	10356592	highway	residential	-115.5668016	32.8626622	22	0.2	Canon Drive	Imperial	Imperial County	California	United States of America	us	Canon Drive, Imperial, Imperial County, California, United States of America	-115.5672333	32.8564183	-115.5653029	32.8691576			
Branding Iron Drive		way	10356767	highway	residential	-115.5673204	32.8666500	22	0.2	Branding Iron Drive	Imperial	Imperial County	California	United States of America	us	Branding Iron Drive, Imperial, Imperial County, California, United States of America	-115.5693377	32.8666193	-115.5653029	32.8666502			
