name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Palo Alto	팰로앨토,パロアルト,Paloalto,Palo-Alto,Tsin Łichíʼínééz,بالو ألتو,پالو آلتو,مئیفیلڈ,פאלו אלטו,Πάλο Άλτο,Пало Алто,Пало-Альто,पालो आल्टो,帕羅奧圖	relation	1544955	place	city	-122.1796556	37.3819839	16	0.515595473283244		Palo Alto	Santa Clara County	California	United States of America	us	Palo Alto, Santa Clara County, California, United States of America	-122.2026563	37.2854725	-122.0709782	37.4779424	Q47265	en:Palo Alto, California	
Sunnyvale	桑尼维尔	node	150963377	place	city	-122.0363496	37.3688301	16	0.491922981937456			Santa Clara County	California	United States of America	us	Sunnyvale, Santa Clara County, California, United States of America	-122.0363496	37.3688301	-122.0363496	37.3688301	Q208459	en:Sunnyvale, California	
Sunnyvale		relation	112145	boundary	administrative	-122.0163461	37.3979130	16	0.491922981937456		Sunnyvale	Santa Clara County	California	United States of America	us	Sunnyvale, Santa Clara County, California, United States of America	-122.0652650	37.3298950	-121.9824201	37.4637360	Q208459	en:Sunnyvale, California	
Mountain View		relation	1544956	place	city	-122.0850716	37.4138081	16	0.489818851396662		Mountain View	Santa Clara County	California	United States of America	us	Mountain View, Santa Clara County, California, United States of America	-122.1175613	37.3567552	-122.0450321	37.4710169	Q486860	en:Mountain View, California	
Cupertino		relation	2221709	place	city	-122.0612907	37.3093780	16	0.474509764624559		Cupertino	Santa Clara County	California	United States of America	us	Cupertino, Santa Clara County, California, United States of America	-122.0910659	37.2784934	-121.9958300	37.3403178	Q189471	en:Cupertino, California	
Stanford	스탠퍼드,استنفورد,ستانفورد,Станфорд,Стенфорд,Стэнфард,斯坦佛	relation	1546085	place	hamlet	-122.1701877	37.4265648	19	0.4619162592812		Stanford	Santa Clara County	California	United States of America	us	Stanford, Santa Clara County, California, United States of America	-122.1913195	37.4063200	-122.1492400	37.4469336	Q173813	en:Stanford, California	
Menlo Park		relation	1544957	place	town	-122.1032263	37.4756695	18	0.460100065489903		Menlo Park	San Mateo County	California	United States of America	us	Menlo Park, San Mateo County, California, United States of America	-122.2291177	37.4169200	-122.0816990	37.5343360	Q74195	en:Menlo Park, California	
Los Altos		node	1283669332	place	town	-122.1165780	37.3790629	18	0.433832285069889		Los Altos	Santa Clara County	California	United States of America	us	Los Altos, Los Altos, Santa Clara County, California, United States of America	-122.1165780	37.3790629	-122.1165780	37.3790629	Q864124	en:Los Altos, California	
Los Altos		relation	1545000	place	city	-122.1088421	37.3674139	16	0.433832285069889		Los Altos	Santa Clara County	California	United States of America	us	Los Altos, Santa Clara County, California, United States of America	-122.1293580	37.3285006	-122.0596398	37.4062580	Q864124	en:Los Altos, California	
Saratoga	ساراتوغا، سانتا كلارا، كاليفورنيا	relation	3501739	place	city	-122.0256422	37.2663845	16	0.433201008739908		Saratoga	Santa Clara County	California	United States of America	us	Saratoga, Santa Clara County, California, United States of America	-122.0664410	37.2360150	-121.9894800	37.2963320	Q927163	en:Saratoga, California	
