name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Berkeley	ברקלי,Беркли,Берклі,伯克利	relation	2833528	place	city	-122.3003079	37.8725480	16	0.585505117607742		Berkeley	Alameda County	California	United States of America	us	Berkeley, Alameda County, California, United States of America	-122.3686794	37.8357270	-122.2341962	37.9066895	Q484678	en:Berkeley, California	
San Francisco Bay Area	Bay Area	node	2157162589	multiple	region	-122.3558473	37.7884969	18	0.576573021571856		San Francisco	San Francisco City and County	California	United States of America	us	San Francisco Bay Area, San Francisco, San Francisco City and County, California, United States of America	-122.3558473	37.7884969	-122.3558473	37.7884969	Q213205	en:San Francisco Bay Area	
Golden Gate Bridge		way	26968357	multiple	cycleway,motorway	-122.4775137	37.8096318	26	0.508478367129613		San Francisco	San Francisco City and County	California	United States of America	us	Golden Gate Bridge, San Francisco, San Francisco City and County, California, United States of America	-122.4809526	37.8069797	-122.4752190	37.8323400	Q44440	en:Golden Gate Bridge	
Richmond	里士满	relation	114481	place	city	-122.4093200	37.9557616	16	0.485982080196339		Richmond	Contra Costa County	California	United States of America	us	Richmond, Contra Costa County, California, United States of America	-122.4415018	37.8835467	-122.2434491	38.0281361	Q495377	en:Richmond, California	
Alameda	Αλαμήντα,Аламеда,Аламида,阿拉米達	relation	2999120	boundary	administrative	-122.2672279	37.7537280	16	0.48262511962857		Alameda	Alameda County	California	United States of America	us	Alameda, Alameda County, California, United States of America	-122.3402811	37.7076210	-122.2238590	37.8006279	Q490744	en:Alameda, California	
Emeryville		node	150980203	place	town	-122.2865266	37.8314089	18	0.453011980742312			Alameda County	California	United States of America	us	Emeryville, Alameda County, California, United States of America	-122.2865266	37.8314089	-122.2865266	37.8314089	Q499178	en:Emeryville, California	
Emeryville		relation	2833529	place	town	-122.3037675	37.8388935	18	0.453011980742312		Emeryville	Alameda County	California	United States of America	us	Emeryville, Alameda County, California, United States of America	-122.3301570	37.8270749	-122.2760121	37.8499727	Q499178	en:Emeryville, California	
Sausalito	City of Sausalito,Саусалито	relation	2829689	boundary	administrative	-122.4926780	37.8589362	16	0.445615334536579		Sausalito	Marin County	California	United States of America	us	Sausalito, Marin County, California, United States of America	-122.5102614	37.8436795	-122.4753745	37.8731429	Q828729	en:Sausalito, California	
El Cerrito		node	150971841	place	town	-122.3014111	37.9154055	18	0.417691811462867		El Cerrito	Contra Costa County	California	United States of America	us	El Cerrito, El Cerrito, Contra Costa County, California, United States of America	-122.3014111	37.9154055	-122.3014111	37.9154055	Q996569	en:El Cerrito, California	
El Cerrito		relation	2999143	boundary	administrative	-122.2992350	37.9171667	16	0.417691811462867		El Cerrito	Contra Costa County	California	United States of America	us	El Cerrito, Contra Costa County, California, United States of America	-122.3233213	37.8974916	-122.2811178	37.9383423	Q996569	en:El Cerrito, California	
San Pablo		relation	3704291	boundary	administrative	-122.3469404	37.9652971	16	0.415526293934632		San Pablo	Contra Costa County	California	United States of America	us	San Pablo, Contra Costa County, California, United States of America	-122.3586076	37.9490751	-122.3184314	37.9815573	Q983863	en:San Pablo, California	
Tiburon		node	150957262	place	village	-122.4566122	37.8734371	19	0.387409264847569		Tiburon	Marin County	California	United States of America	us	Tiburon, Tiburon, Marin County, California, United States of America	-122.4566122	37.8734371	-122.4566122	37.8734371	Q984603	en:Tiburon, California	
Tiburon	Town of Tiburon	relation	2829690	boundary	administrative	-122.4621423	37.8852645	16	0.387409264847569		Tiburon	Marin County	California	United States of America	us	Tiburon, Marin County, California, United States of America	-122.5076497	37.8417313	-122.4186731	37.9298443	Q984603	en:Tiburon, California	
Brooks Island Regional Shoreline		way	157449985	place	island	-122.3559247	37.8977520	17	0.371694790232477		Richmond	Contra Costa County	California	United States of America	us	Brooks Island Regional Shoreline, Richmond, Contra Costa County, California, United States of America	-122.3736766	37.8938603	-122.3511070	37.9016723		en:Brooks Island	
Winehaven		node	2626670526	multiple	locality	-122.4162958	37.9524011	20	0.365032279166725		Richmond	Contra Costa County	California	United States of America	us	Winehaven, Richmond, Contra Costa County, California, United States of America	-122.4162958	37.9524011	-122.4162958	37.9524011	Q8024966	en:Winehaven, California	
Berkeley Marina		node	2767529734	place	neighbourhood	-122.3130529	37.8678664	22	0.364446028962673		Berkeley	Alameda County	California	United States of America	us	Berkeley Marina, Berkeley, Alameda County, California, United States of America	-122.3130529	37.8678664	-122.3130529	37.8678664	Q4892056	en:Berkeley Marina	
Lombard Street	The Crookedest Street,九曲花街	way	8921164	multiple	cycleway,residential,tertiary,trunk	-122.4478085	37.7984004	22	0.360192329579184		San Francisco	San Francisco City and County	California	United States of America	us	Lombard Street, San Francisco, San Francisco City and County, California, United States of America	-122.4512668	37.7974321	-122.4020009	37.8043626	Q930276	en:Lombard Street (San Francisco)	2800, 1360, 1450, 2770, 939, 1750, 2765, 724, 726, 728, 730, 732, 734, 734 A, 720, 722, 2230, 700, 702, 704, 706, 708, 710, 2055, 2601, 2358, 1901, 2274, 1727, 2101, 2112, 2098, 2150, 1488, 2190, 1, 150-156, 1790, 2274, 2380, 2288, 101, 150, 2598, 1305, 2395, 2424, 2036, 1501, 2205, 2128, 2505, 1079, 1599, 2769, 2524, 1650, 1688, 2599, 2707, 1770, 1340, 2414, 1772, 1320, 1488, 2055, 2095, 2361, 2385
Chinatown	Oakland Chinatown	node	150960053	place	neighbourhood	-122.2702386	37.7999301	22	0.359877925155736		Oakland	Alameda County	California	United States of America	us	Chinatown, Oakland, Alameda County, California, United States of America	-122.2702386	37.7999301	-122.2702386	37.7999301	Q5100154	en:Chinatown, Oakland	
Tenderloin		node	4609282250	place	neighbourhood	-122.4139934	37.7842493	22	0.355314259820165		San Francisco	San Francisco City and County	California	United States of America	us	Tenderloin, San Francisco, San Francisco City and County, California, United States of America	-122.4139934	37.7842493	-122.4139934	37.7842493	Q7464	en:Tenderloin, San Francisco	
Kensington		node	150944824	place	village	-122.2802472	37.9104805	19	0.353951264327698			Contra Costa County	California	United States of America	us	Kensington, Contra Costa County, California, United States of America	-122.2802472	37.9104805	-122.2802472	37.9104805	Q3296036	en:Kensington, California	
San Pablo Creek		way	35553654	waterway	stream	-122.3640025	37.9675785	22	0.353259245603886			Contra Costa County	California	United States of America	us	San Pablo Creek, Contra Costa County, California, United States of America	-122.3831116	37.9624090	-122.3456488	37.9756794		en:San Pablo Creek	
The Merry Miller Pond		way	446617511	natural	water	-122.2600822	37.8085637	16	0.35			Alameda County	California	United States of America	us	The Merry Miller Pond, Alameda County, California, United States of America	-122.2601274	37.8085222	-122.2600350	37.8085953			
Richmond	列治文	node	150981381	place	city	-122.3477487	37.9357575	16	0.35			Contra Costa County	California	United States of America	us	Richmond, Contra Costa County, California, United States of America	-122.3477487	37.9357575	-122.3477487	37.9357575	Q495377		
The Fountain	Marin Circle Fountain	way	203278314	natural	water	-122.2723955	37.8901484	16	0.35			Alameda County	California	United States of America	us	The Fountain, Alameda County, California, United States of America	-122.2724451	37.8901104	-122.2723460	37.8901874			
Albany		relation	2999142	boundary	administrative	-122.3259999	37.8843521	16	0.35		Albany	Alameda County	California	United States of America	us	Albany, Alameda County, California, United States of America	-122.3737488	37.8695715	-122.2817013	37.8989613	Q671480		
Lake Merritt	Merritt's Lake;San Antonio Slough;San Antonio Creek	relation	34513	natural	water	-122.2562438	37.8046041	16	0.35			Alameda County	California	United States of America	us	Lake Merritt, Alameda County, California, United States of America	-122.2631127	37.7985935	-122.2496133	37.8106046	Q3623431		
South Lake		relation	1439753	natural	water	-122.4998944	37.7652536	16	0.35			San Francisco City and County	California	United States of America	us	South Lake, San Francisco City and County, California, United States of America	-122.5004078	37.7649375	-122.4992867	37.7655747			
Vaillancourt Fountain		way	27146056	natural	water	-122.3953419	37.7954343	16	0.35			San Francisco City and County	California	United States of America	us	Vaillancourt Fountain, San Francisco City and County, California, United States of America	-122.3955466	37.7953028	-122.3951027	37.7955431	Q3076099		
Sutro Reservoir		way	28575415	natural	water	-122.4544186	37.7523310	16	0.35			San Francisco City and County	California	United States of America	us	Sutro Reservoir, San Francisco City and County, California, United States of America	-122.4557424	37.7516136	-122.4530945	37.7530428			
Elk Glen Lake		way	100844313	natural	water	-122.4821437	37.7674903	16	0.35			San Francisco City and County	California	United States of America	us	Elk Glen Lake, San Francisco City and County, California, United States of America	-122.4827467	37.7670980	-122.4812313	37.7678632	Q29347927		
Metson Lake		way	100844658	natural	water	-122.4894291	37.7671183	16	0.35			San Francisco City and County	California	United States of America	us	Metson Lake, San Francisco City and County, California, United States of America	-122.4899585	37.7667500	-122.4889206	37.7674975			
Lloyd Lake		way	100844604	natural	water	-122.4816276	37.7706191	16	0.35			San Francisco City and County	California	United States of America	us	Lloyd Lake, San Francisco City and County, California, United States of America	-122.4827161	37.7701586	-122.4810865	37.7710722	Q6662571		
Lily Pond		way	265332416	natural	water	-122.4614504	37.7707768	16	0.35			San Francisco City and County	California	United States of America	us	Lily Pond, San Francisco City and County, California, United States of America	-122.4622447	37.7706017	-122.4608481	37.7709522			
Bamboo Pond		way	388991378	natural	water	-122.4684909	37.7661531	16	0.35			San Francisco City and County	California	United States of America	us	Bamboo Pond, San Francisco City and County, California, United States of America	-122.4686823	37.7660725	-122.4683015	37.7662295			
Dwarf Conifer Pond		way	388991375	natural	water	-122.4686036	37.7665137	16	0.35			San Francisco City and County	California	United States of America	us	Dwarf Conifer Pond, San Francisco City and County, California, United States of America	-122.4687306	37.7664309	-122.4684786	37.7666006			
Stow Lake		relation	12908	natural	water	-122.4731169	37.7689867	16	0.35			San Francisco City and County	California	United States of America	us	Stow Lake, San Francisco City and County, California, United States of America	-122.4776061	37.7673271	-122.4716041	37.7706314			
Middle Lake		relation	1439752	natural	water	-122.4996103	37.7670367	16	0.35			San Francisco City and County	California	United States of America	us	Middle Lake, San Francisco City and County, California, United States of America	-122.5001401	37.7663848	-122.4985435	37.7676959			
Mallard Lake		relation	1439751	natural	water	-122.4860801	37.7663913	16	0.35			San Francisco City and County	California	United States of America	us	Mallard Lake, San Francisco City and County, California, United States of America	-122.4874694	37.7659874	-122.4853153	37.7668231			
Waterfowl Pond		relation	2792384	natural	water	-122.4699065	37.7683165	16	0.35			San Francisco City and County	California	United States of America	us	Waterfowl Pond, San Francisco City and County, California, United States of America	-122.4702818	37.7680714	-122.4695462	37.7685574			
Mountain Lake		way	16650677	natural	water	-122.4711553	37.7882154	16	0.35			San Francisco City and County	California	United States of America	us	Mountain Lake, San Francisco City and County, California, United States of America	-122.4720613	37.7873979	-122.4698240	37.7890088			
Spreckels Lake		way	16750564	natural	water	-122.4941182	37.7710041	16	0.35			San Francisco City and County	California	United States of America	us	Spreckels Lake, San Francisco City and County, California, United States of America	-122.4955364	37.7703937	-122.4924813	37.7716053			
Fly Casting Pools		way	24308365	natural	water	-122.4967995	37.7675524	16	0.35			San Francisco City and County	California	United States of America	us	Fly Casting Pools, San Francisco City and County, California, United States of America	-122.4975225	37.7672950	-122.4960763	37.7678098			
Canyon Trail Pond		way	479614897	natural	water	-122.3169191	37.9313864	16	0.35			Contra Costa County	California	United States of America	us	Canyon Trail Pond, Contra Costa County, California, United States of America	-122.3170309	37.9313475	-122.3168012	37.9314565			
Hilltop Lake		way	43950693	natural	water	-122.3277858	37.9858631	16	0.35			Contra Costa County	California	United States of America	us	Hilltop Lake, Contra Costa County, California, United States of America	-122.3298380	37.9847610	-122.3265890	37.9869420	Q7354036		
Harbor Channel		way	305469852	natural	water	-122.3633142	37.9129648	16	0.35			Contra Costa County	California	United States of America	us	Harbor Channel, Contra Costa County, California, United States of America	-122.3690135	37.9057160	-122.3591417	37.9208262			
Santa Fe Channel		way	305469872	natural	water	-122.3717018	37.9221632	16	0.35			Contra Costa County	California	United States of America	us	Santa Fe Channel, Contra Costa County, California, United States of America	-122.3769141	37.9195997	-122.3681189	37.9247492			
Belvedere	City of Belvedere	relation	2829688	boundary	administrative	-122.4701971	37.8702564	16	0.349320102534266		Belvedere	Marin County	California	United States of America	us	Belvedere, Marin County, California, United States of America	-122.4891412	37.8530384	-122.4522041	37.8878730	Q2054234	en:Belvedere, California	
North Richmond		node	150933548	place	village	-122.3674714	37.9588126	19	0.345526707892277			Contra Costa County	California	United States of America	us	North Richmond, Contra Costa County, California, United States of America	-122.3674714	37.9588126	-122.3674714	37.9588126	Q2493425	en:North Richmond, California	
East Richmond Heights	Richmond View	node	150935697	place	village	-122.3135812	37.9449240	19	0.343947218037196			Contra Costa County	California	United States of America	us	East Richmond Heights, Contra Costa County, California, United States of America	-122.3135812	37.9449240	-122.3135812	37.9449240	Q2317126	en:East Richmond Heights, California	
Balmy Alley		way	8920344	highway	service	-122.4124087	37.7518057	27	0.333599819480483	Balmy Alley	San Francisco	San Francisco City and County	California	United States of America	us	Balmy Alley, San Francisco, San Francisco City and County, California, United States of America	-122.4124850	37.7510082	-122.4123323	37.7526031	Q4852412	en:Balmy Alley	
