name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Calexico		relation	112206	place	city	-115.4916580	32.6858074	16	0.408116863567154		Calexico			United States of America	us	Calexico	-115.5335500	32.6620950	-115.4559381	32.7095879	Q753034	en:Calexico, California	
Holtville		way	33113145	place	city	-115.3820937	32.8113895	16	0.359877925155736		Holtville	Imperial County	California	United States of America	us	Holtville, Imperial County, California, United States of America	-115.3944530	32.8025759	-115.3628410	32.8202049	Q631666	en:Holtville, California	
Lado Bahavia		way	382021627	natural	water	-115.0704723	32.5222363	16	0.35			Mexicali	Baja California	Mexico	mx	Lado Bahavia, Mexicali, Baja California, Mexico	-115.0708045	32.5220396	-115.0701662	32.5223744			
CESPM		way	516701773	natural	water	-115.4339010	32.6451707	16	0.35			Mexicali	Baja California	Mexico	mx	CESPM, Mexicali, Baja California, Mexico	-115.4344510	32.6449448	-115.4333533	32.6456705			
Lago Libano		way	544613513	natural	water	-115.4484812	32.5943949	16	0.35			Mexicali	Baja California	Mexico	mx	Lago Libano, Mexicali, Baja California, Mexico	-115.4485161	32.5943392	-115.4484474	32.5944374			
Lago del Bosque de la Ciudad		relation	445291	natural	water	-115.4853654	32.6294716	16	0.35			Mexicali	Baja California	Mexico	mx	Lago del Bosque de la Ciudad, Mexicali, Baja California, Mexico	-115.4881610	32.6258679	-115.4845916	32.6330173			
Laguna México		way	54603787	natural	water	-115.4574046	32.5841407	16	0.35			Mexicali	Baja California	Mexico	mx	Laguna México, Mexicali, Baja California, Mexico	-115.4656582	32.5736717	-115.4293627	32.5950876			
Laguna Xochimilco		way	54605541	natural	water	-115.4469138	32.6036698	16	0.35			Mexicali	Baja California	Mexico	mx	Laguna Xochimilco, Mexicali, Baja California, Mexico	-115.4485135	32.6019926	-115.4464430	32.6055813			
Fuente Residencias		way	516701777	natural	water	-115.4462365	32.6290415	16	0.35			Mexicali	Baja California	Mexico	mx	Fuente Residencias, Mexicali, Baja California, Mexico	-115.4463684	32.6289306	-115.4461044	32.6291558			
Río Nuevo		way	54603784	multiple	river,stream	-115.4613236	32.5947093	17	0.325			Mexicali	Baja California	Mexico	mx	Río Nuevo, Mexicali, Baja California, Mexico	-115.4992237	32.5239319	-115.4370372	32.6646955			SN
Alamo River		way	181017537	waterway	river	-115.4570769	32.9158807	17	0.325			Imperial County	California	United States of America	us	Alamo River, Imperial County, California, United States of America	-115.6107398	32.6750887	-115.3482510	33.2043008			
Juventud 2000		way	328327398	waterway	river	-115.4781973	32.6036700	17	0.325			Mexicali	Baja California	Mexico	mx	Juventud 2000, Mexicali, Baja California, Mexico	-115.4782148	32.6034063	-115.4781797	32.6039336			
Río Alamo		way	51787444	waterway	river	-115.2579127	32.6129792	17	0.325			Mexicali	Baja California	Mexico	mx	Río Alamo, Mexicali, Baja California, Mexico	-115.4183468	32.5641725	-115.0988896	32.6458581			SN, SN
Sinaloa		node	3852267264	place	town	-115.2780737	32.5524739	18	0.3			Mexicali	Baja California	Mexico	mx	Sinaloa, Mexicali, Baja California, Mexico	-115.2780737	32.5524739	-115.2780737	32.5524739			
Queretaro		node	3852255571	place	town	-115.1532423	32.5527640	18	0.3			Mexicali	Baja California	Mexico	mx	Queretaro, Mexicali, Baja California, Mexico	-115.1532423	32.5527640	-115.1532423	32.5527640			
Ejido Guanajuato		node	4913813170	place	town	-115.3377383	32.5170861	18	0.3			Mexicali	Baja California	Mexico	mx	Ejido Guanajuato, Mexicali, Baja California, Mexico	-115.3377383	32.5170861	-115.3377383	32.5170861			
Calexico		node	150947841	place	town	-115.4987030	32.6790572	18	0.3		Calexico			United States of America	us	Calexico, Calexico	-115.4987030	32.6790572	-115.4987030	32.6790572	Q753034		
Islas Agrarias - Grupo A		way	54807411	place	town	-115.3269945	32.6118822	18	0.3		Islas Agrarias - Grupo A	Mexicali	Baja California	Mexico	mx	Islas Agrarias - Grupo A, Mexicali, Baja California, Mexico	-115.3422760	32.6070360	-115.3110389	32.6140108			
Deer Peak		node	358782940	natural	peak	-115.2391448	32.8992109	18	0.3			Imperial County	California	United States of America	us	Deer Peak, Imperial County, California, United States of America	-115.2391448	32.8992109	-115.2391448	32.8992109			
Algodones Dunes	Algodones-Dünen	node	358795031	natural	peak	-115.0841386	32.9583762	18	0.3			Imperial County	California	United States of America	us	Algodones Dunes, Imperial County, California, United States of America	-115.0841386	32.9583762	-115.0841386	32.9583762			
Islas Agrarias - Grupo B		way	54807535	place	town	-115.2719991	32.6016330	18	0.3		Islas Agrarias - Grupo B	Mexicali	Baja California	Mexico	mx	Islas Agrarias - Grupo B, Mexicali, Baja California, Mexico	-115.2790689	32.5955951	-115.2662352	32.6064828			
Holtville		node	150963224	place	village	-115.3794265	32.8104966	19	0.275		Holtville	Imperial County	California	United States of America	us	Holtville, Holtville, Imperial County, California, United States of America	-115.3794265	32.8104966	-115.3794265	32.8104966			
Glamis		node	150936149	place	hamlet	-115.0723128	32.9961524	19	0.275			Imperial County	California	United States of America	us	Glamis, Imperial County, California, United States of America	-115.0723128	32.9961524	-115.0723128	32.9961524			
Ruthven		node	150939170	place	hamlet	-115.0113584	32.9525429	19	0.275			Imperial County	California	United States of America	us	Ruthven, Imperial County, California, United States of America	-115.0113584	32.9525429	-115.0113584	32.9525429			
Anza		node	150936731	place	hamlet	-115.4982374	32.7999190	19	0.275			Imperial County	California	United States of America	us	Anza, Imperial County, California, United States of America	-115.4982374	32.7999190	-115.4982374	32.7999190			
Alamorio		node	150945373	place	hamlet	-115.4613752	32.9792110	19	0.275			Imperial County	California	United States of America	us	Alamorio, Imperial County, California, United States of America	-115.4613752	32.9792110	-115.4613752	32.9792110			
Watermans Corner		node	150946166	place	hamlet	-115.4477687	32.7811645	19	0.275			Imperial County	California	United States of America	us	Watermans Corner, Imperial County, California, United States of America	-115.4477687	32.7811645	-115.4477687	32.7811645			
Sandia		node	150955242	place	hamlet	-115.4058196	32.8856034	19	0.275			Imperial County	California	United States of America	us	Sandia, Imperial County, California, United States of America	-115.4058196	32.8856034	-115.4058196	32.8856034			
