name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Modoc County	Modoc	relation	396506	boundary	administrative	-120.7242752	41.5935386	12	0.444194641893335			Modoc County	California	United States of America	us	Modoc County, California, United States of America	-121.4573353	41.1838977	-119.9986077	41.9977028	Q109695	en:Modoc County, California	
Alturas	Альтурас	way	33127658	place	city	-120.5446371	41.4903725	16	0.379188648044636		Alturas	Modoc County	California	United States of America	us	Alturas, Modoc County, California, United States of America	-120.5642550	41.4799440	-120.5251110	41.5003729	Q446281	en:Alturas, California	
Twin Lakes		way	86303408	natural	water	-120.0017726	41.9786391	16	0.35					United States of America	us	Twin Lakes, United States of America	-120.0072982	41.9742443	-119.9985267	41.9830113			
Lower Lake		relation	1284453	natural	water	-120.0491420	41.2561757	16	0.35					United States of America	us	Lower Lake, United States of America	-120.0772556	41.2060214	-119.9875446	41.3062858			
Goose Lake		way	29020692	natural	water	-120.4388930	41.9077138	16	0.35					United States of America	us	Goose Lake, United States of America	-120.5137421	41.7266043	-120.3219160	42.0869102	Q1309664	en:Goose Lake (Oregon–California)	
Timbered Ridge Reservoir		way	86593340	natural	water	-120.8784507	41.7995413	16	0.35			Modoc County	California	United States of America	us	Timbered Ridge Reservoir, Modoc County, California, United States of America	-120.8789321	41.7987872	-120.8779871	41.8003819			
Boles Meadow		way	86593457	natural	water	-120.8626107	41.7315487	16	0.35			Modoc County	California	United States of America	us	Boles Meadow, Modoc County, California, United States of America	-120.8629208	41.7313563	-120.8622969	41.7317932			
Boles Meadow		way	86593641	natural	water	-120.8991247	41.7374196	16	0.35			Modoc County	California	United States of America	us	Boles Meadow, Modoc County, California, United States of America	-120.8993794	41.7372153	-120.8988669	41.7376155			
Reservoir N		way	86593548	natural	water	-120.8853072	41.6233981	16	0.35			Modoc County	California	United States of America	us	Reservoir N, Modoc County, California, United States of America	-120.8853743	41.6233389	-120.8852362	41.6234491			
Pease Flat		way	86594849	natural	water	-120.5963204	41.8971791	16	0.35			Modoc County	California	United States of America	us	Pease Flat, Modoc County, California, United States of America	-120.5965382	41.8970364	-120.5961342	41.8973327			
Reservoir N		way	86628199	natural	water	-120.8853792	41.6242362	16	0.35			Modoc County	California	United States of America	us	Reservoir N, Modoc County, California, United States of America	-120.8854553	41.6241849	-120.8853056	41.6242871			
Rocky Flat Tank		way	86628269	natural	water	-120.7175526	41.9705341	16	0.35			Modoc County	California	United States of America	us	Rocky Flat Tank, Modoc County, California, United States of America	-120.7177763	41.9703118	-120.7173202	41.9707454			
Reservoir N		way	86628356	natural	water	-120.8850894	41.6234594	16	0.35			Modoc County	California	United States of America	us	Reservoir N, Modoc County, California, United States of America	-120.8851915	41.6233973	-120.8850076	41.6235016			
Boles Meadow		way	86628357	natural	water	-120.9063883	41.7480522	16	0.35			Modoc County	California	United States of America	us	Boles Meadow, Modoc County, California, United States of America	-120.9065347	41.7474344	-120.9062627	41.7487804			
Boles Meadow		way	86630370	natural	water	-120.8595006	41.7202233	16	0.35			Modoc County	California	United States of America	us	Boles Meadow, Modoc County, California, United States of America	-120.8596357	41.7200816	-120.8593376	41.7203678			
Beaver Mountain Reservoir		way	86630609	natural	water	-120.7246728	41.9506436	16	0.35			Modoc County	California	United States of America	us	Beaver Mountain Reservoir, Modoc County, California, United States of America	-120.7251642	41.9504705	-120.7241128	41.9508710			
Boles Tank		way	86630662	natural	water	-120.9157506	41.7760498	16	0.35			Modoc County	California	United States of America	us	Boles Tank, Modoc County, California, United States of America	-120.9159593	41.7759168	-120.9155407	41.7761488			
Wilson Reservoir		way	86317225	natural	water	-120.8717117	41.4199446	16	0.35			Modoc County	California	United States of America	us	Wilson Reservoir, Modoc County, California, United States of America	-120.8732883	41.4184811	-120.8701087	41.4213795			
Moll Reservoir		way	86312176	natural	water	-120.7769192	41.1039903	16	0.35			Lassen County	California	United States of America	us	Moll Reservoir, Lassen County, California, United States of America	-120.7802773	41.1008581	-120.7730626	41.1068264			
Twin Lakes		relation	1284509	natural	water	-120.9218300	41.0490587	16	0.35			Lassen County	California	United States of America	us	Twin Lakes, Lassen County, California, United States of America	-120.9227851	41.0480165	-120.9209514	41.0501015			
Spooner Reservoir		relation	1284583	natural	water	-120.6235465	41.0160895	16	0.35			Lassen County	California	United States of America	us	Spooner Reservoir, Lassen County, California, United States of America	-120.6309578	41.0120530	-120.6180105	41.0201340			
Myers Reservoir		way	86309861	natural	water	-120.9706119	41.1240757	16	0.35			Lassen County	California	United States of America	us	Myers Reservoir, Lassen County, California, United States of America	-120.9727182	41.1207165	-120.9682861	41.1274413			
Moon Lake		way	86316228	natural	water	-120.3985070	41.0916097	16	0.35			Lassen County	California	United States of America	us	Moon Lake, Lassen County, California, United States of America	-120.4350340	41.0707871	-120.3672076	41.1124497			
Newland Reservoir		relation	1284483	natural	water	-120.0827509	41.0935306	16	0.35			Lassen County	California	United States of America	us	Newland Reservoir, Lassen County, California, United States of America	-120.0884850	41.0908578	-120.0796549	41.0962156			
Nelson Corral Reservoir		way	86318662	natural	water	-120.5553933	41.1104454	16	0.35			Lassen County	California	United States of America	us	Nelson Corral Reservoir, Lassen County, California, United States of America	-120.5611897	41.1036206	-120.5504695	41.1172811			
Mitchell Field		relation	1323092	natural	water	-120.4167313	41.0530128	16	0.35			Lassen County	California	United States of America	us	Mitchell Field, Lassen County, California, United States of America	-120.4232105	41.0456992	-120.4116783	41.0603704			
Whit Flat Reservoir		way	86303400	natural	water	-120.9444153	41.0824023	16	0.35			Lassen County	California	United States of America	us	Whit Flat Reservoir, Lassen County, California, United States of America	-120.9449991	41.0820708	-120.9440430	41.0827516			
Cary Reservoir		way	86303464	natural	water	-120.9987292	41.1053808	16	0.35			Lassen County	California	United States of America	us	Cary Reservoir, Lassen County, California, United States of America	-120.9994165	41.1050450	-120.9981303	41.1056930			
Lane Reservoir		way	86310409	natural	water	-120.7551609	41.0795592	16	0.35			Lassen County	California	United States of America	us	Lane Reservoir, Lassen County, California, United States of America	-120.7597271	41.0762768	-120.7513139	41.0828995			
Williams Reservoir		way	86311714	natural	water	-120.7820046	41.0215093	16	0.35			Lassen County	California	United States of America	us	Williams Reservoir, Lassen County, California, United States of America	-120.7821087	41.0214057	-120.7818987	41.0216262			
Packwood Reservoir		way	86312104	natural	water	-120.9750858	41.0190565	16	0.35			Lassen County	California	United States of America	us	Packwood Reservoir, Lassen County, California, United States of America	-120.9752326	41.0189626	-120.9749362	41.0191323			
Blue Door Flat		way	86312351	natural	water	-120.3437709	41.0586388	16	0.35			Lassen County	California	United States of America	us	Blue Door Flat, Lassen County, California, United States of America	-120.3449023	41.0573438	-120.3427724	41.0599483			
Snider Lake		way	86312227	natural	water	-120.9237830	41.0181928	16	0.35			Lassen County	California	United States of America	us	Snider Lake, Lassen County, California, United States of America	-120.9259488	41.0143407	-120.9220005	41.0220931			
Lost Lake		way	86313036	natural	water	-120.1392155	41.1550512	16	0.35			Lassen County	California	United States of America	us	Lost Lake, Lassen County, California, United States of America	-120.1414408	41.1532225	-120.1379430	41.1566803			
Holbrook Reservoir		way	86317763	natural	water	-120.6252961	41.0795701	16	0.35			Lassen County	California	United States of America	us	Holbrook Reservoir, Lassen County, California, United States of America	-120.6310926	41.0763116	-120.6201918	41.0827603			
McClelland Reservoir		way	86319088	natural	water	-120.9634014	41.0746259	16	0.35			Lassen County	California	United States of America	us	McClelland Reservoir, Lassen County, California, United States of America	-120.9643321	41.0732622	-120.9627014	41.0759962			
Smith Reservoir		way	86319629	natural	water	-120.4907239	41.1248098	16	0.35			Lassen County	California	United States of America	us	Smith Reservoir, Lassen County, California, United States of America	-120.4913024	41.1242025	-120.4900308	41.1253112			
Big Meadows Reservoir		way	89791370	natural	water	-120.3351659	41.0290948	16	0.35			Lassen County	California	United States of America	us	Big Meadows Reservoir, Lassen County, California, United States of America	-120.3367773	41.0278901	-120.3337694	41.0302169			
Rimrock Valley Reservoir		way	86317549	natural	water	-120.5956176	41.8084561	16	0.35			Modoc County	California	United States of America	us	Rimrock Valley Reservoir, Modoc County, California, United States of America	-120.5960067	41.8082969	-120.5952292	41.8086317			
Williams Valley Stock Tank		way	86317755	natural	water	-120.7267762	41.6659729	16	0.35			Modoc County	California	United States of America	us	Williams Valley Stock Tank, Modoc County, California, United States of America	-120.7270184	41.6656609	-120.7265213	41.6662235			
Essex Tank		relation	1288136	natural	water	-120.8682105	41.5416467	16	0.35			Modoc County	California	United States of America	us	Essex Tank, Modoc County, California, United States of America	-120.8692290	41.5399530	-120.8672716	41.5433733			
Government Reservoir		way	86318482	natural	water	-120.5937605	41.7471719	16	0.35			Modoc County	California	United States of America	us	Government Reservoir, Modoc County, California, United States of America	-120.5953711	41.7441726	-120.5922848	41.7501027			
Reservoir N		relation	1288134	natural	water	-120.8828038	41.6278441	16	0.35			Modoc County	California	United States of America	us	Reservoir N, Modoc County, California, United States of America	-120.8914731	41.6190523	-120.8775343	41.6366149			
Antelope Plains		relation	1284442	natural	water	-120.7821318	41.6234479	16	0.35			Modoc County	California	United States of America	us	Antelope Plains, Modoc County, California, United States of America	-120.8176047	41.5949816	-120.7732181	41.6519126			
Reservoir C		relation	1284534	natural	water	-120.7640011	41.6643851	16	0.35			Modoc County	California	United States of America	us	Reservoir C, Modoc County, California, United States of America	-120.7795134	41.6584664	-120.7604449	41.6703038			
Raker and Thomas Reservoirs		relation	1284498	natural	water	-120.5499089	41.6222750	16	0.35			Modoc County	California	United States of America	us	Raker and Thomas Reservoirs, Modoc County, California, United States of America	-120.5650491	41.6126761	-120.5229140	41.6319005			
Dead Horse Reservoir		relation	1284518	natural	water	-120.5865021	41.7064043	16	0.35			Modoc County	California	United States of America	us	Dead Horse Reservoir, Modoc County, California, United States of America	-120.6006817	41.6960276	-120.5753730	41.7167884			
Cow Head Tank		relation	1284587	natural	water	-120.6480617	41.7578719	16	0.35			Modoc County	California	United States of America	us	Cow Head Tank, Modoc County, California, United States of America	-120.6556840	41.7499748	-120.6344928	41.7657665			
Crowder Mountain Reservoir		relation	1284596	natural	water	-120.5694732	41.7856688	16	0.35			Modoc County	California	United States of America	us	Crowder Mountain Reservoir, Modoc County, California, United States of America	-120.5832149	41.7803882	-120.5609536	41.7909592			
Pease Flat		relation	1286947	natural	water	-120.5959014	41.8981230	16	0.35			Modoc County	California	United States of America	us	Pease Flat, Modoc County, California, United States of America	-120.6034910	41.8906600	-120.5882687	41.9056011			
Six-Shooter Stock Tank		relation	1288170	natural	water	-120.9143118	41.5419030	16	0.35			Modoc County	California	United States of America	us	Six-Shooter Stock Tank, Modoc County, California, United States of America	-120.9179861	41.5354115	-120.9099298	41.5482833			
Green Spring Reservoir		relation	1288360	natural	water	-120.6066739	41.8560935	16	0.35			Modoc County	California	United States of America	us	Green Spring Reservoir, Modoc County, California, United States of America	-120.6138859	41.8478526	-120.6005458	41.8643889			
Green Tank Reservoir		relation	1288772	natural	water	-120.6106132	41.8352622	16	0.35			Modoc County	California	United States of America	us	Green Tank Reservoir, Modoc County, California, United States of America	-120.6215091	41.8282696	-120.6051451	41.8422918			
Dry Valley Reservoir		relation	1288250	natural	water	-120.7662520	41.8404811	16	0.35			Modoc County	California	United States of America	us	Dry Valley Reservoir, Modoc County, California, United States of America	-120.7733694	41.8348674	-120.7589167	41.8461548			
Essex Reservoir		way	86303929	natural	water	-120.7519290	41.5196466	16	0.35			Modoc County	California	United States of America	us	Essex Reservoir, Modoc County, California, United States of America	-120.7537488	41.5119920	-120.7290550	41.5273086			
Baseball Reservoir		way	86633261	natural	water	-120.7821830	41.9199854	16	0.35			Modoc County	California	United States of America	us	Baseball Reservoir, Modoc County, California, United States of America	-120.7888253	41.9152241	-120.7748571	41.9248984			
Janes Reservoir		way	86585680	natural	water	-120.7698381	41.8867187	16	0.35			Modoc County	California	United States of America	us	Janes Reservoir, Modoc County, California, United States of America	-120.7736033	41.8792065	-120.7630427	41.8942747			
Buchanan Flat		way	86632783	natural	water	-120.8390929	41.9704708	16	0.35			Modoc County	California	United States of America	us	Buchanan Flat, Modoc County, California, United States of America	-120.8417027	41.9670146	-120.8305844	41.9739197			
Wild Horse Reservoir		way	86591360	natural	water	-120.8590365	41.9513435	16	0.35			Modoc County	California	United States of America	us	Wild Horse Reservoir, Modoc County, California, United States of America	-120.8641392	41.9477018	-120.8544291	41.9550306			
Dorris Brothers Reservoir		way	86318548	natural	water	-120.6848522	41.7147313	16	0.35			Modoc County	California	United States of America	us	Dorris Brothers Reservoir, Modoc County, California, United States of America	-120.6901715	41.7071392	-120.6774407	41.7222999			
Avanzino Reservoir		way	86581617	natural	water	-120.7921544	41.7899417	16	0.35			Modoc County	California	United States of America	us	Avanzino Reservoir, Modoc County, California, United States of America	-120.7992458	41.7806406	-120.7892407	41.7992618			
Dry Valley Reservoir		way	86634419	natural	water	-120.7600385	41.8402228	16	0.35			Modoc County	California	United States of America	us	Dry Valley Reservoir, Modoc County, California, United States of America	-120.7603434	41.8400873	-120.7597092	41.8403971			
McBrien Reservoir		way	86318658	natural	water	-120.6823765	41.4577763	16	0.35			Modoc County	California	United States of America	us	McBrien Reservoir, Modoc County, California, United States of America	-120.6849947	41.4559918	-120.6799808	41.4595716			
Drift Fence Tank		way	86318727	natural	water	-120.5783962	41.8498928	16	0.35			Modoc County	California	United States of America	us	Drift Fence Tank, Modoc County, California, United States of America	-120.5793641	41.8491245	-120.5775435	41.8508366			
Mapes Reservoir		way	86303076	natural	water	-120.7620863	41.6025991	16	0.35			Modoc County	California	United States of America	us	Mapes Reservoir, Modoc County, California, United States of America	-120.7648432	41.5979300	-120.7600186	41.6072253			
Kelley Reservoir		relation	1284497	natural	water	-120.6907597	41.5275947	16	0.35			Modoc County	California	United States of America	us	Kelley Reservoir, Modoc County, California, United States of America	-120.7024422	41.5157825	-120.6828210	41.5394559			
West Black Rock Reservoir		way	86507559	natural	water	-120.7622260	41.7199085	16	0.35			Modoc County	California	United States of America	us	West Black Rock Reservoir, Modoc County, California, United States of America	-120.7626502	41.7193994	-120.7617274	41.7204709			
Payne Reservoir		relation	1284491	natural	water	-120.4610092	41.3966066	16	0.35			Modoc County	California	United States of America	us	Payne Reservoir, Modoc County, California, United States of America	-120.4737024	41.3872393	-120.4496412	41.4058660			
Antelope Plains		relation	1284598	natural	water	-120.7894947	41.6405655	16	0.35			Modoc County	California	United States of America	us	Antelope Plains, Modoc County, California, United States of America	-120.7930352	41.6378609	-120.7877742	41.6432824			
Boles Meadow		way	86522749	natural	water	-120.8804077	41.7377990	16	0.35			Modoc County	California	United States of America	us	Boles Meadow, Modoc County, California, United States of America	-120.8806501	41.7376071	-120.8801608	41.7379521			
Reservoir N		way	86524184	natural	water	-120.8852415	41.6231686	16	0.35			Modoc County	California	United States of America	us	Reservoir N, Modoc County, California, United States of America	-120.8853387	41.6231189	-120.8851484	41.6232286			
Antelope Reservoir		way	86315614	natural	water	-120.7805646	41.5821960	16	0.35			Modoc County	California	United States of America	us	Antelope Reservoir, Modoc County, California, United States of America	-120.7934562	41.5754384	-120.7754295	41.5889588			
Lakeshore Reservoir		way	86316039	natural	water	-120.5627725	41.8070523	16	0.35			Modoc County	California	United States of America	us	Lakeshore Reservoir, Modoc County, California, United States of America	-120.5666220	41.8044098	-120.5588396	41.8097387			
DeCamp Stock Tank		way	86316142	natural	water	-120.7457912	41.7071096	16	0.35			Modoc County	California	United States of America	us	DeCamp Stock Tank, Modoc County, California, United States of America	-120.7463427	41.7065481	-120.7453746	41.7077063			
Dorris Reservoir		relation	1284501	natural	water	-120.4755098	41.4823419	16	0.35			Modoc County	California	United States of America	us	Dorris Reservoir, Modoc County, California, United States of America	-120.4909543	41.4691901	-120.4587284	41.4955090			
Reservoir G		way	86586081	natural	water	-120.8117803	41.7143458	16	0.35			Modoc County	California	United States of America	us	Reservoir G, Modoc County, California, United States of America	-120.8176074	41.7083236	-120.8055873	41.7203240			
Upper Cummings Reservoir		way	86303422	natural	water	-120.6448907	41.5458698	16	0.35			Modoc County	California	United States of America	us	Upper Cummings Reservoir, Modoc County, California, United States of America	-120.6504020	41.5423072	-120.6387995	41.5494312			
Upper Lake		relation	1284502	natural	water	-120.1483688	41.7341812	16	0.35			Modoc County	California	United States of America	us	Upper Lake, Modoc County, California, United States of America	-120.1991051	41.6379117	-120.0943678	41.8304410			
Deer Hill Reservoir		relation	1288816	natural	water	-120.6995666	41.8225608	16	0.35			Modoc County	California	United States of America	us	Deer Hill Reservoir, Modoc County, California, United States of America	-120.7033618	41.8181756	-120.6936608	41.8269273			
Lower Cummings Reservoir		way	86316160	natural	water	-120.6473091	41.5164723	16	0.35			Modoc County	California	United States of America	us	Lower Cummings Reservoir, Modoc County, California, United States of America	-120.6505341	41.5137839	-120.6442842	41.5191402			
Jacks Butte Tank		way	86590277	natural	water	-120.8372544	41.5883305	16	0.35			Modoc County	California	United States of America	us	Jacks Butte Tank, Modoc County, California, United States of America	-120.8417288	41.5844010	-120.8334558	41.5921962			
Rimrock Valley Reservoir		way	86316610	natural	water	-120.5977706	41.8127716	16	0.35			Modoc County	California	United States of America	us	Rimrock Valley Reservoir, Modoc County, California, United States of America	-120.5984659	41.8084395	-120.5896719	41.8170513			
Reservoir M		way	86508605	natural	water	-120.8800858	41.6493651	16	0.35			Modoc County	California	United States of America	us	Reservoir M, Modoc County, California, United States of America	-120.8880903	41.6386193	-120.8697211	41.6601085			
Surveyors Valley Reservoir		way	86508499	natural	water	-120.9105471	41.6788311	16	0.35			Modoc County	California	United States of America	us	Surveyors Valley Reservoir, Modoc County, California, United States of America	-120.9219884	41.6701702	-120.8991250	41.6874640			
Duncan Reservoir		way	86318519	natural	water	-120.9448141	41.5185979	16	0.35			Modoc County	California	United States of America	us	Duncan Reservoir, Modoc County, California, United States of America	-120.9488575	41.5089246	-120.9402256	41.5282605			
Everly Reservoir		relation	1284499	natural	water	-120.5662444	41.8915340	16	0.35			Modoc County	California	United States of America	us	Everly Reservoir, Modoc County, California, United States of America	-120.5710938	41.8870862	-120.5623827	41.8958005			
Stock Tank 5		way	86311662	natural	water	-120.5679361	41.6708089	16	0.35			Modoc County	California	United States of America	us	Stock Tank 5, Modoc County, California, United States of America	-120.5681080	41.6707074	-120.5677567	41.6709105			
Dutch Flat		way	86311887	natural	water	-120.7822465	41.6686336	16	0.35			Modoc County	California	United States of America	us	Dutch Flat, Modoc County, California, United States of America	-120.7829186	41.6673662	-120.7819189	41.6698906			
Indian Spring Reservoir		way	86315116	natural	water	-120.6121050	41.5292360	16	0.35			Modoc County	California	United States of America	us	Indian Spring Reservoir, Modoc County, California, United States of America	-120.6143427	41.5267181	-120.6108736	41.5317182			
Rimrock Valley Reservoir		way	86315208	natural	water	-120.5942452	41.8123803	16	0.35			Modoc County	California	United States of America	us	Rimrock Valley Reservoir, Modoc County, California, United States of America	-120.5955097	41.8113488	-120.5929418	41.8135876			
Little Porcupine Tank		way	86315556	natural	water	-120.7604538	41.5595835	16	0.35			Modoc County	California	United States of America	us	Little Porcupine Tank, Modoc County, California, United States of America	-120.7606630	41.5593623	-120.7602475	41.5597542			
Stock Tank 11		way	86316097	natural	water	-120.6044722	41.6783045	16	0.35			Modoc County	California	United States of America	us	Stock Tank 11, Modoc County, California, United States of America	-120.6048639	41.6780438	-120.6040733	41.6785598			
Timbered Mountain Stock Tank		way	86317121	natural	water	-120.7326744	41.7337014	16	0.35			Modoc County	California	United States of America	us	Timbered Mountain Stock Tank, Modoc County, California, United States of America	-120.7328626	41.7335744	-120.7324880	41.7338281			
Essex Tank		way	86509816	natural	water	-120.8679713	41.5431475	16	0.35			Modoc County	California	United States of America	us	Essex Tank, Modoc County, California, United States of America	-120.8682435	41.5429001	-120.8676957	41.5432350			
