name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Headwater Lake		way	168951560	natural	water	-121.6421931	41.0072634	16	0.35			Shasta County	California	United States of America	us	Headwater Lake, Shasta County, California, United States of America	-121.6425484	41.0070259	-121.6420279	41.0074661			
Beeler Reservoir		relation	1284188	natural	water	-121.1063207	41.5127927	16	0.35			Modoc County	California	United States of America	us	Beeler Reservoir, Modoc County, California, United States of America	-121.1163537	41.5048345	-121.0934351	41.5207357			
Toll House Reservoir		way	90275062	natural	water	-121.2687515	41.1077380	16	0.35			Lassen County	California	United States of America	us	Toll House Reservoir, Lassen County, California, United States of America	-121.2689328	41.1074674	-121.2685495	41.1079341			
Hardin Reservoir		way	90302322	natural	water	-121.2497835	41.1103355	16	0.35			Lassen County	California	United States of America	us	Hardin Reservoir, Lassen County, California, United States of America	-121.2509320	41.1098289	-121.2483980	41.1107978			
Green Place Reservoir		way	90277654	natural	water	-121.3930796	41.1782904	16	0.35				California	United States of America	us	Green Place Reservoir, California, United States of America	-121.3974653	41.1707750	-121.3813559	41.1858018			
Mud Lake		way	86591373	natural	water	-121.9838523	41.9857393	16	0.35			Siskiyou County	California	United States of America	us	Mud Lake, Siskiyou County, California, United States of America	-121.9851210	41.9843666	-121.9826014	41.9872084			
Lower Klamath Lake		way	86629321	natural	water	-121.7301952	41.9901843	16	0.35			Siskiyou County	California	United States of America	us	Lower Klamath Lake, Siskiyou County, California, United States of America	-121.7308116	41.9896315	-121.7295687	41.9907051			
Wild Horse Lake		way	86629382	natural	water	-121.8169565	41.8407792	16	0.35			Siskiyou County	California	United States of America	us	Wild Horse Lake, Siskiyou County, California, United States of America	-121.8180412	41.8393600	-121.8158519	41.8422025			
Lower Klamath Lake		way	86629529	natural	water	-121.7181554	41.9817873	16	0.35			Siskiyou County	California	United States of America	us	Lower Klamath Lake, Siskiyou County, California, United States of America	-121.7184431	41.9814019	-121.7179263	41.9821118			
Lower Klamath Lake		way	86631576	natural	water	-121.7159526	41.9802785	16	0.35			Siskiyou County	California	United States of America	us	Lower Klamath Lake, Siskiyou County, California, United States of America	-121.7161759	41.9801151	-121.7157938	41.9804608			
