id,TXT,PHRASE,TXT_LOC
"1",CHARRINGTON,CHARRINTON STREET,"1"
"2",STREET,CHARRINTON STREET,"2"
"3",STREET,STREET,"1"
"4",PLATT,PLATT STREET,"1"
"5",STREET,PLATT STREET,"2"
"6",Police,Police Station (Y. Division),"1"
"7",Station,Police Station (Y. Division),"2"
"8",Y.,Police Station (Y. Division),"3"
"9",Division,Police Station (Y. Division),"4"
"10",STREET,STREET,"1"
"11",ALDENHAM,ALDENHAM STREET,"1"
"12",STREET,ALDENHAM STREET,"2"
"13",STREET,STREET,"1"
"14",BM,B.M. 71•40,"1"
"15",71•40,B.M. 71•40,"2"
"16",B.M.,B.M. 72•24,"1"
"17",72•24,B.M. 72•24,"2"
"18",70•4,70•4,"1"
"19",70•9,70•9,"1"
"20",70•8,70•8,"1"
"21",F.H,F.H,"1"
"22",P.L.B,P.L.B,"1"
"23",P.H.,P.H.,"1"
"24",Presby.,Presby. Chapel,"1"
"25",Chapel,Presby. Chapel,"2"
"26",Girls,Girls & Infants,"1"
"27",&,Girls & Infants,"2"
"28",Infants,Girls & Infants,"3"
"29",School,School,"1"
"30",Boys,Boys,"1"
"31",HAMPDEN,HAMPDEN STREET,"1"
"32",STREET,HAMPDEN STREET,"2"
"33",68•4,68•4,"1"
"34",F.H,F.H,"1"
"35",MIDDLESEX,MIDDLESEX STREET,"1"
"36",STREET,MIDDLESEX STREET,"2"
"37",Hampden,Hampden House,"1"
"38",House,Hampden House,"2"
"39",EQUITY,EQUITY BUILDINGS,"1"
"40",BUILDINGS,EQUITY BUILDINGS,"2"
"41",P.H.,P.H.,"1"
"42",CLARENDON,CLARENDON SQUARE,"1"
"43",SQUARE,CLARENDON SQUARE,"2"
"44",F.H,F.H,"1"
"45",F.A,F.A,"1"
"46",F.H,F.H,"1"
"47",P.H.,P.H.,"1"
"48",F.H,F.H,"1"
"49",B.M.,B.M. 70•16,"1"
"50",70•16,B.M. 70•16,"2"
"51",64•1,64•1,"1"
"52",F.H,F.H,"1"
"53",61•5,61•5,"1"
"54",Coal,Coal Shoot,"1"
"55",Shoot,Coal Shoot,"2"
"56",PANCRAS,PANCRAS ROAD,"1"
"57",ROAD,PANCRAS ROAD,"2"
"58",STANMORE,STANMORE STREET,"1"
"59",STREET,STANMORE STREET,"2"
"60",BRILL,BRILL STREET,"1"
"61",STREET,BRILL STREET,"2"
"62",P.H.,P.H.,"1"
"63",F.H,F.H,"1"
"64",58•5,58•5,"1"
"65",F.H,F.H,"1"
"66",CLARENOON,CLARENDON SQUARE,"1"
"67",SQUARE,CLARENDON SQUARE,"2"
"68",CLARENDON,CLARENDON SQUARE,"1"
"69",SQUARE,CLARENDON SQUARE,"2"
"70",B.M.,B.M. 66•92,"1"
"71",66•92,B.M. 66•92,"2"
"72",F.H,F.H,"1"
"73",65•2,65•2,"1"
"74",OSSULTON,OSSULTON STREET,"1"
"75",STREET,OSULTON STREET,"2"
"76",CHALTON,CHALTON STREET,"1"
"77",STREET,CHALTON STREET,"2"
"78",CHAPEL,CHAPEL STREET,"1"
"79",STREET,CHAPEL STREET,"2"
"80",CHAPEL,CHAPEL PLACE,"1"
"81",PLACE,CHAPEL PLACE,"2"
"82",CHAPEL,CHAPEL MEWS,"1"
"83",MEWS,CHAPEL MEWS,"2"
"84",CHAPEL,CHAPEL GROVE,"1"
"85",GROVE,CHAPEL GROVE,"2"
"86",P.H.,P.H.,"1"
"87",F.H,F.H,"1"
"88",R.C.,R.C. Chapel,"1"
"89",Chapel,R.C. Chapel,"2"
"90",Convent,Convent,"1"
"91",School,School Girls,"1"
"92",Girls,School Girls,"2"
"93",DRUMMOND,DRUMMOND CRESCENT,"1"
"94",CRESCENT,DRUMMOND CRESCENT,"2"
"95",F.H.,F.H.,"1"
"96",LITTLE,LITTLE DRUMMOND STREET,"1"
"97",DRUMMOND,LITTLE DRUMMOND STREET,"2"
"98",STREET,LITTLE DRUMMOND STREET,"3"
"99",B.M.,B.M. 71•29,"1"
"100",71•29,B.M. 71•29,"2"
"101",ROBERTS,ROBERTS YARD,"1"
"102",YARD,ROBERTS YARD,"2"
"103",Div.,Div. of Parly. Boro. Bdy.,"1"
"104",of,Div. of Parly. Boro. Bdy.,"2"
"105",Parly.,Div. of Parly. Boro. Bdy.,"3"
"106",Boro.,Div. of Parly. Boro. Bdy.,"4"
"107",Bdy.,Div. of Parly. Boro. Bdy.,"5"
"108",DRUMMOND,DRUMMOND STREET,"1"
