id,txt,phrase,txt_loc
"1",Department,Department of The Interior,"1"
"2",Of,Department of The Interior,"2"
"3",The,Department of The Interior,"3"
"4",Interior,Department of The Interior,"4"
"5",Albert B Fall,Albert B Fall,"1"
"6",Secretary,Secretary,"1"
"7",U.S,U.S. Geological Survey,"1"
"8",Geological,U.S. Geological Survey,"2"
"9",Survey,U.S. Geological Survey,"3"
"10",George Otis Smith,George Otis Smith,"1"
"11",Director,Director,"1"
"12",Lucia,Lucia,"1"
"13",Kirk,Kirk,"1"
"14",Creek,Creek,"1"
"15",Mill,Mill,"1"
"16",Sawmill,Sawmill,"1"
"17",Creek,Creek,"1"
"18",Chalk,Chalk Peak,"1"
"19",Peak,Chalk Peak,"2"
"20",RangerSta,RangerSta,"1"
"21",Chalk,Chalk Peak,"1"
"22",Peak,Chalk Peak,"2"
"23",Nigger,Nigger Fark,"1"
"24",Fark,Nigger Fark,"2"
"25",Topography,Topography,"1"
"26",Junipero,Junipero Serra,"1"
"27",Serra,Junipero Serra,"2"
"28",Sliek,Sliek Rock,"1"
"29",Rock,Sliek Rock,"2"
"30",Creek,Creek,"1"
"31",Nacimiento,Nacimiento School,"1"
"32",School,Nacimiento School,"2"
"33",Sans,Sans,"1"
"34",California,California,"1"
"35",Cape,Cape San Martin Quadrangle,"1"
"36",San,Cape San Martin Quadrangle,"2"
"37",Martin,Cape San Martin Quadrangle,"3"
"38",Quadrangle,Cape San Martin Quadrangle,"4"
"39",Milpitas,Milpitas,"1"
"40",Stony,Stony,"1"
"41",Stony,Stony Valley,"1"
"42",Valley,Stony Valley,"2"
"43",Squirrel,Squirrel Spr,"1"
"44",Spr,Squirrel Spr,"2"
"45",King,King City,"1"
"46",City,King City,"2"
"47",Wild,Wild Cattle Cr,"1"
"48",Cattle,Wild Cattle Cr,"2"
"49",Cr,Wild Cattle Cr,"3"
"50",Gorda,Gorda,"1"
"51",Creek,Creek,"1"
"52",South,South,"1"
"53",Fork,Fork,"1"
"54",Prewitt,Prewitt,"1"
"55",Santa,Santa Barbara,"1"
"56",Barbara,Santa Barbara,"2"
"57",San,San Miguel,"1"
"58",Miguel,San Miguel,"2"
"59",Anthony,Anthony,"1"
"60",Creek,Creek,"1"
