id,txt,phrase,txt_loc
"1",Tahquitx,Tahquitx Creek,"1"
"2",Creek,Tahquitx Creek,"2"
"3",Cathedral,Cathedral Canyon,"1"
"4",Canyon,Cathedral Canyon,"2"
"5",Bradley,Bradley Canyon,"1"
"6",Canyon,Bradley Canyon,"2"
"7",WHITEWATER,WHITEWATER RIVER,"1"
"8",RIVER,WHITEWATER RIVER,"2"
"9",COACHELLA,COACHELLA VALLEY,"1"
"10",Mission,Mission Creek,"1"
"11",Creek,Mission Creek,"2"
"12",B.M.,B.M.,"1"
"13",Dry,Dry Camp,"1"
"14",Camp,Dry Camp,"2"
"15",SOUTHERN,SOUTHERN PACIFIC R.R.,"1"
"16",PACIFIC,SOUTHERN PACIFIC R.R.,"2"
"17",Myoma,Myoma,"1"
"18",Indian,Indian Well,"1"
"19",Well,Indian Well,"2"
"20",Indio,Indio,"1"
"21",CABEZON,CABEZON INDIAN RES.,"1"
"22",INDIAN,CABEZON INDIAN RES.,"2"
"23",RES.,CABEZON INDIAN RES.,"3"
"24",Coachella,Coachella,"1"
"25",La,La Mesa,"1"
"26",Mesa,La Mesa,"2"
"27",AUGUSTIN,AUGUSTIN INDIAN RES.,"1"
"28",INDIAN,AUGUSTIN INDIAN RES.,"2"
"29",RES.,AUGUSTIN INDIAN RES.,"3"
"30",Thermal,Thermal,"1"
"31",VALLEY,COACHELLA VALLEY,"2"
"32",TORO,TORO INDIAN RESERVATION,"1"
"33",INDIAN,TORO INDIAN RESERVATION,"2"
"34",RESERVATION,TORO INDIAN RESERVATION,"3"
"35",SALTON,SALTON BASIN,"1"
"36",BASIN,SALTON BASIN,"2"
"37",Figtree,Figtree John,"1"
"38",John,Figtree John,"2"
"39",Alamo,Alamo Bonito,"1"
"40",Bonito,Alamo Bonito,"2"
"41",Martinez,Martinez,"1"
"42",Magnesia,Magnesia Spring Canyon,"1"
"43",Spring,Magnesia Spring Canyon,"2"
"44",Canyon,Magnesia Spring Canyon,"3"
"45",Magnesia,Magnesia Spring,"1"
"46",Spring,Magnesia Spring,"2"
"47",Ramon,Ramon Creek,"1"
"48",Creek,Ramon Creek,"2"
"49",Cat,Cat Creek,"1"
"50",Creek,Cat Creek,"2"
"51",Haystack,Haystack Mt.,"1"
"52",Mt.,Haystack Mt.,"2"
"53",Rock,Rock Canyon,"1"
"54",Canyon,Rock Canyon,"2"
"55",Ebbens,Ebbens Creek,"1"
"56",Creek,Ebbens Creek,"2"
"57",Dead,Dead Indian Creek,"1"
