id,txt,phrase,txt_loc
"0",(PH),(PH),
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"6",185a,185a,
"7",,,
"8",,,
"9",FB,FB,
"10",,,
"11",,,
"12",,,
"13",26 to 28,26 to 28,
"14",40 to 44,40 to 44,
"15",181a,181a,
"16",,,
"17",,,
"18",,,
"19",,,
"20",,,
"21",,,
"22",,,
"23",,,
"24",170 to 164,170 to 164,
"25",,,
"26",,,
"27",156 to 150,156 to 150,
"28",,,
"29",,,
"30",,,
"31",,,
"32",,,
"33",,,
"34",,,
"35",,,
"36",171a,171a,
"37",CR,CR,
"38",13b,13b,
"39",13c,13c,
"40",13a,13a,
"41",13b,13b,
"42",,,
"43",,,
"44",,,
"45",,,
"46",,,
"47",,,
"48",,,
"49",,,
"50",,,
"51",,,
"52",,,
"53",,,
"54",,,
"55",48 to 25,48 to 25,
"56",24 to 1,24 to 1,
"57",The,The Golden Lion (PH),"1"
"58",Golden Lion,The Golden Lion (PH),"2"
"59",(PH),The Golden Lion (PH),"3"
"60",,,
"61",,,
"62",,,
"63",,,
"64",,,
"65",,,
"66",,,
"67",,,
"68",,,
"69",,,
"70",,,
"71",PH,PH,
"72",,,
"73",,,
"74",,,
"75",,,
"76",,,
"77",,,
"78",11 to 14,11 to 14,
"79",,,
"80",,,
"81",,,
"82",,,
"83",,,
"84",140a,140a,
"85",,,
"86",2a,2a,
"87",3 to 18,3 to 18,
"88",,,
"89",1a,1a,
"90",,,
"91",,,
"92",,,
"93",,,
"94",BM47∙56,BM47∙56,
"95",,,
"96",,,
"97",,,
"98",,,
"99",4a,4a,
"100",,,
"101",,,
"102",,,
"103",,,
"104",,,
"105",,,
"106",,,
"107",,,
"108",,,
"109",,,
"110",BM75∙24,BM75∙24,
"111",BM95∙38,BM95∙38,
"112",,,
"113",,,
"114",,,
"115",,,
"116",,,
"117",,,
"118",,,
"119",,,
"120",PH,PH,
"121",,,
"122",,,
"123",15a,15a,
"124",15b,15b,
"125",,,
"126",,,
"127",,,
"128",7 to 12,7 to 12,
"129",LB,LB,
"130",PO,PO,
"131",,,
"132",,,
"133",,,
"134",,,
"135",,,
"136",,,
"137",,,
"138",,,
"139",,,
"140",,,
"141",,,
"142",,,
"143",,,
"144",,,
"145",,,
"146",,,
"147",,,
"148",,,
"149",,,
"150",,,
"151",,,
"152",15a,15a,
"153",,,
"154",,,
"155",,,
"156",PH,PH,
"157",,,
"158",,,
"159",PH,PH,
"160",,,
"161",,,
"162",,,
"163",,,
"164",,,
"165",,,
"166",,,
"167",,,
"168",,,
"169",48a,48a,
"170",,,
"171",,,
"172",,,
"173",,,
"174",,,
"175",,,
"176",,,
"177",49 to 72,49 to 72,
"178",73 to 96,73 to 96,
"179",97 to 120,97 to 120,
"180",BM50∙71,BM50∙71,
"181",,,
"182",,,
"183",,,
"184",,,
"185",,,
"186",,,
"187",,,
"188",,,
"189",,,
"190",,,
"191",,,
"192",,,
"193",,,
"194",146a,146a,
"195",121 to 144,121 to 144,
"196",,,
"197",,,
"198",,,
"199",,,
"200",,,
"201",43a,43a,
"202",31a,31a,
"203",43b,43b,
"204",43d,43d,
"205",43c,43c,
"206",,,
"207",,,
"208",,,
"209",,,
"210",,,
"211",Wicklow Works,Wicklow Works,
"212",,,
"213",,,
"214",,,
"215",,,
"216",,,
"217",,,
"218",,,
"219",,,
"220",,,
"221",,,
"222",,,
"223",,,
"224",,,
"225",,,
"226",,,
"227",17 to 27,17 to 27,
"228",,,
"229",,,
"230",,,
"231",(PH),(PH),
"232",,,
"233",,,
"234",,,
"235",,,
"236",,,
"237",,,
"238",,,
"239",16 to 8,16 to 8,
"240",,,
"241",,,
"242",,,
"243",PH,PH,
"244",,,
"245",,,
"246",,,
"247",,,
"248",,,
"249",,,
"250",,,
"251",,,
"252",65a,65a,
"253",LB,LB,
"254",PH,PH,
"255",,,
"256",,,
"257",,,
"258",,,
"259",BM68∙80,BM68∙80,
"260",,,
"261",,,
"262",,,
"263",,,
"264",PH,PH,
"265",,,
"266",,,
"267",,,
"268",,,
"269",,,
"270",,,
"271",,,
"272",,,
"273",,,
"274",,,
"275",,,
"276",,,
"277",,,
"278",,,
"279",,,
"280",,,
"281",,,
"282",,,
"283",,,
"284",,,
"285",,,
"286",18a,18a,
"287",,,
"288",,,
"289",,,
"290",10a,10a,
"291",,,
"292",PH,PH,
"293",,,
"294",,,
"295",,,
"296",,,
"297",,,
"298",,,
"299",,,
"300",,,
"301",,,
"302",PH,PH,
"303",,,
"304",,,
"305",,,
"306",,,
"307",,,
"308",,,
"309",,,
"310",,,
"311",,,
"312",,,
"313",,,
"314",,,
"315",,,
"316",,,
"317",101a,101a,
"318",,,
"319",,,
"320",,,
"321",,,
"322",TCBs,TCBs,
"323",4 1/2,4 1/2,
"324",,,
"325",,,
"326",,,
"327",,,
"328",,,
"329",1a,1a,
"330",,,
"331",,,
"332",,,
"333",,,
"334",,,
"335",,,
"336",,,
"337",,,
"338",,,
"339",,,
"340",,,
"341",,,
"342",,,
"343",,,
"344",,,
"345",,,
"346",,,
"347",16 to 18,16 to 18,
"348",1 to 6,1 to 6,
"349",13 to 15,13 to 15,
"350",Wharton Cottages,Wharton Cottages,
"351",SP,SP,
"352",38a,38a,
"353",38b,38b,
"354",,,
"355",,,
"356",,,
"357",,,
"358",,,
"359",,,
"360",BM70∙46,BM70∙46,
"361",,,
"362",,,
"363",,,
"364",,,
"365",,,
"366",,,
"367",,,
"368",,,
"369",,,
"370",,,
"371",,,
"372",,,
"373",,,
"374",,,
"375",BM53∙43,BM53∙43,
"376",,,
"377",,,
"378",,,
"379",,,
"380",,,
"381",,,
"382",,,
"383",,,
"384",,,
"385",,,
"386",,,
"387",,,
"388",,,
"389",,,
"390",,,
"391",BM53∙73,BM53∙73,
"392",,,
"393",,,
"394",,,
"395",,,
"396",,,
"397",,,
"398",,,
"399",,,
"400",,,
"401",,,
"402",,,
"403",,,
"404",,,
"405",,,
"406",,,
"407",,,
"408",,,
"409",,,
"410",296a,296a,
"411",,,
"412",,,
"413",,,
"414",,,
"415",,,
"416",,,
"417",,,
"418",,,
"419",,,
"420",,,
"421",,,
"422",,,
"423",,,
"424",,,
"425",,,
"426",,,
"428",,,
"428",Ruin,Ruin,
"429",,,
"430",,,
"431",276a,276a,
"432",,,
"433",,,
"434",,,
"435",,,
"436",,,
"437",,,
"438",,,
"439",,,
"440",,,
"441",,,
"442",,,
"443",,,
"444",,,
"445",BM70∙09,BM70∙09,
"446",233 to 241,233 to 241,
"447",TCB,TCB,
"448",,,
"449",,,
"450",,,
"451",,,
"452",,,
"453",,,
"454",,,
"455",,,
"456",,,
"457",,,
"458",,,
"459",21a,21a,
"460",21a,21a,
"461",,,
"462",,,
"463",1 to 18,1 to 18,
"464",,,
"465",,,
"466",,,
"467",,,
"468",,,
"469",,,
"470",,,
"471",,,
"472",,,
"473",,,
"474",TCB,TCB,
"475",1 to 18,1 to 18,
"476",,,
"477",,,
"478",,,
"479",,,
"480",,,
"481",LB,LB,
"482",TCB,TCB,
"483",FB,FB,
"484",,,
"485",,,
"486",,,
"487",,,
"488",,,
"489",,,
"490",,,
"491",BM68∙67,BM68∙67,
"492",,,
"493",Chy,Chy,
"494",,,
"495",,,
"496",,,
"497",,,
"498",,,
"499",,,
"500",,,
"501",,,
"502",,,
"503",,,
"504",,,
"505",,,
"506",,,
"507",,,
"508",,,
"509",,,
"510",,,
"511",,,
"512",,,
"513",,,
"514",,,
"515",,,
"516",,,
"517",,,
"518",,,
"519",,,
"520",,,
"521",,,
"522",,,
"523",,,
"524",,,
"525",1a,1a,
"526",H4,H4,
"527",H3,H3,
"528",H2,H2,
"529",H1,H1,
"530",CR,CR,
"531",1 to 25,1 to 25,
"532",,,
"533",,,
"534",,,
"535",,,
"536",2b,2b,
"537",2a,2a,
"538",,,
