id,txt,phrase,txt_loc
"0",42°,42°,
"1",121°,121°,
"2",,,
"3",,,
"4",45',45',
"5",,,
"6",,,
"7",,,
"8",,,
"9",,,
"10",,,
"11",,,
"12",,,
"13",30',30',
"14",,,
"15",,,
"16",,,
"17",,,
"18",,,
"19",15',15',
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",,,
"26",,,
"27",,,
"28",,,
"29",120°,120°,
"30",42°,42°,
"31",,,
"32",,,
"33",,,
"34",,,
"35",45',45',
"36",,,
"37",45',45',
"38",,,
"39",,,
"40",30',30',
"41",,,
"42",,,
"43",,,
"44",,,
"45",,,
"46",,,
"47",,,
"48",,,
"49",,,
"50",Ronald J. Allen Map Collection,Ronald J. Allen Map Collection,
"51",CARD,CARD,
"52",,,
"53",,,
"54",,,
"55",,,
"56",,,
"57",,,
"58",,,
"59",,,
"60",,,
"61",,,
"62",,,
"63",,,
"64",,,
"65",,,
"66",,,
"67",,,
"68",,,
"69",,,
"70",30',30',
"71",,,
"72",,,
"73",,,
"74",,,
"75",,,
"76",,,
"77",,,
"78",15',15',
"79",,,
"80",,,
"81",,,
"82",,,
"83",,,
"84",,,
"85",,,
"86",,,
"87",,,
"88",,,
"89",,,
"90",,,
"91",,,
"92",,,
"93",,,
"94",,,
"95",,,
"96",,,
"97",,,
"98",,,
"99",,,
"100",,,
"101",,,
"102",,,
"103",,,
"104",,,
"105",,,
"106",,,
"107",,,
"108",,,
"109",,,
"110",,,
"111",,,
"112",15',15',
"113",,,
"114",,,
"115",,,
"116",,,
"117",,,
"118",41°,41°,
"119",121°,121°,
"120",,,
"121",,,
"122",,,
"123",,,
"124",,,
"125",,,
"126",,,
"127",,,
"128",,,
"129",,,
"130",,,
"131",,,
"132",,,
"133",,,
"134",,,
"135",,,
"136",,,
"137",45',45',
"138",,,
"139",,,
"140",,,
"141",,,
"142",,,
"143",,,
"144",30',30',
"145","1/250,000","1/250,000",
"146",,,
"147",,,
"148",,,
"149",,,
"150",,,
"151",,,
"152",,,
"153",,,
"154",,,
"155",,,
"156",,,
"157",,,
"158",,,
"159",15',15',
"160",,,
"161",,,
"162",,,
"163",,,
"164",,,
"165",,,
"166",,,
"167",,,
"168",,,
"169",,,
"170",,,
"171",41°,41°,
"172",120°,120°,
