,matching,not matching,total
USGS-15-CA-brawley-e1957-s1957-p1961.jpg,9,157,166
USGS-15-CA-capesanmartin-e1921-s1917.jpg,12,124,136
USGS-15-CA-paloalto-e1899-s1895-rp1911.jpg,12,104,116
USGS-15-CA-sanfrancisco-e1899-s1892-rp1911.jpg,25,138,163
USGS-30-CA-dardanelles-e1898-s1891-rp1912.jpg,10,179,189
USGS-30-CA-holtville-e1907-s1905-rp1946.jpg,7,42,49
USGS-30-CA-indiospecial-e1904-s1901-rp1910.jpg,11,112,123
USGS-30-CA-lompoc-e1943-s1903-ap1941-rv1941.jpg,16,219,235
USGS-30-CA-sanpedro-e1943-rv1944.jpg,66,214,280
USGS-60-CA-alturas-e1892-rp1904.jpg,12,94,106
USGS-60-CA-amboy-e1942.jpg,18,112,130
USGS-60-CA-amboy-e1943-rv1943.jpg,18,112,130
USGS-60-CA-modoclavabed-e1886-s1884.jpg,7,77,84
USGS-60-CA-saltonsea-e1943-ap1940-rv1942.jpg,24,135,159
