name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Wrightwood		way	33168184	boundary	administrative	-117.6275999	34.3583534	30	0.410530614741063				California	United States of America	us	Wrightwood, California, United States of America	-117.6531590	34.3429029	-117.6056211	34.3737980	Q2481425	en:Wrightwood, California	
Hesperia		relation	111809	place	town	-117.2997489	34.3883624	18	0.390674356940659		Hesperia	San Bernardino County	California	United States of America	us	Hesperia, San Bernardino County, California, United States of America	-117.4398699	34.3042372	-117.2384104	34.4712227	Q773516	en:Hesperia, California	
Silverwood Lake		relation	6698042	natural	water	-117.3241766	34.2906362	16	0.35			San Bernardino County	California	United States of America	us	Silverwood Lake, San Bernardino County, California, United States of America	-117.3480106	34.2762320	-117.3010757	34.3050571			
Caldwell Lake		way	80118358	natural	water	-117.7790548	34.4143186	16	0.35			Los Angeles County	California	United States of America	us	Caldwell Lake, Los Angeles County, California, United States of America	-117.7801378	34.4138934	-117.7778869	34.4147362			
Jackson Lake		way	80117175	natural	water	-117.7264754	34.3921927	16	0.35			Los Angeles County	California	United States of America	us	Jackson Lake, Los Angeles County, California, United States of America	-117.7280419	34.3913798	-117.7238001	34.3930391			
Hesperia Lake		way	469617491	natural	water	-117.2504194	34.3865579	16	0.35			San Bernardino County	California	United States of America	us	Hesperia Lake, San Bernardino County, California, United States of America	-117.2515945	34.3848933	-117.2491162	34.3882401			
cheaters lake		way	479863216	natural	water	-117.3631627	34.4023412	16	0.35			San Bernardino County	California	United States of America	us	cheaters lake, San Bernardino County, California, United States of America	-117.3633737	34.4021399	-117.3629427	34.4025173			
Mojave River Hatchery		way	515890360	natural	water	-117.2607506	34.4793312	16	0.35			San Bernardino County	California	United States of America	us	Mojave River Hatchery, San Bernardino County, California, United States of America	-117.2614836	34.4779731	-117.2600177	34.4806894			
Spring Valley Lake		way	168196910	natural	water	-117.2660904	34.4988117	16	0.35			San Bernardino County	California	United States of America	us	Spring Valley Lake, San Bernardino County, California, United States of America	-117.2739239	34.4917732	-117.2589786	34.5057242			
Mountain View Acres		way	33167921	boundary	administrative	-117.3470319	34.4970065	30	0.339401620591472			San Bernardino County	California	United States of America	us	Mountain View Acres, San Bernardino County, California, United States of America	-117.3642641	34.4861590	-117.3323020	34.5067511	Q1810220	en:Mountain View Acres, California	
East Fork Mojave River		way	422115287	waterway	river	-117.2949330	34.2722617	17	0.325			San Bernardino County	California	United States of America	us	East Fork Mojave River, San Bernardino County, California, United States of America	-117.3139267	34.2702007	-117.2772289	34.2764503			
North Fork Lytle Creek		way	165583531	waterway	river	-117.5253503	34.2713305	17	0.325			San Bernardino County	California	United States of America	us	North Fork Lytle Creek, San Bernardino County, California, United States of America	-117.5708880	34.2391040	-117.4931932	34.2961089			
little island		node	4728750171	place	island	-117.2501213	34.3853725	17	0.325			San Bernardino County	California	United States of America	us	little island, San Bernardino County, California, United States of America	-117.2501213	34.3853725	-117.2501213	34.3853725			
Middle Fork Lytle Creek		way	204081826	waterway	river	-117.5330969	34.2532173	17	0.325			San Bernardino County	California	United States of America	us	Middle Fork Lytle Creek, San Bernardino County, California, United States of America	-117.5731969	34.2354485	-117.4969141	34.2551473			
West Fork Mojave River		way	422112546	waterway	river	-117.3614151	34.2875871	17	0.325			San Bernardino County	California	United States of America	us	West Fork Mojave River, San Bernardino County, California, United States of America	-117.3750320	34.2842371	-117.3480106	34.2881468			
North Fork Mojave River		way	31767350	waterway	river	-117.2839250	34.3342469	17	0.325			San Bernardino County	California	United States of America	us	North Fork Mojave River, San Bernardino County, California, United States of America	-117.3194667	34.3043011	-117.2372896	34.3422424			
San Gabriel River		way	31524404	waterway	river	-117.7281223	34.3243749	17	0.325			Los Angeles County	California	United States of America	us	San Gabriel River, Los Angeles County, California, United States of America	-117.7332209	34.3056990	-117.7238829	34.3434521			
Lynx Point		node	358841595	natural	peak	-117.3089337	34.2747275	18	0.3			San Bernardino County	California	United States of America	us	Lynx Point, San Bernardino County, California, United States of America	-117.3089337	34.2747275	-117.3089337	34.2747275			
Ralston Peak		node	358802613	natural	peak	-117.4961619	34.3025038	18	0.3			San Bernardino County	California	United States of America	us	Ralston Peak, San Bernardino County, California, United States of America	-117.4961619	34.3025038	-117.4961619	34.3025038			
Cleghorn Mountain		node	358801078	natural	peak	-117.4122703	34.2941711	18	0.3			San Bernardino County	California	United States of America	us	Cleghorn Mountain, San Bernardino County, California, United States of America	-117.4122703	34.2941711	-117.4122703	34.2941711			
Cajon Mountain		node	358801008	natural	peak	-117.4239375	34.2711165	18	0.3			San Bernardino County	California	United States of America	us	Cajon Mountain, San Bernardino County, California, United States of America	-117.4239375	34.2711165	-117.4239375	34.2711165			
Baldy Mesa		node	358800850	natural	peak	-117.4772719	34.3600010	18	0.3			San Bernardino County	California	United States of America	us	Baldy Mesa, San Bernardino County, California, United States of America	-117.4772719	34.3600010	-117.4772719	34.3600010			
Mount Harwood		node	358801393	natural	peak	-117.6330596	34.2864759	18	0.3			San Bernardino County	California	United States of America	us	Mount Harwood, San Bernardino County, California, United States of America	-117.6330596	34.2864759	-117.6330596	34.2864759			
Thunder Mountain		node	358796474	natural	peak	-117.6061651	34.2652828	18	0.3			San Bernardino County	California	United States of America	us	Thunder Mountain, San Bernardino County, California, United States of America	-117.6061651	34.2652828	-117.6061651	34.2652828			
Telegraph Peak		node	358793280	natural	peak	-117.5984022	34.2617389	18	0.3			San Bernardino County	California	United States of America	us	Telegraph Peak, San Bernardino County, California, United States of America	-117.5984022	34.2617389	-117.5984022	34.2617389			
Phelan		node	2992924640	place	town	-117.5725026	34.4262979	18	0.3			San Bernardino County	California	United States of America	us	Phelan, San Bernardino County, California, United States of America	-117.5725026	34.4262979	-117.5725026	34.4262979			
Wright Mountain		node	358802478	natural	peak	-117.6337490	34.3338652	18	0.3			San Bernardino County	California	United States of America	us	Wright Mountain, San Bernardino County, California, United States of America	-117.6337490	34.3338652	-117.6337490	34.3338652			
Pine Mountain		node	358801914	natural	peak	-117.6442662	34.3135857	18	0.3			San Bernardino County	California	United States of America	us	Pine Mountain, San Bernardino County, California, United States of America	-117.6442662	34.3135857	-117.6442662	34.3135857			
Dawson Peak		node	358801158	natural	peak	-117.6360732	34.3033050	18	0.3			San Bernardino County	California	United States of America	us	Dawson Peak, San Bernardino County, California, United States of America	-117.6360732	34.3033050	-117.6360732	34.3033050			
West Baldy		node	1373335431	natural	peak	-117.6540396	34.2871313	18	0.3			Los Angeles County	California	United States of America	us	West Baldy, Los Angeles County, California, United States of America	-117.6540396	34.2871313	-117.6540396	34.2871313			
Iron Mountain		node	358801480	natural	peak	-117.7133209	34.2884113	18	0.3			Los Angeles County	California	United States of America	us	Iron Mountain, Los Angeles County, California, United States of America	-117.7133209	34.2884113	-117.7133209	34.2884113			
Mount San Antonio	Monte San Antonio,Mount Baldy	node	348272990	natural	peak	-117.6464047	34.2891205	18	0.3			Los Angeles County	California	United States of America	us	Mount San Antonio, Los Angeles County, California, United States of America	-117.6464047	34.2891205	-117.6464047	34.2891205			
Rattlesnake Peak		node	358832779	natural	peak	-117.7770033	34.2719480	18	0.3			Los Angeles County	California	United States of America	us	Rattlesnake Peak, Los Angeles County, California, United States of America	-117.7770033	34.2719480	-117.7770033	34.2719480			
Mount Hawkins		node	2174634903	natural	peak	-117.8057112	34.3413132	18	0.3			Los Angeles County	California	United States of America	us	Mount Hawkins, Los Angeles County, California, United States of America	-117.8057112	34.3413132	-117.8057112	34.3413132			
Inspiration Point		node	358802803	natural	peak	-117.7097801	34.3716669	18	0.3			Los Angeles County	California	United States of America	us	Inspiration Point, Los Angeles County, California, United States of America	-117.7097801	34.3716669	-117.7097801	34.3716669			
Table Mountain		node	358802271	natural	peak	-117.6847793	34.3827777	18	0.3			Los Angeles County	California	United States of America	us	Table Mountain, Los Angeles County, California, United States of America	-117.6847793	34.3827777	-117.6847793	34.3827777			
Mount Burnham		node	358796363	natural	peak	-117.7815006	34.3591052	18	0.3			Los Angeles County	California	United States of America	us	Mount Burnham, Los Angeles County, California, United States of America	-117.7815006	34.3591052	-117.7815006	34.3591052			
Mount Baden-Powell		node	358796353	natural	peak	-117.7645041	34.3586116	18	0.3			Los Angeles County	California	United States of America	us	Mount Baden-Powell, Los Angeles County, California, United States of America	-117.7645041	34.3586116	-117.7645041	34.3586116			
Throop Peak		node	358795148	natural	peak	-117.7991609	34.3502981	18	0.3			Los Angeles County	California	United States of America	us	Throop Peak, Los Angeles County, California, United States of America	-117.7991609	34.3502981	-117.7991609	34.3502981			
Ross Mountain		node	358791374	natural	peak	-117.7567256	34.3250019	18	0.3			Los Angeles County	California	United States of America	us	Ross Mountain, Los Angeles County, California, United States of America	-117.7567256	34.3250019	-117.7567256	34.3250019			
Mount Lewis		node	358787654	natural	peak	-117.8059532	34.3721320	18	0.3			Los Angeles County	California	United States of America	us	Mount Lewis, Los Angeles County, California, United States of America	-117.8059532	34.3721320	-117.8059532	34.3721320			
South Mount Hawkins		node	358785559	natural	peak	-117.8103382	34.3113908	18	0.3			Los Angeles County	California	United States of America	us	South Mount Hawkins, Los Angeles County, California, United States of America	-117.8103382	34.3113908	-117.8103382	34.3113908			
North Star Ranch		node	150945291	place	hamlet	-117.3592131	34.4341654	19	0.275		Hesperia	San Bernardino County	California	United States of America	us	North Star Ranch, Hesperia, San Bernardino County, California, United States of America	-117.3592131	34.4341654	-117.3592131	34.4341654			
Oak Hills		node	150946209	place	hamlet	-117.3406015	34.3997224	19	0.275		Hesperia	San Bernardino County	California	United States of America	us	Oak Hills, Hesperia, San Bernardino County, California, United States of America	-117.3406015	34.3997224	-117.3406015	34.3997224			
High Country		node	150953833	place	hamlet	-117.3814359	34.4049998	19	0.275		Hesperia	San Bernardino County	California	United States of America	us	High Country, Hesperia, San Bernardino County, California, United States of America	-117.3814359	34.4049998	-117.3814359	34.4049998			
The Mesa		node	150980542	place	hamlet	-117.2730998	34.3947232	19	0.275		Hesperia	San Bernardino County	California	United States of America	us	The Mesa, Hesperia, San Bernardino County, California, United States of America	-117.2730998	34.3947232	-117.2730998	34.3947232			
Thorn		node	150936682	place	hamlet	-117.2808782	34.4758314	19	0.275		Victorville	San Bernardino County	California	United States of America	us	Thorn, Victorville, San Bernardino County, California, United States of America	-117.2808782	34.4758314	-117.2808782	34.4758314			
Sunset Ridge		node	150941705	place	hamlet	-117.3864360	34.4538865	19	0.275		Victorville	San Bernardino County	California	United States of America	us	Sunset Ridge, Victorville, San Bernardino County, California, United States of America	-117.3864360	34.4538865	-117.3864360	34.4538865	Q7641343		
Eagle Ranch		node	150947254	place	hamlet	-117.4078252	34.4777740	19	0.275		Victorville	San Bernardino County	California	United States of America	us	Eagle Ranch, Victorville, San Bernardino County, California, United States of America	-117.4078252	34.4777740	-117.4078252	34.4777740			
Duncan Corners		node	150953830	place	hamlet	-117.3994918	34.4705523	19	0.275		Victorville	San Bernardino County	California	United States of America	us	Duncan Corners, Victorville, San Bernardino County, California, United States of America	-117.3994918	34.4705523	-117.3994918	34.4705523			
Big Pines		node	150955907	place	hamlet	-117.6900572	34.3788889	19	0.275			Los Angeles County	California	United States of America	us	Big Pines, Los Angeles County, California, United States of America	-117.6900572	34.3788889	-117.6900572	34.3788889			
Mile High		node	150973469	place	hamlet	-117.7739496	34.4127763	19	0.275			Los Angeles County	California	United States of America	us	Mile High, Los Angeles County, California, United States of America	-117.7739496	34.4127763	-117.7739496	34.4127763			
Largo Vista		node	150975484	place	hamlet	-117.7661717	34.4269426	19	0.275			Los Angeles County	California	United States of America	us	Largo Vista, Los Angeles County, California, United States of America	-117.7661717	34.4269426	-117.7661717	34.4269426			
Mountain Top Junction		node	150933945	place	hamlet	-117.5761641	34.3902773	19	0.275			San Bernardino County	California	United States of America	us	Mountain Top Junction, San Bernardino County, California, United States of America	-117.5761641	34.3902773	-117.5761641	34.3902773			
Pinon Hills Estates		node	150935515	place	hamlet	-117.6347778	34.4699961	19	0.275			San Bernardino County	California	United States of America	us	Pinon Hills Estates, San Bernardino County, California, United States of America	-117.6347778	34.4699961	-117.6347778	34.4699961			
Wrightwood		node	150940009	place	hamlet	-117.6333885	34.3608341	19	0.275			San Bernardino County	California	United States of America	us	Wrightwood, San Bernardino County, California, United States of America	-117.6333885	34.3608341	-117.6333885	34.3608341			
Wildhorse Canyon		node	150945026	place	hamlet	-117.6100543	34.3880552	19	0.275			San Bernardino County	California	United States of America	us	Wildhorse Canyon, San Bernardino County, California, United States of America	-117.6100543	34.3880552	-117.6100543	34.3880552			
Deer Haven		node	150953205	place	hamlet	-117.5981094	34.4083320	19	0.275			San Bernardino County	California	United States of America	us	Deer Haven, San Bernardino County, California, United States of America	-117.5981094	34.4083320	-117.5981094	34.4083320			
Yucca Inn		node	150976302	place	hamlet	-117.5894980	34.4097208	19	0.275			San Bernardino County	California	United States of America	us	Yucca Inn, San Bernardino County, California, United States of America	-117.5894980	34.4097208	-117.5894980	34.4097208			
Piñon Hills		node	150981195	place	hamlet	-117.6467226	34.4333309	19	0.275			San Bernardino County	California	United States of America	us	Piñon Hills, San Bernardino County, California, United States of America	-117.6467226	34.4333309	-117.6467226	34.4333309			
Cajon Junction		node	150937341	place	hamlet	-117.4747723	34.3116701	19	0.275			San Bernardino County	California	United States of America	us	Cajon Junction, San Bernardino County, California, United States of America	-117.4747723	34.3116701	-117.4747723	34.3116701			
Lugo		node	150942542	place	hamlet	-117.3422683	34.3672238	19	0.275			San Bernardino County	California	United States of America	us	Lugo, San Bernardino County, California, United States of America	-117.3422683	34.3672238	-117.3422683	34.3672238			
Golden Valley Acres		node	150949513	place	hamlet	-117.4431041	34.4227762	19	0.275			San Bernardino County	California	United States of America	us	Golden Valley Acres, San Bernardino County, California, United States of America	-117.4431041	34.4227762	-117.4431041	34.4227762			
Mountain View Acres		node	150965216	place	hamlet	-117.3489352	34.4966629	19	0.275			San Bernardino County	California	United States of America	us	Mountain View Acres, San Bernardino County, California, United States of America	-117.3489352	34.4966629	-117.3489352	34.4966629			
Alray		node	150966586	place	hamlet	-117.4801971	34.3301469	19	0.275			San Bernardino County	California	United States of America	us	Alray, San Bernardino County, California, United States of America	-117.4801971	34.3301469	-117.4801971	34.3301469			
Baldy Mesa		node	150971810	place	hamlet	-117.4510029	34.4590500	19	0.275			San Bernardino County	California	United States of America	us	Baldy Mesa, San Bernardino County, California, United States of America	-117.4510029	34.4590500	-117.4510029	34.4590500			
Summit Terrace		node	150980538	place	hamlet	-117.4217148	34.3452799	19	0.275			San Bernardino County	California	United States of America	us	Summit Terrace, San Bernardino County, California, United States of America	-117.4217148	34.3452799	-117.4217148	34.3452799			
Cajon		node	150942225	place	hamlet	-117.4564384	34.2988931	19	0.275			San Bernardino County	California	United States of America	us	Cajon, San Bernardino County, California, United States of America	-117.4564384	34.2988931	-117.4564384	34.2988931			
Cedarpines Park		node	150949466	place	hamlet	-117.3258786	34.2500061	19	0.275			San Bernardino County	California	United States of America	us	Cedarpines Park, San Bernardino County, California, United States of America	-117.3258786	34.2500061	-117.3258786	34.2500061			
Lytle Creek		node	150951028	place	hamlet	-117.5000512	34.2591728	19	0.275			San Bernardino County	California	United States of America	us	Lytle Creek, San Bernardino County, California, United States of America	-117.5000512	34.2591728	-117.5000512	34.2591728			
Cosy Dell		node	150966785	place	hamlet	-117.4536607	34.2788939	19	0.275			San Bernardino County	California	United States of America	us	Cosy Dell, San Bernardino County, California, United States of America	-117.4536607	34.2788939	-117.4536607	34.2788939			
Windy Gap		node	351540956	multiple	locality	-117.8288002	34.3431721	20	0.25			Los Angeles County	California	United States of America	us	Windy Gap, Los Angeles County, California, United States of America	-117.8288002	34.3431721	-117.8288002	34.3431721			
Vincent Gap		node	123064732	multiple	locality	-117.7522018	34.3733739	20	0.25			Los Angeles County	California	United States of America	us	Vincent Gap, Los Angeles County, California, United States of America	-117.7522018	34.3733739	-117.7522018	34.3733739			
Grassy Hollow Vistor Center		node	348266060	multiple	locality	-117.7220474	34.3753796	20	0.25			Los Angeles County	California	United States of America	us	Grassy Hollow Vistor Center, Los Angeles County, California, United States of America	-117.7220474	34.3753796	-117.7220474	34.3753796			
Dawson Saddle		node	1833562514	multiple	locality	-117.8034112	34.3681315	20	0.25			Los Angeles County	California	United States of America	us	Dawson Saddle, Los Angeles County, California, United States of America	-117.8034112	34.3681315	-117.8034112	34.3681315			
Pole of Inaccessibility		node	4213516359	multiple	locality	-117.7617001	34.3203999	20	0.25			Los Angeles County	California	United States of America	us	Pole of Inaccessibility, Los Angeles County, California, United States of America	-117.7617001	34.3203999	-117.7617001	34.3203999			
Fish Fork Camp		node	4341602754	multiple	locality	-117.7334511	34.3059563	20	0.25			Los Angeles County	California	United States of America	us	Fish Fork Camp, Los Angeles County, California, United States of America	-117.7334511	34.3059563	-117.7334511	34.3059563			
Jackson Flat		node	4474495040	multiple	locality	-117.7345139	34.3811838	20	0.25			Los Angeles County	California	United States of America	us	Jackson Flat, Los Angeles County, California, United States of America	-117.7345139	34.3811838	-117.7345139	34.3811838			
Widman Ranch		node	4421279579	multiple	locality	-117.7110123	34.2638034	20	0.25			Los Angeles County	California	United States of America	us	Widman Ranch, Los Angeles County, California, United States of America	-117.7110123	34.2638034	-117.7110123	34.2638034			
Las Animas Point		node	4218425564	multiple	locality	-117.3334316	34.2861184	20	0.25			San Bernardino County	California	United States of America	us	Las Animas Point, San Bernardino County, California, United States of America	-117.3334316	34.2861184	-117.3334316	34.2861184			
Rocking Chair		node	4218425563	multiple	locality	-117.3285177	34.2851972	20	0.25			San Bernardino County	California	United States of America	us	Rocking Chair, San Bernardino County, California, United States of America	-117.3285177	34.2851972	-117.3285177	34.2851972			
Country Mobile Estates		way	373996304	highway	residential	-117.8304053	34.4832860	22	0.2		Country Mobile Estates	Los Angeles County	California	United States of America	us	Country Mobile Estates, Los Angeles County, California, United States of America	-117.8321174	34.4824155	-117.8287175	34.4841483			
Pacific Crest Reservoir		way	178914766	landuse	reservoir	-117.6922389	34.3663718	22	0.2			Los Angeles County	California	United States of America	us	Pacific Crest Reservoir, Los Angeles County, California, United States of America	-117.6927699	34.3658061	-117.6915377	34.3670318			
Camp Host		way	422115251	highway	residential	-117.3512580	34.2834002	22	0.2		Camp Host	San Bernardino County	California	United States of America	us	Camp Host, San Bernardino County, California, United States of America	-117.3516361	34.2831167	-117.3508830	34.2835737			
Newport Street		way	262545107	highway	residential	-117.3774810	34.4070192	22	0.2	Newport Street	Hesperia	San Bernardino County	California	United States of America	us	Newport Street, Hesperia, San Bernardino County, California, United States of America	-117.3815274	34.4067518	-117.3734388	34.4070242			
Caribou Avenue		way	262545124	highway	residential	-117.3794868	34.4071340	22	0.2	Caribou Avenue	Hesperia	San Bernardino County	California	United States of America	us	Caribou Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3795474	34.4067870	-117.3793889	34.4074889			
Irvine Street		way	283538458	highway	residential	-117.3743673	34.4154363	22	0.2	Irvine Street	Hesperia	San Bernardino County	California	United States of America	us	Irvine Street, Hesperia, San Bernardino County, California, United States of America	-117.3743825	34.4150783	-117.3743566	34.4157943			
Mammoth Street		way	283538656	highway	residential	-117.3745133	34.4053491	22	0.2	Mammoth Street	Hesperia	San Bernardino County	California	United States of America	us	Mammoth Street, Hesperia, San Bernardino County, California, United States of America	-117.3756333	34.4053364	-117.3733841	34.4053880			
Valinda Avenue		way	283538655	highway	residential	-117.3784879	34.4058019	22	0.2	Valinda Avenue	Hesperia	San Bernardino County	California	United States of America	us	Valinda Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3785115	34.4053978	-117.3784686	34.4062139			
Clovis Court		way	283538660	highway	residential	-117.3803288	34.4116984	22	0.2	Clovis Court	Hesperia	San Bernardino County	California	United States of America	us	Clovis Court, Hesperia, San Bernardino County, California, United States of America	-117.3810026	34.4116692	-117.3796491	34.4116999			
Tracy Avenue		way	283538661	highway	residential	-117.3756513	34.4058145	22	0.2	Tracy Avenue	Hesperia	San Bernardino County	California	United States of America	us	Tracy Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3756696	34.4053880	-117.3756150	34.4062434			
Ojai Avenue		way	283538662	highway	residential	-117.3809475	34.4057027	22	0.2	Ojai Avenue	Hesperia	San Bernardino County	California	United States of America	us	Ojai Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3809487	34.4053998	-117.3808995	34.4060178			
Campbell Court		way	283560311	highway	residential	-117.3804156	34.4126482	22	0.2	Campbell Court	Hesperia	San Bernardino County	California	United States of America	us	Campbell Court, Hesperia, San Bernardino County, California, United States of America	-117.3811211	34.4126461	-117.3797101	34.4126631			
la Jolla Street		way	283560306	highway	residential	-117.3759337	34.4126541	22	0.2	la Jolla Street	Hesperia	San Bernardino County	California	United States of America	us	la Jolla Street, Hesperia, San Bernardino County, California, United States of America	-117.3762080	34.4126530	-117.3756604	34.4126705			
Montclair Avenue		way	283560314	highway	residential	-117.3734287	34.4109790	22	0.2	Montclair Avenue	Hesperia	San Bernardino County	California	United States of America	us	Montclair Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3734579	34.4102961	-117.3734287	34.4116647			
Seal Beach Drive		way	283560304	highway	residential	-117.3804210	34.4152254	22	0.2	Seal Beach Drive	Hesperia	San Bernardino County	California	United States of America	us	Seal Beach Drive, Hesperia, San Bernardino County, California, United States of America	-117.3811712	34.4126558	-117.3777018	34.4159970			
Chimney Rock Avenue		way	283562492	highway	residential	-117.3767760	34.4163043	22	0.2	Chimney Rock Avenue	Hesperia	San Bernardino County	California	United States of America	us	Chimney Rock Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3767868	34.4157929	-117.3767631	34.4168126			
Big Bear Drive		way	262545153	highway	residential	-117.3799695	34.4146676	22	0.2	Big Bear Drive	Hesperia	San Bernardino County	California	United States of America	us	Big Bear Drive, Hesperia, San Bernardino County, California, United States of America	-117.3803211	34.4133420	-117.3786678	34.4152205			
Cucamonga Court		way	262545143	highway	residential	-117.3749233	34.4083138	22	0.2	Cucamonga Court	Hesperia	San Bernardino County	California	United States of America	us	Cucamonga Court, Hesperia, San Bernardino County, California, United States of America	-117.3755154	34.4082441	-117.3742549	34.4086167			
Palo Alto Avenue		way	262545145	highway	residential	-117.3810585	34.4109905	22	0.2	Palo Alto Avenue	Hesperia	San Bernardino County	California	United States of America	us	Palo Alto Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3810673	34.4103016	-117.3810026	34.4116692			
la Costa Court		way	262545149	highway	residential	-117.3804703	34.4096002	22	0.2	la Costa Court	Hesperia	San Bernardino County	California	United States of America	us	la Costa Court, Hesperia, San Bernardino County, California, United States of America	-117.3812119	34.4095956	-117.3797331	34.4096198			
Seaside Avenue		way	262545117	highway	residential	-117.3770635	34.4059716	22	0.2	Seaside Avenue	Hesperia	San Bernardino County	California	United States of America	us	Seaside Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3770746	34.4049195	-117.3770606	34.4070237			
Stockton Avenue		way	262545115	highway	residential	-117.3765277	34.4059883	22	0.2	Stockton Avenue	Hesperia	San Bernardino County	California	United States of America	us	Stockton Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3765426	34.4051597	-117.3765223	34.4068169			
Rialto Avenue		way	262545142	highway	residential	-117.3756337	34.4130175	22	0.2	Rialto Avenue	Hesperia	San Bernardino County	California	United States of America	us	Rialto Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3756604	34.4126705	-117.3756324	34.4133657			
San Jacinto Avenue		way	262545144	highway	residential	-117.3742571	34.4083837	22	0.2	San Jacinto Avenue	Hesperia	San Bernardino County	California	United States of America	us	San Jacinto Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3743283	34.4075032	-117.3742519	34.4092594			
Independence Avenue		way	262545065	highway	residential	-117.3792830	34.4104105	22	0.2	Independence Avenue	Hesperia	San Bernardino County	California	United States of America	us	Independence Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3794296	34.4069714	-117.3781838	34.4140381			
Big Sur Avenue		way	262545098	highway	residential	-117.3746372	34.4064580	22	0.2	Big Sur Avenue	Hesperia	San Bernardino County	California	United States of America	us	Big Sur Avenue, Hesperia, San Bernardino County, California, United States of America	-117.3747016	34.4061032	-117.3745728	34.4068128			
San Dimas Street		way	262545116	highway	residential	-117.3745362	34.4075422	22	0.2	San Dimas Street	Hesperia	San Bernardino County	California	United States of America	us	San Dimas Street, Hesperia, San Bernardino County, California, United States of America	-117.3756256	34.4074773	-117.3734309	34.4077448			
Agate Road		way	7221719	highway	residential	-117.3660991	34.4002000	22	0.2	Agate Road		San Bernardino County	California	United States of America	us	Agate Road, San Bernardino County, California, United States of America	-117.3661176	34.3976757	-117.3660810	34.4027243			
Jargon Street		way	7335202	highway	residential	-117.3748570	34.4012873	22	0.2	Jargon Street		San Bernardino County	California	United States of America	us	Jargon Street, San Bernardino County, California, United States of America	-117.3749543	34.3976497	-117.3748456	34.4049237			
