name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Tuolumne County	Tuolumne	relation	396471	boundary	administrative	-119.8852398	38.0347841	12	0.445086092202146			Tuolumne County	California	United States of America	us	Tuolumne County, California, United States of America	-120.6531040	37.6335083	-119.1995075	38.4358565	Q156346	en:Tuolumne County, California	
Sardella Lake		way	278460565	natural	water	-119.7350258	38.2228669	16	0.35			Tuolumne County	California	United States of America	us	Sardella Lake, Tuolumne County, California, United States of America	-119.7360371	38.2218959	-119.7341123	38.2234805			
Karls Lake		relation	1193569	natural	water	-119.7631140	38.1458428	16	0.35			Tuolumne County	California	United States of America	us	Karls Lake, Tuolumne County, California, United States of America	-119.7655087	38.1434314	-119.7588851	38.1482443			
Maxwell Lake		way	226334508	natural	water	-119.6733412	38.1585153	16	0.35			Tuolumne County	California	United States of America	us	Maxwell Lake, Tuolumne County, California, United States of America	-119.6781273	38.1546051	-119.6675059	38.1625941			
Rosasco Lake		way	79404486	natural	water	-119.8186500	38.1410600	16	0.35			Tuolumne County	California	United States of America	us	Rosasco Lake, Tuolumne County, California, United States of America	-119.8200071	38.1404409	-119.8172786	38.1417850			
Tower Lake		way	479175364	natural	water	-119.5515065	38.1601697	16	0.35			Mono County	California	United States of America	us	Tower Lake, Mono County, California, United States of America	-119.5532828	38.1590699	-119.5498322	38.1611629			
Cinko Lake		way	283741764	natural	water	-119.5871983	38.2041054	16	0.35			Mono County	California	United States of America	us	Cinko Lake, Mono County, California, United States of America	-119.5888830	38.2027422	-119.5857717	38.2053522			
Leavitt Lake		way	38803077	natural	water	-119.6184916	38.2736542	16	0.35			Mono County	California	United States of America	us	Leavitt Lake, Mono County, California, United States of America	-119.6209508	38.2706556	-119.6161012	38.2764843			
Millie Lake		way	444683891	natural	water	-119.5402137	38.3374397	16	0.35			Mono County	California	United States of America	us	Millie Lake, Mono County, California, United States of America	-119.5414386	38.3363310	-119.5388691	38.3383465			
Koenig Lake		way	279639759	natural	water	-119.6261404	38.2818071	16	0.35			Mono County	California	United States of America	us	Koenig Lake, Mono County, California, United States of America	-119.6266330	38.2813986	-119.6256782	38.2821902			
Ski Lake		way	279640225	natural	water	-119.6016480	38.2730099	16	0.35			Mono County	California	United States of America	us	Ski Lake, Mono County, California, United States of America	-119.6027077	38.2718559	-119.6004977	38.2739112			
Bonnie Lake		way	283741751	natural	water	-119.5773562	38.1892053	16	0.35			Mono County	California	United States of America	us	Bonnie Lake, Mono County, California, United States of America	-119.5787711	38.1871653	-119.5760752	38.1909111			
Lake Harriet		way	283741768	natural	water	-119.5692620	38.1862249	16	0.35			Mono County	California	United States of America	us	Lake Harriet, Mono County, California, United States of America	-119.5707028	38.1845573	-119.5681097	38.1880502			
Pinto Lakes		way	278460683	natural	water	-119.7527701	38.2058179	16	0.35			Tuolumne County	California	United States of America	us	Pinto Lakes, Tuolumne County, California, United States of America	-119.7531710	38.2055355	-119.7523607	38.2060624			
Sharon Lake		way	279630896	natural	water	-119.7002751	38.2757384	16	0.35			Tuolumne County	California	United States of America	us	Sharon Lake, Tuolumne County, California, United States of America	-119.7014563	38.2749711	-119.6994661	38.2766553			
Unnamed Lake		way	279636978	natural	water	-119.6960879	38.2566496	16	0.35			Tuolumne County	California	United States of America	us	Unnamed Lake, Tuolumne County, California, United States of America	-119.6963619	38.2563476	-119.6958126	38.2567941			
Unnamed Lake		way	279637976	natural	water	-119.6494786	38.2928557	16	0.35			Tuolumne County	California	United States of America	us	Unnamed Lake, Tuolumne County, California, United States of America	-119.6502558	38.2922621	-119.6487988	38.2934831			
Unnamed Lake		way	279641067	natural	water	-119.6918181	38.2674494	16	0.35			Tuolumne County	California	United States of America	us	Unnamed Lake, Tuolumne County, California, United States of America	-119.6921961	38.2669503	-119.6913432	38.2679485			
Hyatt Lake		way	78291482	natural	water	-119.8370682	38.1213949	16	0.35			Tuolumne County	California	United States of America	us	Hyatt Lake, Tuolumne County, California, United States of America	-119.8402920	38.1184258	-119.8317079	38.1245735			
Lilly Lake		way	182814452	natural	water	-119.9669365	38.1594984	16	0.35			Tuolumne County	California	United States of America	us	Lilly Lake, Tuolumne County, California, United States of America	-119.9684246	38.1585272	-119.9653883	38.1606380			
Twin Meadows Lake		way	278281250	natural	water	-119.9632850	38.3903880	16	0.35			Tuolumne County	California	United States of America	us	Twin Meadows Lake, Tuolumne County, California, United States of America	-119.9638103	38.3889241	-119.9622386	38.3916415			
Clear Lake		way	507883386	natural	water	-119.9385515	38.1283085	16	0.35			Tuolumne County	California	United States of America	us	Clear Lake, Tuolumne County, California, United States of America	-119.9395955	38.1276227	-119.9375463	38.1289874			
Cleo's Bath		way	543372239	natural	water	-119.9528327	38.2075822	16	0.35			Tuolumne County	California	United States of America	us	Cleo's Bath, Tuolumne County, California, United States of America	-119.9530472	38.2074548	-119.9525613	38.2077047			
Shallow Lake		way	182800074	natural	water	-119.6998126	38.1612321	16	0.35			Tuolumne County	California	United States of America	us	Shallow Lake, Tuolumne County, California, United States of America	-119.7016239	38.1584102	-119.6959255	38.1639777			
