name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Riverside County	Quận Riverside,Riverside	relation	396495	boundary	administrative	-116.0201872	33.7531308	12	0.497745273085854			Riverside County	California	United States of America	us	Riverside County, California, United States of America	-117.6763201	33.4259102	-114.4349244	34.0801057	Q108111	en:Riverside County, California	
Palm Springs		relation	2866485	place	city	-116.4952978	33.7721794	16	0.495233702273146		Palm Springs	Riverside County	California	United States of America	us	Palm Springs, Riverside County, California, United States of America	-116.6844791	33.6124222	-116.4428115	33.9319778	Q488004	en:Palm Springs, California	
Indio		relation	2166020	place	city	-116.1970542	33.7438984	16	0.441071975530928		Indio	Riverside County	California	United States of America	us	Indio, Riverside County, California, United States of America	-116.3012664	33.6709990	-116.1292897	33.8167124	Q838789	en:Indio, California	
Indio	Indian Wells	relation	2632192	place	city	-116.2233153	33.7437650	16	0.441071975530928		Indio	Riverside County	California	United States of America	us	Indio, Riverside County, California, United States of America	-116.3012664	33.6709990	-116.1641376	33.8165364	Q838789	en:Indio, California	
Palm Desert		relation	2866010	place	town	-116.3693699	33.7407996	18	0.418617691268809		Palm Desert	Riverside County	California	United States of America	us	Palm Desert, Palm Desert, Riverside County, California, United States of America	-116.4255051	33.6706749	-116.3020543	33.8100814	Q399976	en:Palm Desert, California	
Palm Desert		relation	2866011	boundary	administrative	-116.4081238	33.6977569	16	0.418617691268809		Palm Desert	Riverside County	California	United States of America	us	Palm Desert, Riverside County, California, United States of America	-116.4428866	33.5837354	-116.2647222	33.8100814	Q399976	en:Palm Desert, California	
Indian Wells		relation	2865436	place	town	-116.3376019	33.7057568	18	0.414416760876815		Indian Wells	Riverside County	California	United States of America	us	Indian Wells, Riverside County, California, United States of America	-116.3736525	33.6706673	-116.2949369	33.7435752	Q490714	en:Indian Wells, California	
Rancho Mirage		relation	2866320	boundary	administrative	-116.4156194	33.7751550	16	0.409635598525571		Rancho Mirage	Riverside County	California	United States of America	us	Rancho Mirage, Riverside County, California, United States of America	-116.4777316	33.7140740	-116.3881501	33.8378742	Q506446	en:Rancho Mirage, California	
Rancho Mirage		relation	2866319	place	town	-116.4268741	33.7708590	18	0.409635598525571		Rancho Mirage	Riverside County	California	United States of America	us	Rancho Mirage, Rancho Mirage, Riverside County, California, United States of America	-116.4777316	33.7140740	-116.3881501	33.8269354	Q506446	en:Rancho Mirage, California	
Coachella	Woodspur	relation	2530671	place	town	-116.1532775	33.6865659	18	0.40796308292329		Coachella	Riverside County	California	United States of America	us	Coachella, Riverside County, California, United States of America	-116.2164659	33.6420222	-116.0782448	33.7295269	Q948219	en:Coachella, California	
Coachella		relation	2173440	place	town	-116.1342347	33.6711467	18	0.40796308292329		Coachella	Riverside County	California	United States of America	us	Coachella, Riverside County, California, United States of America	-116.2164863	33.6131159	-116.0606264	33.7295269	Q948219	en:Coachella, California	
Cathedral City		relation	2866412	place	town	-116.4668703	33.8229980	18	0.391662964231057		Cathedral City	Riverside County	California	United States of America	us	Cathedral City, Cathedral City, Riverside County, California, United States of America	-116.5043234	33.7559882	-116.4387380	33.8913441	Q578518	en:Cathedral City, California	
Cathedral City		relation	2866413	boundary	administrative	-116.4668748	33.8237240	16	0.391662964231057		Cathedral City	Riverside County	California	United States of America	us	Cathedral City, Riverside County, California, United States of America	-116.5043234	33.7559882	-116.3294009	33.8913441	Q578518	en:Cathedral City, California	
La Quinta		relation	2561346	boundary	administrative	-116.2603395	33.6610409	16	0.390873246631907		La Quinta	Riverside County	California	United States of America	us	La Quinta, Riverside County, California, United States of America	-116.3214831	33.5836815	-116.1811931	33.7383322	Q983614	en:La Quinta, California	
La Quinta		relation	2647900	place	town	-116.2777025	33.6636542	18	0.390873246631907		La Quinta	Riverside County	California	United States of America	us	La Quinta, La Quinta, Riverside County, California, United States of America	-116.3214831	33.5836815	-116.2246890	33.7383322	Q983614	en:La Quinta, California	
La Quinta		node	3823967157	place	city	-116.2958789	33.6774740	16	0.390873246631907			Riverside County	California	United States of America	us	La Quinta, Riverside County, California, United States of America	-116.2958789	33.6774740	-116.2958789	33.6774740	Q983614	en:La Quinta, California	
Water Hazard		way	480145555	natural	water	-116.3255082	33.7415972	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3256849	33.7412923	-116.3253184	33.7418714			
Pool		way	469329610	natural	water	-116.3072885	33.7410456	16	0.35			Riverside County	California	United States of America	us	Pool, Riverside County, California, United States of America	-116.3073976	33.7409804	-116.3072274	33.7411163			
Pool		way	469329719	natural	water	-116.3073378	33.7408810	16	0.35			Riverside County	California	United States of America	us	Pool, Riverside County, California, United States of America	-116.3073642	33.7408655	-116.3073105	33.7408966			
Pool		way	469329880	natural	water	-116.3071779	33.7409126	16	0.35			Riverside County	California	United States of America	us	Pool, Riverside County, California, United States of America	-116.3072671	33.7408559	-116.3071103	33.7409696			
Water Hazard		way	479852810	natural	water	-116.3258248	33.7425791	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3261380	33.7424753	-116.3255285	33.7426753			
Water Hazard		way	479852811	natural	water	-116.3272135	33.7428656	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3274433	33.7427161	-116.3268198	33.7430481			
Water Hazard		way	479852804	natural	water	-116.3277187	33.7402770	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3278903	33.7401190	-116.3274796	33.7403910			
Water Hazard		way	480145560	natural	water	-116.3289909	33.7406956	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3293842	33.7397170	-116.3288332	33.7417052			
Water Hazard		way	480145556	natural	water	-116.3247156	33.7401868	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3251673	33.7399268	-116.3244001	33.7404904			
Settling Ponds		way	83954742	natural	water	-116.1084991	33.5511583	16	0.35			Riverside County	California	United States of America	us	Settling Ponds, Riverside County, California, United States of America	-116.1087485	33.5510142	-116.1083007	33.5512959			
Water Hazard		way	479852815	natural	water	-116.3266363	33.7425159	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3267726	33.7424493	-116.3264985	33.7426055			
Water Hazard		way	479852807	natural	water	-116.3270102	33.7413024	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3273284	33.7410030	-116.3269108	33.7415725			
Small water fountain		way	517464438	natural	water	-116.3883369	33.7318339	16	0.35			Riverside County	California	United States of America	us	Small water fountain, Riverside County, California, United States of America	-116.3883823	33.7317918	-116.3882900	33.7318759			
Fountain		way	517465383	natural	water	-116.3882875	33.7330141	16	0.35			Riverside County	California	United States of America	us	Fountain, Riverside County, California, United States of America	-116.3883173	33.7329818	-116.3882578	33.7330407			
Water Hazard		way	479852796	natural	water	-116.3273238	33.7376442	16	0.35			Riverside County	California	United States of America	us	Water Hazard, Riverside County, California, United States of America	-116.3275199	33.7374055	-116.3271555	33.7378539			
