name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Santa Barbara County	Santa Barbara	relation	396510	boundary	administrative	-120.0640266	34.7202565	12	0.48226982462001			Santa Barbara County	California	United States of America	us	Santa Barbara County, California, United States of America	-120.7343821	33.4083677	-118.9633999	35.1146650	Q108106	en:Santa Barbara County, California	
Santa Maria		way	106716910	place	city	-120.4537714	34.9336835	16	0.458160518054125		Santa Maria		California	United States of America	us	Santa Maria, California, United States of America	-120.5084086	34.8755275	-120.3543359	34.9892383	Q643953	en:Santa Maria, California	
Solvang	سولفانغ، سانتا باربارا، كاليفورنيا	way	33113473	place	city	-120.1441616	34.5848069	16	0.364150972568092		Solvang	Santa Barbara County	California	United States of America	us	Solvang, Santa Barbara County, California, United States of America	-120.1549110	34.5588880	-120.1199210	34.6107669	Q822559	en:Solvang, California	
Santa Ynez		way	33180899	boundary	administrative	-120.1046775	34.6086369	30	0.351497327609697			Santa Barbara County	California	United States of America	us	Santa Ynez, Santa Barbara County, California, United States of America	-120.1367230	34.5813320	-120.0551170	34.6358210	Q1787293	en:Santa Ynez, California	
Santa Maria		node	150977729	place	city	-120.4358577	34.9531295	16	0.35			Santa Barbara County	California	United States of America	us	Santa Maria, Santa Barbara County, California, United States of America	-120.4358577	34.9531295	-120.4358577	34.9531295	Q643953		
Lompoc		node	150960972	place	city	-120.4579410	34.6391501	16	0.35			Santa Barbara County	California	United States of America	us	Lompoc, Santa Barbara County, California, United States of America	-120.4579410	34.6391501	-120.4579410	34.6391501	Q852704		
Zaca Lake		way	149956503	natural	water	-120.0396815	34.7777214	16	0.35			Santa Barbara County	California	United States of America	us	Zaca Lake, Santa Barbara County, California, United States of America	-120.0415672	34.7762709	-120.0377655	34.7791068			
Buellton	بويلتون، سانتا باربارا، كاليفورنيا	way	33113769	place	city	-120.1986512	34.6175475	16	0.32976304828016		Buellton	Santa Barbara County	California	United States of America	us	Buellton, Santa Barbara County, California, United States of America	-120.2107438	34.6062348	-120.1763933	34.6290509	Q999905	en:Buellton, California	
Orcutt		node	3816337556	place	town	-120.4366904	34.8650716	18	0.32876858236251			Santa Barbara County	California	United States of America	us	Orcutt, Santa Barbara County, California, United States of America	-120.4366904	34.8650716	-120.4366904	34.8650716	Q1636815	en:Orcutt, California	
Sisquoc River		way	402929851	waterway	river	-120.2923320	34.8796275	17	0.325			Santa Barbara County	California	United States of America	us	Sisquoc River, Santa Barbara County, California, United States of America	-120.3120357	34.8627860	-120.2654324	34.9038253			
