name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Amboy		node	150965592	place	hamlet	-115.7444412	34.5577720	19	0.352560018222008			San Bernardino County	California	United States of America	us	Amboy, San Bernardino County, California, United States of America	-115.7444412	34.5577720	-115.7444412	34.5577720	Q458547	en:Amboy, California	
Guzzler		way	382792279	natural	water	-115.4621120	34.9927372	16	0.35			San Bernardino County	California	United States of America	us	Guzzler, San Bernardino County, California, United States of America	-115.4621773	34.9927043	-115.4620472	34.9927721			
Clipper Valley		relation	3044554	natural	desert	-115.3413412	34.8999801	16	0.35			San Bernardino County	California	United States of America	us	Clipper Valley, San Bernardino County, California, United States of America	-115.6749452	34.6728800	-115.1688876	35.1286055			
Guzzler		way	382792278	natural	water	-115.4129486	34.9741019	16	0.35			San Bernardino County	California	United States of America	us	Guzzler, San Bernardino County, California, United States of America	-115.4130002	34.9740685	-115.4128976	34.9741396			
Fenner Valley		relation	3938400	natural	desert	-115.2157810	34.7857442	16	0.35			San Bernardino County	California	United States of America	us	Fenner Valley, San Bernardino County, California, United States of America	-115.5453410	34.5041579	-115.0099291	35.0661127			
Palen Valley		way	168648982	natural	desert	-115.4327171	34.3411147	16	0.35				California	United States of America	us	Palen Valley, California, United States of America	-115.7215618	34.0307856	-115.2125935	34.6465153			
Cadiz		node	150963869	multiple	locality	-115.5139206	34.5201434	20	0.343546469254715			San Bernardino County	California	United States of America	us	Cadiz, San Bernardino County, California, United States of America	-115.5139206	34.5201434	-115.5139206	34.5201434	Q5016510	en:Cadiz, California	
Bagdad		node	150938807	multiple	locality	-115.8755724	34.5829249	20	0.342329664545321			San Bernardino County	California	United States of America	us	Bagdad, San Bernardino County, California, United States of America	-115.8755724	34.5829249	-115.8755724	34.5829249	Q139063	en:Bagdad, California	
Essex		node	150981392	place	hamlet	-115.2449795	34.7336097	19	0.340251318287711			San Bernardino County	California	United States of America	us	Essex, San Bernardino County, California, United States of America	-115.2449795	34.7336097	-115.2449795	34.7336097	Q5399620	en:Essex, San Bernardino County, California	
Chambless		node	150974022	place	hamlet	-115.5447121	34.5613853	19	0.338972703977552			San Bernardino County	California	United States of America	us	Chambless, San Bernardino County, California, United States of America	-115.5447121	34.5613853	-115.5447121	34.5613853	Q5069691	en:Chambless, California	
Kelso Dunes		node	3692629790	natural	peak	-115.7182420	34.9033870	18	0.3			San Bernardino County	California	United States of America	us	Kelso Dunes, San Bernardino County, California, United States of America	-115.7182420	34.9033870	-115.7182420	34.9033870			
Edgar Peak		node	358816160	natural	peak	-115.5363810	34.9555464	18	0.3			San Bernardino County	California	United States of America	us	Edgar Peak, San Bernardino County, California, United States of America	-115.5363810	34.9555464	-115.5363810	34.9555464			
Windy Point		node	358808898	natural	peak	-115.6699944	34.6111051	18	0.3			San Bernardino County	California	United States of America	us	Windy Point, San Bernardino County, California, United States of America	-115.6699944	34.6111051	-115.6699944	34.6111051			
Van Winkle Mountain		node	358808847	natural	peak	-115.6055484	34.7644366	18	0.3			San Bernardino County	California	United States of America	us	Van Winkle Mountain, San Bernardino County, California, United States of America	-115.6055484	34.7644366	-115.6055484	34.7644366			
Hidden Hill		node	358808125	natural	peak	-115.5480468	34.8113816	18	0.3			San Bernardino County	California	United States of America	us	Hidden Hill, San Bernardino County, California, United States of America	-115.5480468	34.8113816	-115.5480468	34.8113816			
Carbonate Peak		node	358807886	natural	peak	-115.1910881	34.5586131	18	0.3			San Bernardino County	California	United States of America	us	Carbonate Peak, San Bernardino County, California, United States of America	-115.1910881	34.5586131	-115.1910881	34.5586131			
