name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Imperial County	Imperial	relation	396515	boundary	administrative	-115.3557925	33.0261062	12	0.461640023411164			Imperial County	California	United States of America	us	Imperial County, California, United States of America	-116.1062735	32.6184031	-114.4627897	33.4338267	Q169952	en:Imperial County, California	
Salton Sea	Lago Salton,Lago Saltón,Marea Salton,Saltonsee,Salton-tó	relation	5408826	natural	water	-115.7794298	33.3121599	16	0.448957292899601				California	United States of America	us	Salton Sea, California, United States of America	-116.0830557	33.0926778	-115.5871259	33.5315936	Q503301	en:Salton Sea	
Niland		way	33178246	boundary	administrative	-115.5135540	33.2375654	30	0.353606146746447			Imperial County	California	United States of America	us	Niland, Imperial County, California, United States of America	-115.5202599	33.2300040	-115.5080910	33.2456203	Q1606333	en:Niland, California	
Westmorland		relation	112197	place	city	-115.6215918	33.0369075	16	0.35		Westmorland	Imperial County	California	United States of America	us	Westmorland, Imperial County, California, United States of America	-115.6301584	33.0301209	-115.6130154	33.0482239			
Calipatria		relation	112203	place	city	-115.4922082	33.1692774	16	0.35		Calipatria	Imperial County	California	United States of America	us	Calipatria, Imperial County, California, United States of America	-115.5540921	33.1143169	-115.4759484	33.1765970			
Palen Valley		way	168648980	natural	desert	-115.1990248	33.8958136	16	0.35			Riverside County	California	United States of America	us	Palen Valley, Riverside County, California, United States of America	-115.3113512	33.7257992	-115.0648453	34.0710362			
Varner Harbor		way	407008095	natural	water	-115.9144949	33.5026435	16	0.35			Riverside County	California	United States of America	us	Varner Harbor, Riverside County, California, United States of America	-115.9163339	33.5018681	-115.9140508	33.5035097			
Desert Center		relation	2886323	place	hamlet	-115.3844601	33.7847005	19	0.346687403469102		Desert Center	Riverside County	California	United States of America	us	Desert Center, Riverside County, California, United States of America	-115.4804767	33.6992133	-115.2977685	33.8721715	Q2361618	en:Desert Center, California	
Salton City		way	33178664	place	village	-115.9585392	33.2966684	19	0.338972703977552		Salton City	Imperial County	California	United States of America	us	Salton City, Imperial County, California, United States of America	-116.0040700	33.2359640	-115.9048660	33.3574260	Q426341	en:Salton City, California	
Bombay Beach		way	33178129	boundary	administrative	-115.7297498	33.3561235	30	0.330254810345433			Imperial County	California	United States of America	us	Bombay Beach, Imperial County, California, United States of America	-115.7468271	33.3470290	-115.7188660	33.3652269	Q2395774	en:Bombay Beach, California	
