TXT,PHRASE,TXT_LOC,ID
EUSTON,EUSTON ROAD,"1","3"
ROAD,EUSTON ROAD,"2","4"
BELGROVE,BELGROVE STREET,"1","5"
STREET,BELGROVE STREET,"2","6"
ARGYLE,ARGYLE STREET,"1","7"
STREET,ARGYLE STREET,"2","8"
ARGYLE,ARGYLE SQUARE,"2","9"
SQUARE,ARGYLE SQUARE,"2","10"
ARGYLE,ARGYLE SQUARE,"1","11"
SQUARE,ARGYLE SQUARE,"2","12"
BIDBOROUGH,BIDBOROUGH STREET,"1","13"
STREET,BIDBOROUGH STREET,"2","14"
Town,Town Hall,"1","15"
Hall,Town Hall,"2","16"
TONBRIDGE,TONBRIDGE STREET,"1","17"
STREET,TONBRIDGE STREET,"2","18"
Telephone,Telephone Exchange,"1","19"
Exchange,Telephone Exchange,"2","20"
Belgrove,Belgrove House,"1","21"
House,Belgrove House,"2","22"
WHIDBORNE,WHIDBORNE STREET,"1","23"
STREET,WHIDBORNE STREET,"2","24"
MIDLAND,MIDLAND ROAD,"1","25"
ROAD,MIDLAND ROAD,"2","26"
St,St Pancras Station,"1","27"
Pancras,St Pancras Station,"2","28"
Station,St Pancras Station,"2","29"
PANCRAS,PANCRAS ROAD,"1","30"
ROAD,PANCRAS ROAD,"2","31"
King's,King's Cross Station,"1","32"
Cross,King's Cross Station,"2","33"
Station,King's Cross Station,"3","34"
GRAY'S,GRAY'S INN ROAD,"1","35"
INN,GRAY'S INN ROAD,"2","36"
ROAD,GRAY'S INN ROAD,"3","37"
CRESTFIELD,CRESTFIELD STREET,"1","38"
STREET,CRESTFIELD STREET,"2","39"
BIRKENHEAD,BIRKENHEAD STREET,"1","40"
STREET,BIRKENHEAD STREET,"2","41"
Methodist,Methodist Church,"1","42"
Church,Medthodist Church,"2","43"
Bank,Bank,"1","44"
King's,King's Cross and St Pancras Station,"1","45"
Cross,King's Cross and St Pancras Station,"2","46"
and,King's Cross and St Pancras Station,"3","47"
St,King's Cross and St Pancras Station,"4","48"
Pancras,Kings Cross and St Pancras Station,"5","49"
Station,King's Cross and St Pancras Station,"6","50"
KING'S,KING'S CROSS,"1","51"
CROSS,KING'S CROSS,"2","52"
Great,Great Northern Hotel,"1","53"
Northern,Great Northern Hotel,"2","54"
Hotel,Great Northern Hotel,"3","55"
Subway,Subway,"1","56"
Subway,Subway,"1","57"
Goods,Goods Shed,"1","58"
Shed,Goods Shed,"2","59"
St,St Pancras Chambers,"1","60"
Pancras,St Pancras Chambers,"2","61"
Chambers,St Pancras Chambers,"3","62"
Clifton,Clifton House,"1","63"
House,Clifton House,"2","64"
Confectionery,Confectionery Works,"1","65"
Works,Confectionery Works,"2","66"
HASTINGS,HASTINGS STREET,"1","67"
STREET,HASTINGS STREET,"2","68"
Hamilton,Hamilton House,"1","69"
House,Hamilton House,"2","70"
JUDD,JUDD STREET,"1","71"
STREET,JUDD STREET,"2","72"
THANET,THANET STREET,"1","73"
STREET,THANET STREET,"2","74"
Sinclar,Sinclair House,"1","75"
House,Sinclair House,"2","76"
Jessel,Jessel House,"1","77"
House,Jessel House,"2","78"
SPEEDY,SPEEDY PLACE,"1","79"
PLACE,SPEEDY PLACE,"2","80"
Thanet,Thanet House,"1","81"
House,Thanet House,"2","82"
Tonbridge,Tonbridge Club,"1","83"
Club,Tonbridge Club,"2","84"
CARTWRIGHT,CARTWRIGHT GARDENS,"1","85"
GARDENS,CARTWRIGHT GARDENS,"2","86"
Canterbury,Canterbury Hall (University of Londong),"1","87"
Hall,Canterbury Hall (University of Londong),"2","88"
(University,Canterbury Hall (University of Londong),"3","89"
of,Canterbury Hall (University of Londong),"4","90"
London),Canterbury Hall (University of Londong),"5","91"
Rashleigh,Rashleigh House,"1","92"
House,Rashleigh House,"2","93"
Thanet,Thanet Street Hall,"1","94"
Street,Thanet Street Hall,"2","95"
Hall,Thanet Street Hall,"3","96"
SANDWICH,SANDWICH STREET,"1","97"
STREET,SANDWICH STREET,"2","98"
