ID,TXT,PHRASE,TXT_LOC
"1",EASTAN,EASTMAN DENTAL HOSPITAL,"1"
"2",EASTMAN,EASTMAN DENTAL HOSPITAL,"2"
"3",HOSPITAL,EASTMAN DENTAL HOSPITAL,"3"
"4",ST,ST ANDREWS GARDENS,"1"
"5",ANDREWS,ST ANDREWS GARDENS,"2"
"6",GARDENS,ST ANDREWS GARDENS,"3"
"7",LANGTON,LANGTON CLOSE,"1"
"8",CLOSE,LANGTON CLOSE,"2"
"9",PAKENHAM,PAKENHAM STREET,"1"
"10",STREET,PAKENHAM STREET,"2"
"11",Trinity,Trinity Court,"1"
"12",Court,Trinity Court,"2"
"13",El,El Sub Sta,"1"
"14",Sub,El Sub Sta,"2"
"15",Sta,El Sub Sta,"3"
"16",Warehouse,Warehouse,"1"
"17",Nurses,Nurses Home,"1"
"18",Home,Nurses Home,"2"
"19",WREN,WREN STREET,"1"
"20",STREET,WREN STREET,"2"
"21",CALTHORPE,CALTHORPE ST,"1"
"22",ST,CALTHORPE ST,"2"
"23",PHOENIX,PHOENIX PLACE,"1"
"24",PLACE,PHOENIX PLACE,"2"
"25",Printing,Printing Works,"1"
"26",Works,Printing Works,"2"
"27",Garage,Garage,"1"
"28",Garage,Garage,"1"
"29",Garage,Garage,"1"
"30",Joinery,Joinery Works1,
"31",Works,Joinery Works,"2"
"32",GOUGH,GOUGH STREET,"1"
"33",STREET,GOUGH STREET,"2"
"34",COLEY,COLEY STREET,"1"
"35",STREET,COLEY STREET,"2"
"36",GRAY'S,GRAY'S IN ROAD,"1"
"37",INN,GRAY'S INN ROAD,"2"
"38",ROAD,GRAY'S INN ROAD,"3"
"39",DOUGHTY,DOUGHTY STREET,"1"
"40",STREET,DOUGHT STREET,"2"
"41",BROWNLOW,BROWNLOW MEWS,"1"
"42",MEWS,BROWNLOW MEWS,"2"
"43",MILLMAN,MILLMAN STREET,"1"
"44",STREET,MILLMAN STREET,"2"
"45",LONG,LONG YARD,"1"
"46",YARD,LONG YARD,"2"
"47",DOUGHTY,DOUGHTY MEWS,"1"
"48",MEWS,DOUGHTY MEWS,"2"
"48",LAMB'S,LAMB'S CONDUIT ST,"1"
"50",CONDUIT,LAMB'S CONDUIT ST,"1"
"51",ST,LAMB'S CONDUIT ST,"3"
"52",GREAT,GREAT ORMOND STREET,"1"
"53",ORMOND,GREAT ORMOND STREET,"2"
"54",STREET,GREAT ORMOND STREET,"3"
"55",RUGBY,RUGBY STREET,"1"
"56",STREET,RUGBY STREET,"2"
"57",JOHN'S,JOHN'S MEWS,"1"
"58",MEWS,JOHN'S MEWS,"2"
"59",GREAT,GREAT JAMES ST,"1"
"60",JAMES,GREAT JAMES ST,"2"
"61",ST,GREAT JAMES ST,"3"
"62",NORTHINGTON,NORTHINGTON STREET,"1"
"63",STREET,NORTHINGTON STREET,"2"
