id,txt,phrase,txt_loc
"1",Allotment,Allotment Gardens,"1"
"2",Gardens,Allotment Gardens,"2"
"3",Drain,Drain,"1"
"4",Tonbridge,Tonbridge County Secondary School for Boys,"1"
"5",County,Tonbridge County Secondary School for Boys,"2"
"6",Secondary,Tonbridge County Secondary School for Boys,"3"
"7",School,Tonbridge County Secondary School for Boys,"4"
"8",for,Tonbridge County Secondary School for Boys,"5"
"9",Boys,Tonbridge County Secondary School for Boys,"6"
"10",Playing,Playing Field,"1"
"11",Field,Playing Field,"2"
"12",Tonbridge,Tonbridge Sussex Road County Primary School,"1"
"13",Sussex,Tonbridge Sussex Road County Primary School,"2"
"14",Road,Tonbridge Sussex Road County Primary School,"3"
"15",County,Tonbridge Sussex Road County Primary School,"4"
"16",Primary,Tonbridge Sussex Road County Primary School,"5"
"17",School,Tonbridge Sussex Road County Primary School,"6"
"18",Drain,Drain,"1"
"19",Works,Works,"1"
"20",SUSSEX,SUSSEX ROAD,"1"
"21",ROAD,SUSSEX ROAD,"2"
"22",DOUGLAS,DOUGLAS ROAD,"1"
"23",ROAD,DOUGLAS ROAD,"2"
"24",CHICHESTER,CHICHESTER ROAD,"1"
"25",ROAD,CHICHESTER ROAD,"2"
"26",MEADOW,MEADOW LAWN,"1"
"27",LAWN,MEADOW LAWN,"2"
"28",MABLEDON,MABELDON ROAD,"1"
"29",ROAD,MABELDON ROAD,"2"
"30",LIONEL,LIONEL ROAD,"1"
"31",ROAD,LIONEL ROAD,"2"
"32",Tonbridge,Tonbridge Evangelical Free Church,"1"
"33",Evangelical,Tonbridge Evangelical Free Church,"2"
"34",Free,Tonbridge Evangelical Free Church,"3"
"35",Church,Tonbridge Evangelical Free Church,"4"
"36",LAWN,LAWN ROAD,"1"
"37",ROAD,LAWN ROAD,"2"
"38",Depository,Depository,"1"
"39",WINCLIFF,WINCLIFF ROAD,"1"
"40",ROAD,WINCLIFF ROAD,"2"
"41",Garage,Garage,"1"
"42",SKINNER'S,SKINNER'S TERRACE,"1"
"43",TERRACE,SKINNER'S TERRACE,"2"
"44",Speedway,Speedway House (Garage),"1"
"45",House,Speedway House (Garage),"2"
"46",(Garage),Speedway House (Garage),"3"
"47",Quarry,Quarry Hill Parade,"1"
"48",Hill,Quarry Hill Parade,"2"
"49",Parade,Quarry Hill Parade,"3"
"50",Tonbridge,Tonbridge London,"1"
"51",London,Tonbridge London,"2"
"52",ALEXANDRA,ALEXANDRA ROAD,"1"
"53",ROAD,ALEXANDRA ROAD,"2"
"54",BICKLEY,BICKLEY ROAD,"1"
"55",ROAD,BICKLEY ROAD,"2"
"56",ST,ST STEPHEN'S STREET,"1"
"57",STEPHEN'S,ST STEPHEN'S STREET,"2"
"58",STREET,ST STEPHEN'S STREET,"3"
"59",Factory,Factory,"1"
"60",PRIORY,PRIORY WALK (FP),"1"
"61",WALK,PRIORY WALK (FP),"2"
"62",(FP),PRIORY WALK (FP),"3"
"63",Police,Police Station & Magistrate's Court,"1"
"64",Station,Police Station & Magistrate's Court,"2"
"65",&,Police Station & Magistrate's Court,"3"
"66",Magistrates',Police Station & Magistrates' Court,"4"
"67",Court,Police Station & Magistrates' Court,"5"
"68",Almshouses,Almshouses,"1"
"69",Tonbridge,Tonbridge St Stephens County Junior School,"1"
"70",St,Tonbridge St Stephens County Junior School,"2"
"71",Stephens,Tonbridge St Stephens County Junior School,"3"
"72",County,Tonbridge St Stephens County Junior School,"4"
"73",Junior,Tonbridge St Stephens County Junior School,"5"
"74",School,Tonbridge St Stephens County Junior School,"6"
"75",Tonbridge,Tonbridge St Stephens County Junior Sch,"1"
"76",St,Tonbridge St Stephens County Junior Sch,"2"
"77",Stephens,Tonbridge St Stephens County Junior Sch,"3"
"78",County,Tonbridge St Stephens County Junior Sch,"4"
"79",Junior,Tonbridge St Stephens County Junior Sch,"5"
"80",Sch,Tonbridge St Stephens County Junior Sch,"6"
"81",Surgery,Surgery,"1"
"82",Works,Works,"1"
"83",Depository,Depository,"1"
"84",PRIORY,PRIORY GROVE,"1"
"85",GROVE,PRIORY GROVE,"2"
"86",PEMBURY,PEMBURY ROAD,"1"
"87",ROAD,PEMBURY ROAD,"2"
"88",PRIORY,PRIORY STREET,"1"
"89",STREET,PRIORY STREET,"2"
"90",THE,THE DRIVE,"1"
"91",DRIVE,THE DRIVE,"2"
