id,txt,phrase,txt_loc
"1",Beeches,Beeches Wood,"1"
"2",Wood,Beeches Wood,"2"
"3",Hazel,Hazel Shaw,"1"
"4",Shaw,Hazel Shaw,"2"
"5",Rook,Rook Wood,"1"
"6",Wood,Rook Wood,"2"
"7",Rookwood,Rookwood Cottage,"1"
"8",Cottage,Rookwood Cottage,"2"
"9",BP,BP,"1"
"10",3ft RH,3ft RH,"1"
"11",3ft RH,3ft RH,"1"
"12",3ft RH,3ft RH,"1"
"13",CS,CS,"1"
"14",FF,FF,"1"
"15",UD,UD Bdy,"1"
"16",Bdy,UD Bdy,"2"
"17",Copyhold,Copyhold Wood,"1"
"18",Wood,Copyhold Wood,"2"
"19",Quarry,Quarry Wood,"1"
"20",Wood,Quarry Wood,"2"
"21",CCS,CCS,"1"
"22",Und,Und,"1"
"23",Vauxhall,Vauxhall Lane,"1"
"24",Lane,Vauxhall Lane,"2"
"25",Castle,Castle Hill,"1"
"26",Hill,Castle Hill,"2"
"27",Castle,Castle Hill,"1"
"28",Hill,Castle Hill,"2"
"29",Brick,Brick Works,"1"
"30",Works,Brick Works,"2"
"31",May's,May's Wood,"1"
"32",Wood,May's Wood,"2"
"33",Bournemill,Bournemill Farm,"1"
"34",Farm,Bournemill Farm,"2"
"35",CS,CS,"1"
"36",Little,Little Rook Wood,"1"
"37",Rook,Little Rook Wood,"2"
"38",Wood,Little Rook Wood,"3"
"39",Streamlands,Streamlands,"1"
"40",UD Bdy,UD Bdy,"1"
"41",Und,Und,"1"
"42",Mabledon,Mabledon Farm,"1"
"43",Farm,Mabledon Farm,"2"
"44",Lambsbank,Lambsbank Wood,"1"
"45",Wood,Lambsbank Wood,"2"
"46",Queen,Queen Victoria Cottage Hospital,"1"
"47",Victoria,Queen Victoria Cottage Hospital,"2"
"48",Cottage,Queen Victoria Cottage Hospital,"3"
"49",Hospital,Queen Victoria Cottage Hospital,"4"
"50",Old,Old Furze Wood,"1"
"51",Furze,Old Furze Wood,"2"
"52",Wood,Old Furze Wood,"3"
"53",Southern,Southern Railway,"1"
"54",Railway,Southern Railway,"2"
"55",SP,SP,"1"
"56",MP,MP,"1"
"57",Vauxhall,Vauxhall Lane,"1"
"58",Lane,Vauxhall Lane,"2"
"59",Vauxhall,Vauxhall Inn,"1"
"60",Inn,Vauxhall Inn,"2"
"61",CCS,CCS,"1"
"62",CS,CS,"1"
"63",CCS,CCS,"1"
"64",UD Bdy,UD Bdy,"1"
"65",Tonbridge,Tonbridge,"1"
"66","2","2","1"
"67",Hastings,Hastings,"1"
"68","29","29","1"
"69",MS,MS,"1"
"70",Somerhill,Somerhill Park,"1"
"71",Park,Somerhill Park,"2"
"72",CS,CS,"1"
"73",Five,Five Oak Green Road,"1"
"74",Oak,Five Oak Green Road,"2"
"75",Green,Five Oak Green Road,"3"
"76",Road,Five Oak Green Road,"4"
"77",Priory,Priory Mill,"1"
"78",Mill,Priory Mill,"2"
"79",Corn,Corn,"1"
"80",Lodge,Lodge Oak,"1"
"81",Oak,Lodge Oak,"2"
"82",Lodge,Lodge Oak Lane,"1"
"83",Oak,Lodge Oak Lane,"2"
"84",Lane,Lodge Oak Lane,"3"
"85",Tudeley,Tudeley Lane,"1"
"86",Lane,Tudeley Lane,"2"
"87",Little,Little Oak Lodge,"1"
"88",Oak,Little Oak Lodge,"2"
"89",Lodge,Little Oak Lodge,"3"
"90",High,High Bank,"1"
"91",Bank,High Bank,"2"
"92",Goldsmid,Goldsmid Road,"1"
"93",Road,Goldsmid Road,"2"
"94",Pembury,Pembury Road,"1"
"95",Road,Pembury Road,"2"
"96",GP,GP,"1"
"97",Priory,Priory Wood,"1"
"98",Wood,Priory Wood,"2"
"99",PH,PH,"1"
"100",PO,PO,"1"
"101",Drayton,Drayton Road,"1"
"102",Road,Drayton Road,"2"
"103",Bloodshots,Bloodshots Cottage,"1"
"104",Cottage,Bloodshots Cottage,"2"
"105",Secondary,Secondary School,"1"
"106",School,Secondary School,"2"
"107",Girls,Girls,"1"
"108",Quarry,Quarry Hill Laundry,"1"
"109",Hill,Quarry Hill Laundry,"2"
"110",Laundry,Quarry Hill Laundry,"3"
"111",Quarry,Quarry Hill,"1"
"112",Hill,Quarry Hill,"2"
"113",Brick,Brick Works,"1"
"114",Works,Brick Works,"2"
"115",Lamb's,Lamb's Bank Cottages,"1"
"116",Bank,Lamb's Bank Cottages,"2"
"117",Cottages,Lamb's Bank Cottages,"3"
"118",Reservoir,Reservoir,"1"
"119",Tonbridge,Tonbridge Water Works Co,"1"
"120",Water,Tonbridge Water Works Co,"2"
"121",Works,Tonbridge Water Works Co,"3"
"122",Co,Tonbridge Water Works Co,"4"
"123",Woodlands,Woodlands Road,"1"
"124",Road,Woodlands Road,"2"
"125",Clinic,Clinic,"1"
"126",Quarry,Quarry Hill House,"1"
"127",Hill,Quarry Hill House,"2"
"128",House,Quarry Hill House,"3"
"129",Baltic,Baltic Road,"1"
"130",Road,Baltic Road,"2"
"131",Castle,Castle Laundry,"1"
"132",Laundry,Castle Laundry,"2"
"133",Quarry,Quarry Hill Road,"1"
"134",Hill,Quarry Hill Road,"2"
"135",Road,Quarry Hill Road,"3"
"136",Quarry,Quarry Rise,"1"
"137",Rise,Quarry Rise,"2"
"138",Woodside,Woodside Road,"1"
