id,TXT,phrase,txt_loc
"1",LOS,LOS ANGELES,"1"
"2",ANGELES,LOS ANGELES,"2"
"3",Inglewood,Inglewood Park Cem,"1"
"4",Park,Inglewood Park Cem,"2"
"5",Cem,Inglewood Park Cem,"3"
"6",Inglewood,Inglewood,"1"
"7",Lennox,Lennox,"1"
"8",SAN,SAN PEDRO NW BASE USC & GS,"1"
"9",PEDRO,SAN PEDRO NW BASE USC & GS,"2"
"10",NW,SAN PEDRO NW BASE USC & GS,"3"
"11",BASE,SAN PEDRO NW BASE USC & GS,"4"
"12",USC,SAN PEDRO NW BASE USC & GS,"5"
"13",&,SAN PEDRO NW BASE USC & GS,"6"
"14",GS,SAN PEDRO NW BASE USC & GS,"7"
"15",Aero,Aero Corp of Calif Field,"1"
"16",Corp,Aero Corp of Calif Field,"2"
"17",of,Aero Corp of Calif Field,"3"
"18",Calif,Aero Corp of Calif Field,"4"
"19",Field,Aero Corp of Calif Field,"5"
"20",SOUTH,SOUTH WESTERN LAC & C,"1"
"21",WESTERN,SOUTH WESTERN LAC & C,"2"
"22",LAC,SOUTH WESTERN LAC & C,"3"
"23",&,SOUTH WESTERN LAC & C,"4"
"24",C,SOUTH WESTERN LAC & C,"5"
"25",Athens,Athens,"1"
"26",Central,Central Airport,"1"
"27",Airport,Central Airport,"2"
"28",OIL,OIL TANKS,"1"
"29",TANKS,OIL TANKS,"2"
"30",Willowbrook,Willowbrook,"1"
"31",Kellys,Kellys Airport,"1"
"32",Airport,Kellys Airport,"2"
"33",Hawthorne,Hawthorne,"1"
"34",Lawndale,Lawndale,"1"
"35",Dycer,Dycer Airport,"1"
"36",Airport,Dycer Airport,"2"
"37",Strawberry,Strawberry Park,"1"
"38",Park,Strawberry Park,"2"
"39",Gardena,Gardena,"1"
"40",Compton,Compton Airport,"1"
"41",Airport,Compton Airport,"2"
"42",Dominguez,Dominguez Memorial Seminary,"1"
"43",Memorial,Dominguez Memorial Seminary,"2"
"44",Seminary,Dominguez Memorial Seminary,"3"
"45",Dominguez,Dominguez Junction,"1"
"46",Junction,Dominguez Junction,"2"
"47",North,North Long Beach,"1"
"48",Long,North Long Beach,"2"
"49",Beach,North Long Beach,"3"
"50",Dominguez,Dominguez,"1"
"51",Bixby,Bixby,"1"
"52",Boulon,Boulon Lake,"1"
"53",Lake,Boulon Lake,"2"
"54",Lakewood,Lakewood Village,"1"
"55",Village,Lakewood Village,"2"
"56",Santa,Santa Monica,"1"
"57",Monica,Santa Monica,"2"
"58",OCEAN,OCEAN PARK PIER,"1"
"59",PARK,OCEAN PARK PIER,"2"
"60",PIER,OCEAN PARK PIER,"3"
"61",VENICE,VENICE PIER,"1"
"62",PIER,VENICE PIER,"2"
"63",Venice,Venice,"1"
"64",CULVER,CULVER BLVD,"1"
"65",BLVD,CULVER BLVD,"2"
"66",OIL,OIL FIELD,"1"
"67",FIELD,OIL FIELD,"2"
"68",Ballona,Ballona Lagoon,"1"
"69",Lagoon,Ballona Lagoon,"2"
"70",DEL,DEL REY AUXILLIARY LAC & C,"1"
"71",REY,DEL REY AUXILLIARY LAC & C,"2"
"72",AUXILLIARY,DEL REY AUXILLIARY LAC & C,"3"
"73",LAC,DEL REY AUXILLIARY LAC & C,"4"
"74",&,DEL REY AUXILLIARY LAC & C,"5"
"75",C,DEL REY AUXILLIARY LAC & C,"6"
"76",LOYOLA,LOYOLA UNIVERSITY,"1"
"77",UNIVERSITY,LOYOLA UNIVERSITY,"2"
"78",Hughes,Hughes Airport,"1"
"79",Airport,Hughes Airport,"2"
"80",Centinela,Centinela Creek,"1"
"81",Creek,Centinela Creek,"2"
"82",Ballona,Ballona Creek,"1"
"83",Creek,Ballona Creek,"2"
"84",Culver,Culver City Airport,"1"
"85",City,Culver City Airport,"2"
"86",Airport,Culver City Airport,"3"
"87",Baldwin,Baldwin Hills,"1"
"88",Hills,Baldwin Hills,"2"
"89",Huntington,Huntington Park,"1"
"90",Park,Huntington Park,"2"
"91",South,South Gate,"1"
"92",Gate,South Gate,"2"
"93",Bell,Bell,"1"
"94",Fruitland,Fruitland,"1"
"95",Obed,Obed Bell Sta,"1"
"96",Bell,Obed Bell Sta,"2"
"97",Sta,Obed Bell Sta,"3"
"98",Monte,Monte Bello,"1"
"99",Bello,Monte Bello,"2"
"100",Laguna,Laguna,"1"
"101",Rivera,Rivera,"1"
"102",Los,Los Nietos,"1"
"103",Nietos,Los Nietos,"2"
"104",Fulton,Fulton Wells,"1"
"105",Wells,Fulton Wells,"2"
"106",Santa,Santa Fe Springs Sta,"1"
"107",Fe,Santa Fe Springs Sta,"2"
"108",Springs,Santa Fe Springs Sta,"3"
"109",Sta,Santa Fe Springs Sta,"4"
"110",Santa,Santa Fe Springs,"1"
"111",Fe,Santa Fe Springs,"2"
"112",Springs,Santa Fe Springs,"3"
"113",La,La Mirada,"1"
"114",Mirada,La Mirada,"2"
"115",Carmenita,Carmenita,"1"
"116",Norwalk,Norwalk,"1"
"117",Studebaker,Studebaker,"1"
"118",LOS,LOS ANGELES NW BASE 128 USC & GS,"1"
