id,txt,phrase,txt_loc
"1",Rock,Rock Creek,"1"
"2",Creek,Rock Creek,"2"
"3",North,North Fork Willow Creek,"1"
"4",Fork,North Fork Willow Creek,"2"
"5",Willow,North Fork Willow Creek,"3"
"6",Creek,North Fork Willow Creek,"4"
"7",Steele,Steele Meadow,"1"
"8",Meadow,Steele Meadow,"2"
"9",Weed,Weed Valley,"1"
"10",Valley,Weed Valley,"2"
"11",South,South Fork Willow Creek,"1"
"12",Fork,South Fork Willow Creek,"2"
"13",Willow,South Fork Willow Creek,"3"
"14",Creek,South Fork Willow Creek,"4"
"15",Henry,Henry Valley,"1"
"16",Valley,Henry Valley,"2"
"17",Fletcher,Fletcher Creek,"1"
"18",Creek,Fletcher Creek,"2"
"19",GOOSE,GOOSE LAKE,"1"
"20",LAKE,GOOSE LAKE,"2"
"21",Pot,Pot Hole Meadow,"1"
"22",Hole,Pot Hole Meadow,"2"
"23",Meadow,Pot Hole Meadow,"3"
"24",Pot,Pot Hole Spring,"1"
"25",Hole,Pot Hole Spring,"2"
"26",Spring,Pot Hole Spring,"3"
"27",Blue,Blue Mt,"1"
"28",Mt,Blue Mt,"2"
"29",Willow,Willow Creek Meadow,"1"
"30",Creek,Willow Creek Meadow,"2"
"31",Meadow,Willow Creek Meadow,"3"
"32",South,South Fork Willow Creek,"1"
"33",Fork,South Fork Willow Creek,"2"
"34",Willow,South Fork Willow Creek,"3"
"35",Creek,South Fork Willow Creek,"4"
"36",Beaver,Beaver Creek,"1"
"37",Creek,Beaver Creek,"2"
"38",Bottle,Bottle Creek,"1"
"39",Creek,Bottle Creek,"2"
"40",Timbered,Timbered Mt,"1"
"41",Mt,Timbered Mt,"2"
"42",Ingalls,Ingalls Valley,"1"
"43",Valley,Ingalls Valley,"2"
"44",Old,Old Indian Villages,"1"
"45",Indian,Old Indian Villages,"2"
"46",Villages,Old Indian Villages,"3"
"47",Boles,Boles Meadow,"1"
"48",Meadow,Boles Meadow,"2"
"49",Fairchild,Fairchild Meadow,"1"
"50",Meadow,Fairchild Meadow,"2"
"51",Antelope,Antelope Plains,"1"
"52",Plains,Antelope Plains,"2"
"53",Cottonwood,Cottonwood Creek,"1"
"54",Creek,Cottonwood Creek,"2"
"55",Myrtle,Myrtle Creek,"1"
"56",Creek,Myrtle Creek,"2"
"57",Bidwell,Bidwell Peak,"1"
"58",Peak,Bidwell Peak,"2"
"59",Eight,Eight Mile Creek,"1"
"60",Mile,Eight Mile Creek,"2"
"61",Creek,Eight Mile Creek,"3"
"62",Twelve,Twelve Mile Creek,"1"
"63",Mile,Twelve Mile Creek,"2"
"64",Creek,Twelve Mile Creek,"3"
"65",Lake,Lake Annie,"1"
"66",Annie,Lake Annie,"2"
"67",Cow,Cow Head Lake,"1"
"68",Head,Cow Head Lake,"2"
"69",Lake,Cow Head Lake,"3"
"70",Fort,Fort Bidwell,"1"
"71",Bidwell,Fort Bidwell,"2"
"72",Fandango,Fandango Peak,"1"
"73",Peak,Fandango Peak,"2"
"74",Fandango,Fandango Creek,"1"
"75",Creek,Fandango Creek,"2"
"76",Lassen,Lassen Creek,"1"
"77",Creek,Lassen Creek,"2"
"78",Sugar,Sugar Hill,"1"
"79",Hill,Sugar Hill,"2"
"80",Davis,Davis Creek,"1"
"81",Creek,Davis Creek,"2"
"82",Davis,Davis Creek,"1"
"83",Creek,Davis Creek,"2"
"84",Swedrengen,Swedrengen Creek,"1"
"85",Creek,Swedrengen Creek,"2"
"86",Joseph,Jospeh Creek,"1"
"87",Creek,Jospeh Creek,"2"
"88",North,North Fork Pit River,"1"
"89",Fork,North Fork Pit River,"2"
"90",Pit,North Fork Pit River,"3"
"91",River,North Fork Pit River,"4"
"92",Tom,Tom Creek,"1"
"93",Creek,Tom Creek,"2"
"94",Cedar,Cedar Peak,"1"
"95",Peak,Cedar Peak,"2"
"96",Boyd,Boyd Hot Spring,"1"
"97",Hot,Boyd Hot Spring,"2"
"98",Spring,Boyd Hot Spring,"3"
"99",CALIFORNIA,CALIFORNIA,"1"
