id,txt,phrase,txt_loc
"0",,,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"6",9∙563,9∙563,
"7",35∙922,35∙922,
"8",16∙740,16∙740,
"9",,,
"10",4∙281,4∙281,
"11",,,
"12",3∙237,3∙237,
"13",,,
"14",3∙586,3∙586,
"15",,,
"16",6∙122,6∙122,
"17",15∙659,15∙659,
"18",,,
"19",,,
"20",,,
"21",,,
"22",,,
"23",2∙023,2∙023,
"24",,,
"25",8∙743,8∙743,
"26",,,
"27",5∙159,5∙159,
"28",12∙162,12∙162,
"29",,,
"30",10∙762,10∙762,
"31",,,
"32",,,
"33",,,
"34",4∙321,4∙321,
"35",,,
"36",2∙920,2∙920,
"37",,,
"38",8∙616,8∙616,
"39",13∙602,13∙602,
"40",30∙768,30∙768,
"41",F.P.,F.P.,
"42",B.M.107∙0,B.M.107∙0,
"43",,,
"44",2∙850,2∙850,
"45",P,P,
"46",P,P,
"47",,,
"48",C.S.,C.S.,
"49",,,
"50",,,
"51",,,
"52",2∙666,2∙666,
"53",,,
"54",,,
"55",,,
"56",,,
"57",5∙806,5∙806,
"58",P,P,
"59",,,
"60",,,
"61",,,
"62",G.P,G.P,
"63",,,
"64",1∙323,1∙323,
"65",,,
"66",,,
"67",,,
"68",,,
"69",,,
"70",4∙463,4∙463,
"71",,,
"72",,,
"73",B.M.,B.M.,
"74",146∙5,146∙5,
"75",P,P,
"76",,,
"77",11∙635,11∙635,
"78",,,
"79",7∙380,7∙380,
"80",28∙408,28∙408,
"81",S.P,S.P,
"82",S.B,S.B,
"83",,,
"84",1∙455,1∙455,
"85",,,
"86",13∙701,13∙701,
"87",F.B.,F.B.,
"88",,,
"89",2∙466,2∙466,
"90",F.P.,F.P.,
"91",2∙095,2∙095,
"92",,,
"93",5∙679,5∙679,
"94",,,
"95",9∙213,9∙213,
"96",,,
"97",2∙522,2∙522,
"98",,,
"99",4∙107,4∙107,
"100",,,
"101",2∙149,2∙149,
"102",M.P,M.P,
"103",5∙656,5∙656,
"104",,,
"105",,,
"106",,,
"107",3∙213,3∙213,
"108",15∙471,15∙471,
"109",,,
"110",,,
"111",,,
"112",4∙803,4∙803,
"113",F.P.,F.P.,
"114",,,
"115",24∙116,24∙116,
"116",,,
"117",9∙863,9∙863,
"118",25∙781,25∙781,
"119",,,
"120",2∙044,2∙044,
"121",,,
"122",1∙318,1∙318,
"123",,,
"124",4∙036,4∙036,
"125",,,
"126",1∙876,1∙876,
"127",,,
"128",8∙011,8∙011,
"129",,,
"130",5∙254,5∙254,
"131",,,
"132",,,
"133",4∙680,4∙680,
"134",,,
"135",7∙215,7∙215,
"136",,,
"137",17∙653,17∙653,
"138",,,
"139",,,
"140",,,
"141",5∙289,5∙289,
"142",,,
"143",6∙558,6∙558,
"144",,,
"145",11∙296,11∙296,
"146",,,
