id,txt,phrase,txt_loc
"23",(KANE,(KANE SPRING),"1"
"24",SPRING),(KANE SPRING),"2"
"25",115��45',115��45',
"26",33��00',33��00',
"27",T. 13 S.,T. 13 S.,
"28","36",3651000m.N.,"1"
"29",51000m.N.,3651000m.N.,"2"
"30","6",618000m.E.,"1"
"31",18000m.E.,618000m.E.,"2"
"32",R 12 E.,R 12 E.,
"33",,,
"34",,,
"35",,,
"36",,,
"37",,,
"38",,,
"39",SEA,SEA LEVEL,"1"
"40",LEVEL,SEA LEVEL,"2"
"41",,,
"42",,,
"43",,,
"44",,,
"45",T 13 S,T 13 S,
"46",,,
"47",,,
"48",,,
"49",,,
"50",,,
"51",40',40',
"52",WESTMORLAND 5 MI.,WESTMORLAND 5 MI.,
"53",2.8 MI. TO U.S. 99,2.8 MI. TO U.S. 99,
"54",,,
"55",,,
"56",,,
"57",,,
"58",,,
"59",,,
"60",,,
"61",(CALIPATRIA),(CALIPATRIA),
"62",,,
"63",R. 13 E.,R. 13 E.,
"64",,,
"65",STATE,STATE OF CALIFORNIA,"1"
"66",OF,STATE OF CALIFORNIA,"2"
"67",CALIFORNIA,STATE OF CALIFORNIA,"3"
"68",DEPARTMENT,DEPARTMENT OF WATER RESOURCES,"4"
"69",OF,DEPARTMENT OF WATER RESOURCES,"5"
"70",WATER,DEPARTMENT OF WATER RESOURCES,"6"
"71",RESOURCES,DEPARTMENT OF WATER RESOURCES,"7"
"72",,,
"73",,,
"74",,,
"75",INDIO 66 MI.,INDIO 66 MI.,
"76",WESTMORLAND 3 MI.,WESTMORLAND 3 MI.,
"77",35',35',
"78",,,
"79",,,
"80",,,
"81",,,
"82",,,
"83",,,
"84",,,
"85",2 220 000 FEET,2 220 000 FEET,
"86",R. 14. E.,R. 14. E.,
"87",CALIPATRIA,CALIPATRIA 9.3 MI.,"1"
"88",9.3 MI.,CALIPATRIA 9.3 MI.,"2"
"89",,,
"90",,,
"91",,,
"92",,,
"93",,,
"94",,,
"95",115��30',115��30',
"96",33��00',33��00',
"97",300 000,300 000 FEET,"1"
"98",FEET,300 000 FEET,"2"
"99",T. 13 S.,T. 13 S.,
"100",(IRIS),(IRIS),
"101",,,
"102",,,
"103",,,
"104",,,
"105",,,
"106",,,
"107",,,
"108",,,
"109",,,
"110",,,
"111",,,
"112",,,
"113",,,
"114",,,
"115",,,
"116",,,
"117",,,
"118",,,
"119",T 14 S,T 14 S,
"120",,,
"121",,,
"122",,,
"123",,,
"124",T 13 S,T 13 S,
"125",T 14 S,T 14 S,
"126",,,
"127",,,
"128",,,
"129",,,
"130",,,
"131",,,
"132",,,
"133",,,
"134",,,
"135",,,
"136",,,
"137",,,
"138",,,
"139",,,
"140",,,
"141",,,
"142",,,
"143",,,
"144",,,
"145",,,
"146",Grain,Grain,
"147",,,
"148",,,
"149",,,
"150",,,
"151",,,
"152",,,
"153",,,
"154",,,
"155",,,
"156",,,
"157",,,
"158",,,
"159",,,
"160",,,
"161",,,
"162",,,
"163",,,
"164",,,
"165",,,
"166",,,
"167",,,
"168",,,
"169",,,
"170",ALAMORIO 2.7 MI.,ALAMORIO 2.7 MI.,
"171",T. 14 S.,T. 14 S.,
"172",,,
"173",,,
"174",,,
"175",,,
"176",,,
"177",,,
"178",,,
"179",,,
"180",,,
"181",,,
"182",,,
"183",,,
"184",,,
"185",,,
"186",,,
"187",SEA,SEA LEVEL,"1"
"188",LEVEL,SEA LEVEL,"2"
"189",,,
"190",,,
"191",,,
"192",,,
"193",,,
"194",,,
"195",,,
"196",,,
"197",,,
"198",,,
"199",,,
"200",,,
"201",,,
"202",,,
"203",,,
"204",,,
"205",,,
"206",,,
"207",,,
"208",,,
"209",,,
"210",,,
"211",,,
"212",,,
"213",,,
"214",,,
"215",,,
"216",,,
"217",,,
"218",,,
"219",,,
"220",,,
"221",,,
"222",,,
"223",,,
"224",,,
"225",,,
"226",,,
"227",,,
"228",,,
"229",,,
"230",,,
"231",,,
"232",,,
"233",,,
"234",,,
"235",,,
"236",,,
"237",,,
"238",,,
"239",,,
"240",,,
"241",,,
"242",,,
"243",,,
"244",,,
"245",4 LANE,4 LANE,
"246",,,
"247",,,
"248",,,
"249",,,
"250",,,
"251",,,
"252",T. 14 S.,T. 14 S.,
"253",55',55',
"254",,,
"255",,,
"256",,,
"257",,,
"258",,,
"259",,,
"260",,,
"261",,,
"262",,,
"263",,,
"264",,,
"265",,,
"266",,,
"267",,,
"268",,,
"269",,,
"270",,,
"271",,,
"272",,,
"273",,,
"274",,,
"275",SEA,SEA LEVEL,"1"
"276",LEVEL,SEA LEVEL,"2"
"277",,,
"278",T 14 S,T 14 S,
"279",,,
"280",,,
"281",,,
"282",,,
"283",,,
"284",,,
"285",,,
"286",,,
"287",,,
"288",,,
"289",,,
"290",,,
"291",,,
"292",,,
"293",,,
"294",,,
"295",,,
"296",,,
"297",,,
"298",,,
"299",,,
"300",,,
"301",,,
"302",,,
"303",,,
"304",,,
"305",,,
"306",,,
"307",,,
"308",,,
"309",,,
"310",,,
"311",,,
"312",,,
"313",,,
"314",,,
"315",,,
"316",,,
"317",,,
"318",,,
"319",,,
"320",55',55',
"321",,,
"322",,,
"323",,,
"324",58 MI. TO CALIF. 115,58 MI. TO CALIF. 115,
"325",(PLASTER CITY),(PLASTER CITY),
"326",,,
"327",,,
"328",,,
"329",,,
"330",,,
"331",,,
"332",,,
"333",,,
"334",,,
"335",,,
"336",,,
"337",,,
"338",,,
"339",,,
"340",SEA,SEA LEVEL,"1"
"341",LEVEL,SEA LEVEL,"2"
"342",,,
"343",,,
"344",,,
"345",T 15 S,T 15 S,
"346",,,
"347",,,
"348",,,
"349",,,
"350",,,
"351",,,
"352",,,
"353",,,
"354",,,
"355",,,
"356",T 14 S,T 14 S,
"357",T 15 S,T 15 S,
"358",,,
"359",,,
"360",,,
"361",,,
"362",,,
"363",,,
"364",,,
"365",,,
"366",,,
"367",,,
"368",,,
"369",,,
"370",,,
"371",,,
"372",,,
"373",,,
"374",,,
"375",,,
"376",,,
"377",,,
"378",,,
"379",,,
"380",,,
"381",,,
"382",,,
"383",4 LANE,4 LANE,
"384",BM,BM-65,"1"
"385","-65",BM-65,"2"
"386",,,
"387",,,
"388",,,
"389",,,
"390",,,
"391",ONE,ONE,
"392",,,
"393",,,
"394",,,
"395",,,
"396",,,
"397",,,
"398",,,
"399",,,
"400",,,
"401",T. 15 S.,T. 15 S.,
"402",,,
"403",,,
"404",,,
"405",,,
"406",,,
"407",,,
"408",,,
"409",,,
"410",,,
"411",,,
"412",,,
"413",,,
"414",Gaging,Gaging Sta,"1"
"415",Sta,Gaging Sta,"2"
"416",,,
"417",,,
"418",Gaging,Gaging Sta,"1"
"419",Sta,Gaging Sta,"2"
"420",,,
"421",,,
"422",,,
"423",,,
"424",,,
"425",,,
"426",,,
"427",,,
"428",,,
"429",,,
"430",,,
"431",,,
"432",,,
"433",,,
"434",,,
"435",,,
"0",,,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"6",,,
"7",,,
"8",,,
"9",,,
"10",,,
"11",,,
"12",,,
"13",,,
"14",,,
"15",,,
"16",,,
"17",,,
"18",,,
"19",,,
