id,txt,phrase,txt_loc
"0",RESTRICTED,RESTRICTED,
"1",116°00',116°00',
"2",35°00',35°00',
"3",,,
"4",N3400W11500/60,N3400W11500/60,
"5",,,
"6",,,
"7",,,
"8",,,
"9",,,
"10",,,
"11",,,
"12",,,
"13",,,
"14",,,
"15",40',40',
"16",TRAINING MAP,TRAINING MAP,
"17",(IVANPAH),(IVANPAH),
"18",,,
"19",,,
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",20',20',
"26",Advance edition,Advance edition,
"27",Subject to correction,Subject to correction,
"28",,,
"29",,,
"30",,,
"31",,,
"32",,,
"33",,,
"34",,,
"35",RESTRICTED,RESTRICTED,
"36",115°00',115°00',
"37",35°00',35°00',
"38",(CAMP MOHAVE),(CAMP MOHAVE),
"39",Kilometers,Kilometers,
"40",,,
"41",,,
"42",,,
"43",,,
"44",,,
"45",,,
"46",,,
"47",,,
"48",,,
"49",W,W,
"50",,,
"51",,,
"52",,,
"53",,,
"54",,,
"55",,,
"56",,,
"57",,,
"58",W,W,
"59",,,
"60",,,
"61",,,
"62",,,
"63",,,
"64",,,
"65",,,
"66",,,
"67",,,
"68",,,
"69",,,
"70",W,W,
"71",,,
"72",,,
"73",,,
"74",,,
"75",,,
"76",,,
"77",,,
"78",,,
"79",,,
"80",,,
"81",,,
"82",,,
"83",,,
"84",,,
"85",,,
"86",,,
"87",,,
"88",,,
"89",,,
"90",,,
"91",Miles,Miles,
"92",,,
"93",,,
"94",,,
"95",,,
"96",,,
"97",,,
"98",,,
"99",,,
"100",,,
"101",,,
"102",,,
"103",,,
"104",,,
"105",,,
"106",,,
"107",,,
"108",,,
"109",,,
"110",,,
"111",,,
"112",40',40',
"113",LUDLOW 12 MI.,LUDLOW 12 MI.,
"114",,,
"115",,,
"116",,,
"117",,,
"118",,,
"119",,,
"120",,,
"121",,,
"122",,,
"123",,,
"124",,,
"125",,,
"126",,,
"127",,,
"128",,,
"129",,,
"130",,,
"131",,,
"132",,,
"133",,,
"134",,,
"135",,,
"136",,,
"137",,,
"138",,,
"139",,,
"140",,,
"141",,,
"142",W,W,
"143",W,W,
"144",,,
"145",,,
"146",W,W,
"147",,,
"148",,,
"149",,,
"150",,,
"151",,,
"152",,,
"153",,,
"154",,,
"155",,,
"156",,,
"157",,,
"158",40',40',
"159",,,
"160",,,
"161",,,
"162",,,
"163",,,
"164",,,
"165",,,
"166",,,
"167",,,
"168",,,
"169",,,
"170",,,
"171",,,
"172",,,
"173",,,
"174",,,
"175",,,
"176",,,
"177",,,
"178",,,
"179",,,
"180",,,
"181",,,
"182",,,
"183",,,
"184",,,
"185",W,W,
"186",,,
"187",,,
"188",,,
"189",LANDING FIELDS IN DRY WEATHER,LANDING FIELDS IN DRY WEATHER,
"190",,,
"191",,,
"192",,,
"193",,,
"194",,,
"195",,,
"196",,,
"197",,,
