id,txt,phrase,txt_loc
"1",Gravel,Gravel Pit,"1"
"2",Pit,Gravel Pit,"2"
"3",THISTLE,THISTLE LATERAL,"1"
"4",LATERAL,THISTLE LATERAL,"2"
"5",THISTLE,THISTLE LATERAL,"1"
"6",LATERAL,THISTLE LATERAL,"2"
"7",THISTLE,THISTLE CANAL,"1"
"8",CANAL,THISTLE CANAL,"2"
"9",THISTLE,THISTLE DRAIN,"1"
"10",DRAIN,THISTLE DRAIN,"2"
"11",THISTLE,THISTLE LATERAL,"1"
"12",LATERAL,THISTLE LATERAL,"2"
"13",TOKAY,TOKAY DRAIN,"1"
"14",TOKAY,TOKAY CANAL,"1"
"15",CANAL,TOKAY CANAL,"2"
"16",Mound,Mound,"1"
"17",JEPP,JEPP TRAIL,"1"
"18",TRAIL,JEPP TRAIL,"2"
"19",THISTLE,THISTLE CANAL,"1"
"20",CANAL,THISTLE CANAL,"2"
"21",Tamarack,Tamarack Ranch,"1"
"22",Ranch,Tamarack Ranch,"2"
"23",NAVAL,NAVAL RES,"1"
"24",RES,NAVAL RES,"2"
"25",Lucky,Lucky,"1"
"26",Firing,Firing Range,"1"
"27",Range,Firing Range,"2"
"28",Gravel,Gravel Pits,"1"
"29",Pits,Gravel Pits,"2"
"30",Gravel,Gravel Pits,"1"
"31",Pits,Gravel Pits,"2"
"32",NAVAL,NAVAL RESERVATION,"1"
"33",RESERVATION,NAVAL RESERVATION,"2"
"34",FILLAREE,FILLAREE CANAL,"1"
"35",CANAL,FILLAREE CANAL,"2"
"36",FILLAREE,FILLAREE DRAIN,"1"
"37",DRAIN,FILLAREE DRAIN,"2"
"38",MAIN,WESTSIDE MAIN CANAL,"2"
"39",CANAL,WESTSIDE MAIN CANAL,"3"
"40",FLAX,FLAX CANAL,"1"
"41",CANAL,FLAX CANAL,"2"
"42",WESTSIDE,WESTSIDE MAIN CANAL,"1"
"43",DIXIE,DIXIE DRAIN ONE,"1"
"44",DRAIN,DIXIE DRAIN ONE,"2"
"45",ONE,DIXIE DRAIN ONE,"3"
"46",FOXGLOVE,FOXGLOVE CANAL,"1"
"47",CANAL,FOXGLOVE CANAL,"2"
"48",FERN,FERN CANAL,"1"
"49",CANAL,FERN CANAL,"2"
"50",EUCALYPTUS,EUCALYPTUS LATERAL,"1"
"51",LATERAL,EUCALYPTUS LATERAL,"2"
"52",EL,EL CENTRO NAVAL AUXILIARY AIR STATION,"1"
"53",CENTRO,EL CENTRO NAVAL AUXILIARY AIR STATION,"2"
"54",NAVAL,EL CENTRO NAVAL AUXILIARY AIR STATION,"3"
"55",AUXILIARY,EL CENTRO NAVAL AUXILIARY AIR STATION,"4"
"56",AIR,EL CENTRO NAVAL AUXILIARY AIR STATION,"5"
"57",STATION,EL CENTRO NAVAL AUXILIARY AIR STATION,"6"
"58",ELDER,ELDER CANAL,"1"
"59",CANAL,ELDER CANAL,"2"
"60",RICE,RICE DRAIN,"1"
"61",DRAIN,RICE DRAIN,"2"
"62",ELM,ELM CANAL,"1"
"63",CANAL,ELM CANAL,"2"
"64",RICE,RICE DRAIN,"1"
"65",DRAIN,RICE DRAIN,"2"
"66",RICE,RICE DRAIN,"1"
"67",DRAIN,RICE DRAIN,"2"
"68",RICE,RICE DRAIN,"1"
"69",RICE,RICE DRAIN,"1"
"70",DRAIN,RICE DRAIN,"2"
"71",RICE,RICE DRAIN ONE,"1"
"72",DRAIN,RICE DRAIN ONE,"2"
"73",ONE,RICE DRAIN ONE,"3"
"74",LATERAL,LATERAL DRAIN,"1"
"75",DRAIN,LATERAL DRAIN,"2"
"76",SAN,SAN DIEGO AND  ARIZONA EASTERN,"1"
