id,txt,phrase,txt_loc
"1",SANTA,SANTA MARGARITA Y LAS GALLINAS,"1"
"2",MARGARITA,SANTA MARGARITA Y LAS GALLINAS,"2"
"3",Y,SANTA MARGARITA Y LAS GALLINAS,"3"
"4",LAS,SANTA MARGARITA Y LAS GALLINAS,"4"
"5",GALLINAS,SANTA MARGARITA Y LAS GALLINAS,"5"
"6",SAN,SAN PABLO STRAIT,"1"
"7",PABLO,SAN PABLO STRAIT,"2"
"8",STRAIT,SAN PABLO STRAIT,"3"
"9",SAN,SAN PABLO BAY,"1"
"10",PABLO,SAN PABLO BAY,"2"
"11",BAY,SAN PABLO BAY,"3"
"12",POTRERO,POTRERO SAN PABLO,"1"
"13",SAN,POTRERO SAN PABLO,"2"
"14",PABLO,POTRERO SAN PABLO,"3"
"15",SAN,SAN PABLO,"1"
"16",PABLO,SAN PABLO,"2"
"17",SAN,SAN PABLO RIDGE,"1"
"18",PABLO,SAN PABLO RIDGE,"2"
"19",RIDGE,SAN PABLO RIDGE,"3"
"20",SOBRANTE,SOBRANTE,"1"
"21",BERKELEY,BERKELEY HILLS,"1"
"22",HILLS,BERKELEY HILLS,"2"
"23",SAN,SAN ANTONIO,"1"
"24",ANTONIO,SAN ANTONIO,"2"
"25",CONTRA,CONTRA COSTA CO.,"1"
"26",COSTA,CONTRA COSTA CO.,"2"
"27",CO.,CONTRA COSTA CO.,"3"
"28",ALAMEDA,ALAMEDA CO.,"1"
"29",CO.,ALAMEDA CO.,"2"
"30",SAN,SAN FRANCISCO BAY,"1"
"31",FRANCISCO,SAN FRANCISCO BAY,"2"
"32",BAY,SAN FRANCISCO BAY,"3"
"33",TIBURON,TIBURON PENINSULA,"1"
"34",PENINSULA,TIBURON PENINSULA,"2"
"35",CORTE,CORTE DE MADERA,"1"
"36",DE,CORTE DE MADERA,"2"
"37",MADERA,CORTE DE MADERA,"3"
"38",RICHARDSON,RICHARDSON BAY,"1"
"39",BAY,RICHARDSON BAY,"2"
"40",MARIN,MARIN PENINSULA,"1"
"41",PENINSULA,MARIN PENINSULA,"2"
"42",SAUSALITO,SAUSALITO,"1"
"43",GOLDEN,GOLDEN GATE,"1"
"44",GATE,GOLDEN GATE,"2"
"45",PUEBLO,PUEBLO LANDS OF SAN FRANCISCO,"1"
"46",LANDS,PUEBLO LANDS OF SAN FRANCISCO,"2"
"47",OF,PUEBLO LANDS OF SAN FRANCISCO,"3"
"48",SAN,PUEBLO LANDS OF SAN FRANCISCO,"4"
"49",FRANCISCO,PUEBLO LANDS OF SAN FRANCISCO,"5"
"50",GOLDEN,GOLDEN GATE PARK,"1"
"51",GATE,GOLDEN GATE PARK,"2"
"52",PARK,GOLDEN GATE PARK,"3"
"53",SAN,SAN MIGUEL,"1"
"54",MIGUEL,SAN MIGUEL,"2"
"55",S. P. R. R.,S. P. R. R. NARROW GAUGE,"1"
"56",NARROW,S. P. R. R. NARROW GAUGE,"2"
"57",GAUGE,S. P. R. R. NARROW GAUGE,"3"
"58",OAKLAND,OAKLAND MOLE,"1"
"59",MOLE,OAKLAND MOLE,"2"
"60",LIGHT,LIGHT,"1"
"61",BOUNDARY,BOUNDARY LINE,"1"
"62",LINE,BOUNDARY LINE,"2"
"63",RACCOON,RACCOON STRAIT,"1"
"64",STRAIT,RACCOON STRAIT,"2"
"65",MARIN,MARIN CO.,"1"
"66",CO.,MARIN CO.,"2"
"67",SAN,SAN FRANCISCO CO. and CITY,
"68",FRANCISCO,SAN FRANCISCO CO. and CITY,"2"
"69",CO.,SAN FRANCISCO CO. and CITY,"3"
"70",and,SAN FRANCISCO CO. and CITY,"4"
"71",CITY,SAN FRANCISCO CO. and CITY,"5"
"72",ALAMEDA,ALAMEDA CO.,"1"
"73",CO.,ALAMEDA CO.,"2"
"74",SAN,SAN FRANCISCO CO. and CITY,"1"
"75",FRANCISCO,SAN FRANCISCO CO. and CITY,"2"
"76",CO.,SAN FRANCISCO CO. and CITY,"3"
"77",and,SAN FRANCISCO CO. and CITY,"4"
"78",CITY,SAN FRANCISCO CO. and CITY,"5"
"79",PINOLE,PINOLE RIDGE,"1"
"80",RIDGE,PINOLE RIDGE,"2"
"81",PINOLE,PINOLE,"1"
"82",SOBRANTE,SOBRANTE RIDGE,"1"
"83",RIDGE,SOBRANTE RIDGE,"2"
"84",CALIFORNIA,CALIFORNIA AND NEVADA,"1"
"85",AND,CALIFORNIA AND NEVADA,"2"
"86",NEVADA,CALIFORNIA AND NEVADA,"3"
"87",BOUNDARY,BOUNDARY LINE,"1"
"88",LINE,BOUNDARY LINE,"2"
"89",V & D,V & D PARALIA,"1"
"90",PARALIA,V & D PARALIA,"2"
"91",SOUTHERN,SOUTHERN PACIFIC,"1"
"92",PACIFIC,SOUTHERN PACIFIC,"2"
"93",BOUNDARY,BOUNDARY LINE,"1"
"94",LINE,BOUNDARY LINE,"2"
"95",N.P.,N.P. COAST R.R,"1"
"96",COAST,N.P. COAST R.R,"2"
"97",R.R.,N.P. COAST R.R,"3"
"98",PUNTA,PUNTA DE QUENTIN,"1"
"99",DE,PUNTA DE QUENTIN,"2"
"100",QUENTIN,PUNTA DE QUENTIN,"3"
"101",MARIN,MARIN CO.,"1"
"102",CO.,MARIN CO.,"2"
"103",CONTRA,CONTRA COSTA CO.,"1"
"104",COSTA,CONTRA COSTA CO.,"2"
"105",CO.,CONTRA COSTA CO.,"3"
"106",BERKELEY,BERKELEY,"1"
"107",LIVERMORE,LIVERMORE LINE,"1"
"108",LINE,LIVERMORE LINE,"2"
"109",S.P.R.R.,S.P.R.R.,"1"
"110",S. P. R. R.,S. P. R. R.,"1"
"111",ALAMEDA,ALAMEDA,"1"
"112",The,The Sisters,"1"
"113",Sisters,The Sisters,"2"
"114",San,San Pedro Pt.,"1"
