id,Name,Text,Position
"1",JOSHUA,JOSHUA,"1"
"125",NATIONAL,NATIONAL MONUMENT,"1"
"3",LITTLE,LITTLE SAN BERNARDINO MOUNTAINS,"1"
"4",SAN,LITTLE SAN BERNARDINO MOUNTAINS,"2"
"5",BERNARDINO,LITTLE SAN BERNARDINO MOUNTAINS,"3"
"6",MOUNTAINS,LITTLE SAN BERNARDINO MOUNTAINS,"4"
"7",ELDORADO,ELDORADO MINE,"1"
"8",MINE,ELDORADO MINE,"2"
"9",COTTONWOOD,COTTONWOOD MOUNTAINS,"1"
"10",MOUNTAINS,COTTONWOOD MOUNTAINS,"2"
"11",PINKHAM,PINKHAM WELL,"1"
"12",WELL,PINKHAM WELL,"2"
"13",Cottonwood,Cottonwood Spring,"1"
"14",Spring,Cottonwood Spring,"2"
"15",Cottonwood,Cottonwood Pass,"1"
"16",Pass,Cottonwood Spring,"2"
"17",COTTONWOOD,COTTONWOOD,"1"
"18",Shavers,Shavers Well,"1"
"19",Well,Shavers Well,"2"
"20",Hidden,Hidden Springs,"1"
"21",Springs,Hidden Springs,"2"
"22",Mortmar,Mortmar,"1"
"23",COACHELLA,COACHELLA CANAL,"1"
"24",CANAL,COACHELLA CANAL,"2"
"25",Date,Date Palm Beach,"1"
"26",Palm,Date Palm Beach,"2"
"27",Beach,Date Palm Beach,"3"
"28",Salton,Salton Beach,"1"
"29",Beach,Salton Beach,"2"
"30",Salton,Salton,"1"
"31",Durmid,Durmid,"1"
"32",S,SALTON SEA,"1"
"33",A,SALTON SEA,"2"
"34",L,SALTON SEA,"3"
"35",T,SALTON SEA,"4"
"36",O,SALTON SEA,"5"
"37",N,SALTON SEA,"6"
"38",S,SALTON SEA,"7"
"39",E,SALTON SEA,"8"
"40",A,SALTON SEA,"9"
"41",WATER,WATER SURFACE 250 FEET BELOW SEA LEVEL,"1"
"44",SURFACE,WATER SURFACE 250 FEET BELOW SEA LEVEL,"2"
"45","250",WATER SURFACE 250 FEET BELOW SEA LEVEL,"3"
"46",FEET,WATER SURFACE 250 FEET BELOW SEA LEVEL,"4"
"45",BELOW,WATER SURFACE 250 FEET BELOW SEA LEVEL,"5"
"46",SEA,WATER SURFACE 250 FEET BELOW SEA LEVEL,"6"
"47",LEVEL,WATER SURFACE 250 FEET BELOW SEA LEVEL,"7"
"48",Truckhaven,Truckhaven,"1"
"49",Colton,Colton Gun Club,"1"
"50",Gun,Colton Gun Club,"2"
"51",Club,Colton Gun Club,"3"
"59",Soda,Soda Spring,"1"
